1;I Believe God;Bb;"I believe God! I believe God!
Ask what you will and it shall be done;
Trust and obey, believe Him and say:
I believe, I believe God.

And if you want salvation now
And the Holy Ghost and power,
Just trust and obey, 
Believe Him and say:
I believe, I believe God.";� Public Domain
2;Reach Out, Touch The Lord;F;"Reach out and touch the Lord
As He passes by,
You'll find He's not too busy,
To hear your heart's cry;
He's passing by this moment,
Your needs to supply,
Reach out and touch the Lord
As He goes by.";� Public Domain
3;Feeling So Much Better;F;"Feeling so much better 
Talking about this good old Way,
Feeling so much better 
Talking about the Lord;
Let's go on, let's go on 
Talking about this good old Way,
Let's go on, let's go on 
Talking about the  Lord.

The devil he don't like it, 
Talking about this good old Way,
The devil he don't like it, 
Talking about the Lord.
So, let's go on, let's go on 
Talking about this good old Way,
Let's go on, let's go on 
Talking about the Lord.";� Public Domain
4;Shine On Me;F;"Shine on me, Lord, shine on me,
Let the light from the Lighthouse 
     shine on me;
Shine on me, Lord, shine on me,
Let the light from the Lighthouse 
     shine on me.";� Public Domain
5;Oh It Is Jesus;C;"Oh it is Jesus! Yes, it is Jesus!
Oh it is Jesus in my soul;
For I have touched 
The hem of His garment,
And His blood has made me whole.";� Public Domain
6;The Water Way;Eb;"It shall be light in the evening time,
The path to glory you will surely find;
Thru the water way, It is the light today,
Buried in the precious Name of Jesus.
Young and old, repent of all your sin,
The Holy Ghost will surely enter in;
The evening Light has come,
It is a fact that God and Christ are one.";� Public Domain
7;He's Everything To Me;Eb;"He's everything,
He's everything to me;
He's everything, 
He's everything to me;
He's my father, my mother, 
My sister and my brother,
He's everything to me.";� Public Domain
8;I Know It Was The Blood;F;"I know it was the Blood,
I know it was the Blood,
I know it was the Blood for me;
One day when I was lost,
He died upon the Cross,
I know it was the Blood for me.";� Public Domain
9;This World Can't Hold Me;F;"This old world can never hold me,
Any moment I'll be gone,
For I've made my consecration,
And I have my wedding garment on.";� Public Domain
10;Got Any Rivers?;F;"Got any rivers you think 
     are uncrossable?
Got any mountains 
You cannot tunnel through?
God specializes in things 
     thought impossible,
And He will do what no 
     other power can do.";� Public Domain
11;The Windows Of Heaven;C;"The windows of Heaven are open,
The blessings are falling tonight,
There's joy, joy, joy in my heart,
Since Jesus made everything right;
I gave Him my old tattered garment,
He gave me a robe of pure white,
I'm feasting on Manna from Heaven,
And that's why I'm happy tonight.

The Lord God sent us a prophet
According to Malachi 4 
To turn the hearts of the childen 
Back to the fathers
The message was sent to restore
We are living now in the end time
The Bride is preparing today
The Bridegroom has sent us His message
That He'd soon take His Bride away

What is the attraction on mount
The Piller of Fire has come
Spiritual food in due season
No need to starve anymore
Revelation 10:7 has sounded
The mysteries have been revealed
The revelation of the seven seals 
Has been opened
And the Bridegroom is ready to leave";� Public Domain
