462;Thou Thinkest Lord Of Me;;"Thou thinkest Lord of me
Thou thinkest Lord of me
What need I fear when Thou art near
And thinkest Lord of me";
472;When The Redeemed Gather (PBW);F;"I am thinking of the rapture 
In our blessed home on high.
When the redeemed are gathering in;
How we'll raise the heavenly anthem 
In that city in the sky,
When the redeemed are gathering in.

CHORUS
When the redeemed 
Are gathering in,
Washed like snow, 
And free from all sin;
How we'll shout, 
And how we'll sing,
When the redeemed 
Are gathering in.

There will be a great procession 
Over on the streets of gold,
When the redeemed are gathering in;
Oh what music, Oh what singing, 
O'er the city will be rolled,
When the redeemed are gathering in.

Saints will sing redemption's story 
With their voices clear and strong,
When the redeemed are gathering in;
Then the angels all will listen, 
For they cannot join that song,
When the redeemed are gathering in.

Then the Saviour will give orders 
To prepare the banquet board,
When the redeemed are gathering in;
And we'll hear His invitation, 
""Come, ye blessed of the Lord,""
When the redeemed are gathering in.";
473;I'm Looking For A City (PBW);;"I'm looking for a city,
The one not made by hands,
I'm looking over Jordan,
I see the promised land,
The waters will be parted
And I'll be on my way,
As we're crossing over Jordan 
I can say:

CHORUS
Now I have that everlasting joy within,
Since He came and took away my sin,
The moment that He blessed me,
He made me fully whole,
With that everlasting joy 
Within my soul.

I'm drinking from the fountain
That floweth from on high,
A well of blessed waters
That never shall run dry,
I'm feasting on God's manna,
I'm praying day by day,
And that everlasting joy 
Is here to stay.

I've heard the prophet's message, 
I've placed it in my heart,
I've got the revelation 
That never shall depart,
The Rapture is upon us,
The stage is set to go.
We have this precious promise 
We all know."
474;The Original Life (PBW);G;"God's attributes were manifested
To His Bride in this last age.
We have caught the revelation
By the last prophet's message.
And we know who we are
And what we are raised up for,
Praise the Lord, for the Original Life.

CHORUS
The Original Life, the Original Seed
The Original Word is what I believe.
The Son of Man is revealed
The seventh seal is unveiled
The Original Life, the Original Seed.

We are the Word made flesh today
This is what the Scriptures say.
And our names are seen within,
Redeemed and perfect without sin.
Yes, we are anointed and inspired
By our God, Who's the Original Life.

Our eyes of understanding
He has opened up at last.
And sweet victory is ours
Who were chained down in the past.
True Jubilee has sounded
And we have responded
To our God, Who's the Original Life.

We are called unto adoption
Full authority and power.
Sleeping saints will wake and join us
For translation in this hour.
Gentiles' days will soon be over
Glory, hallelujah!
To our God, Who's the Original Life."
475;Land Of Milk And Honey (PBW);G;"There is a land of milk and honey
There is a land
