1;A CIDADE SANTA;;"Palavras verdadeiras, que João testificou
Da Cidade Santa, que Deus lhe mostrou,
O muro e a cidade com doze fundamentos
Estava situada, em quadrado comprimento.

A Santa Cidade, Nova Jerusalém
Ali não haverá maldição contra alguém
Olhai não faças tal, porque sou conservo teu
Guarde as palavras do livro e adorarás a Deus.

O cordeiro e sua lâmpada, Teus servos servirão
Nosso Deus nos ilumina para sempre reinarão
Ali não haverá, maldição nem a mentira
Mas só os que estão escritos no Livro da Vida.

Não haverá mais morte, nem pranto e nem clamor
Jesus é a nossa luz, é nosso Governador
Por isso meus irmãos, olhai não faças tal
Porque água da vida, é clara como cristal.

Então vamos seguir,
A mensagem do Profeta
Pra entrar nesta cidade,
Com as suas portas abertas."
2;TUMBA ABERTA;;"Há uma tumba aberta em Jerusalém
A testificar da ressurreição
Se ali existe uma tumba vazia
É sinal que um dia outras se abrirão.
Essa tumba aberta em silêncio fala
Que Jesus se foi, e prometeu voltar
Ele agora atua como Advogado
E como arquiteto um lar foi preparar
Ele prometeu é uma grande verdade
Que felicidade daquele que crê
Pois quando tudo, aqui terminar
Ao lado de Cristo ele vai viver.

Cristo vive, Cristo vive
Há uma tumba aberta a testificar
Que Cristo vive.

Há uma tumba aberta em Jerusalém
Sinal de vitória e de redenção
É uma prova viva, de que Cristo vive
E foi para o céu e nos espera então
Isto nos dá força quando vem as lutas
E em toda labuta desta vida aqui
Sentimos gozo, e também alegria
Ao pensar na vida nova do porvir
Quando estivermos ao redor da mesa
Contemplando a face do Senhor
Esquecendo tudo que já foi passado
Desde um simples pranto à mais profunda dor.

Essa tumba aberta em Jerusalém
É a razão de minha fé pois cri
Se aquela tumba ali está vazia
É sinal que um dia outras vão se abrir
E todos os santos que adormeceram
Ao som da trombeta hão de despertar
E todos os eleitos que estiverem vivos
Num piscar de olhos vão se transformar
E depois disso nos reuniremos
E subiremos ao lar de amor
Que grande gozo ao contemplar nas nuvens
A figura amada de nosso Senhor."
3;VALOR DE UMA ALMA;;"Irmão você sabe o valor que tem uma alma
Nem todos os recursos humanos poderiam pagar.
O dinheiro, a prata, o ouro, e o mundo inteiro
É pouco demais pro valor de uma alma poder comparar

Irmão o valor de uma alma custou muito caro
É necessário sentirmos por ela imenso amor
Zelando, ensinando, orando e às vezes chorando
Devemos buscar todas as almas
Que Jesus comprou

Irmão quantas vezes tem alma ao teu lado chorando
Sofrendo, gemendo com fardo pesado de dor
Se ela chegar a perecer você é o culpado
Tenhas cuidado porque uma alma tem muito valor.

Irmão você lembra do Ide do Mestre Amado
Não foi um pedido mas ordem que Ele nos deu
Mas como podemos ficar com os braços cruzados
Se Ele de braços abertos por todos morreu."
4;PERTO, MAIS PERTO DE CRISTO;;"Mestre, ó Cristo amado
Minha delícia, Tu és amor
Para a minha vida
És alegria, ó que prazer.

Perto, sim mais perto de Cristo
Perto, sim mais perto do céu
Perto, sim mais perto de Cristo
Tenho mui desejo de estar

Pátria, na luz divina
Feliz morada para onde vou
Sobre as áureas ruas
Vou passear, ó que prazer

Mestre, queiras guiar-me
Pois minhas forças mui débeis são
Correm, por vezes lágrimas
Porém desejo contigo estar."
5;DITOSA CIDADE;;"A ditosa cidade deve ser linda
Se pudesse eu iria pra lá agora
Veria o Senhor frente a frente
Cantaria naquele imenso coral.

Veria anjos e querubins, ali
Reunidos, cantando Hosanas ao Rei
Breve este meu pensamento será realidade
Pois pra lá voarei.

Veria ainda todos os discípulos
Que andaram por aqui pregando a palavra
Imagina abraçar Paulo e Tiago
Ver João, Abraão, Isaque e Jacó

Irmãos se ficarmos em comunhão com Cristo
Naquela linda cidade nós iremos morar
Veremos o Senhor frente a frente
Cantaremos naquele imenso coral

Veremos anjos e querubins, ali
Reunidos, cantando Hosanas ao Rei
Teremos somente prazer e muita alegria
Para sempre amém."
6;ALÉM DAS MONTANHAS;;"No espaço cai a chuva lentamente
No céu o arco-íris multicor
Em oração subi ao infinito
Ao ver as maravilhas do Senhor

Além das montanhas, vejo o céu dourado
Onde o sol despede o viajor
Deus mandou a chuva, muito obrigado
Meu eterno Deus, meu criador.

Levanto o meu olhar, o Pai me chama
Inclino-me a ouvir a voz de amor
E sigo a caminhar, pois Deus me ama
E a chuva vai cair em meu favor."
7;SENHOR, EU PRECISO DE TI;;"Eu creio, Senhor, na divina promessa,
Vitórias já tive nas lutas aqui,
Contudo, é mui certo que a gente tropeça:
Por isso, Senhor eu preciso de Ti.

A luz que me guia no escuro caminho,
Fulgura de cima, do sol criador,
Contudo, não posso segui-lo sozinho
Por isso eu preciso de Ti meu Senhor.

Bem sei que nas preces eu posso buscar-Te
Jamais dessa bênção na vida eu descri,
Contudo, é possível que dela me aparte:
Por isso, Senhor, eu preciso de Ti.

Esforços da terra, precário destino,
Empenho dos homens riqueza o que for,
Não valem a bênção do reino divino:
Por isso eu preciso de Ti, meu Senhor."
8;A EXCELÊNCIA DO AMOR;;"Qual o adorno desta vida
É o amor, é o amor
Alegria é concedida,
Pelo amor, pelo amor,
É benigno, é paciente
Não se torna maldizente,
Não se torna maldizente
Este meigo amor.

Com suspeita não se alcança
Vero amor, vero amor;
Onde houver desconfiança,
Ai do amor, ai do amor!
Pois mostremos lealdade;
Muitas vezes a falsidade,
Muitas vezes a falsidade
Murcha e mata o amor.

Não te irrites, mas tolera
Com amor, com amor;
Tudo sofre, tudo espera
Pelo amor, pelo amor.
Sentimentos orgulhosos
Não convém a criminosos,
Não convém a criminosos
Salvos pelo amor.

Ó cristão, ao teu vizinho
Mostra o amor, mostra o amor;
O valor não é mesquinho
Deste amor, deste amor
O supremo Deus nos ama;
Cristo para o céu nos chama,
Cristo para o céu nos chama,
Onde reina o amor!"
9;AO ENTRAR NO PARAÍSO;;"Num abrir e fechar de olhos
Este solo vou deixar
Gente do norte e do sul
No céu azul vou encontrar
Viverei entre sorrisos
Ao entrar no paraíso
E o Cordeiro que está vivo
Vindo me cumprimentar

Pegarei em sua mão e sentirei a emoção
Quando o meu novo nome Ele chamar
Farei uma passeata
Com os santos lá na praça
Para agradecer Jesus
Pelo sangue lá na cruz
Pela vida que me deu.

Ao entrar ali na Glória
E ver os filhos de Abraão
O coral, a mocidade e o círculo de oração
E verei todas as crianças
Que fizeram aliança
E a banda que não se cansa
De tocar uma canção.

Ao entrar no paraíso
E ver a raiz de Jessé
Meu desejo é tão grande
Em conhecer como Ele é
Sinto Ele bem presente
Quando sua história leio
Mas agora já estou vendo
Com os meus olhos da fé."
10;OH! LÁGRIMAS;;"Neste mundo só tereis aflição
As lágrimas, as lágrimas correrão
Meu Jesus quem prometeu
Enxugar as lágrimas
Consola o meu coração

Oh! Lágrimas…
Até quando molharás meu rosto triste
Meu Jesus prometeu
E jamais falhará
As lágrimas Ele enxugará.

Nos momentos de tristezas nesta vida
As lágrimas não se cansam de rolar
Com os meus olhos molhados eu imploro
Jesus vem enxugar.
Com os meus olhos molhados eu imploro
Jesus vem enxugar."
