1;A BÊNÇÃO;;"A Jesus crianças vinhamSuas bênçãos suplicar;Pois a mim, que sou criança,Oh, não há de recusar!Das crianças de outro tempoEle teve compaixão;Oh, não há de despedir-meSem me dar a salvação!Não mais anda neste mundo,Mas na glória Cristo está.Que as crianças inda venham:Ele as abençoará.Minhas mãos tão pequeninasTe suplicam, ó Senhor:Dá-me, pois, a tua bênção,Tua graça e teu amor!"
2;A CEIA DO SENHOR;;Será possível esquecerO teu amor, Senhor?A tua graça em concederPerdão ao pecador?Será possível esquecerO teu sofrer, Senhor?A vida que vieste ter,Vivida em tanta dor?Será possível esquecerA grande salvaçãoQue Tu vieste nos trazer,Que muda o coração?Nós vamos hoje celebrar,Em santa comunhão,O teu sofrer, o teu penar,Sim, nossa redenção.
3;A CIDADE DO BOM JESUS;;Que se diz dos teus encantos,Ó cidade do bom Deus!Que soberba te levantasEntre as glórias desses céus,Desde o mundo preparadaPara Cristo e para os Seus.São de jaspe adamantinoOs teus muros, ó Sião!São douradas essas ruas,Que os remidos pisarão!De celeste luz banhadas,Refulgentes sempre estão!Pelo próprio Deus fundadaSobre a rocha secularQuão seguras tuas portas!Quem as pode ameaçar?Igualmente, quão seguroQuem por ela lá entrar!Quão felizes são teus filhos,Vendo a face do Senhor!Nunca mais a fome sentem,Nunca sentem mais a dor,Com os anjos desfrutandoPleno gozo, paz e amor!O trono do Cordeiro,Noite e dia, sem cessarCorre o rio de água viva,Para todos saciar!Lá com Cristo, vão teus filhos,Satisfeitos descansar!Se, por Teu amor infindo,De Sião eu filho for,Zombe o mundo e escarneça,Nada importa, Salvador,Pois que do Teu gozo eternoMesmo aqui tenho o penhor!
4;A CIDADE SANTA;;Palavras verdadeiras, que João testificouDa Cidade Santa, que Deus lhe mostrou,O muro e a cidade com doze fundamentosEstava situada, em quadrado comprimento.A Santa Cidade, Nova JerusalémAli não haverá maldição contra alguémOlhai não faças tal, porque sou conservo teuGuarde as palavras do livro e adorarás a Deus.O cordeiro e sua lâmpada, Teus servos servirãoNosso Deus nos ilumina para sempre reinarãoAli não haverá, maldição nem a mentiraMas só os que estão escritos no Livro da Vida.Não haverá mais morte, nem pranto e nem clamorJesus é a nossa luz, é nosso GovernadorPor isso meus irmãos, olhai não faças talPorque água da vida, é clara como cristal.Então vamos seguir,A mensagem do ProfetaPra entrar nesta cidade,Com as suas portas abertas.
5;A COLHEITA ALÉM;;Cai a semente no bom frescor,É semeada, sim, no calor,É semeada na viração,É semeada na escuridão.Oh, qual há de ser, além,A ceifa do mal ou bem?Sempre lançada com força ou langor,Com ousadia, com medo e tremor,Já, ou nos dias do certo porvir,Messe bendita e gloriosa tem de vir!Sobre os rochedos irá murchar,Ou nas estradas se esperdiçar,Entre os espinhos vai se perder,Ou nas campinas há de crescer.Há sementeira, pois, de amargor,Há de remorso e de negro horror,Há de vergonha e de confusão,Há de miséria e de perdição.Vale-me tu, grande Semeador!Faz prosperar todo o meu labor:Quero servir-te, meu Rei Jesus,Quero contigo ceifar em luz.Trad.: Sarah Poulton Kalley (1825-1907)
6;A CRISTO COROAI;;"A Cristo coroai! Que por nós encarnou,E Deus, o Santo Deus e Pai, aos homens revelou.Eis Sua compaixão! Eis Sua mansidão!Quem vê a Cristo, vê ao Pai; sim, vê Seu coração.A Cristo coroai! De tudo o Criador,O Filho do eterno Deus, do mundo, o Salvador, Jesus Emanuel,o grande Redentor!Em busca dos perdidos, vem o nosso bom Pastor.A Cristo coroai! Que sobre a cruz, ganhouPor nós eterna redenção e para o céu voltou!Ele é o Rei dos reis! O Príncipe da paz!Jesus, da morte, o vencedor, que a Salvação nos traz.A Cristo coroai! De todos o Senhor,A quem a multidão dos céus aclama com fervor!Eis o Cordeiro ali, que sobre o trono está!Que vive e reina lá por nós, e cedo voltará."
7;A CRUZ;;"Cristo, em tua cruz há glória,dominando o caos maior;toda a luz da sacra históriase concentra ao seu redor.Se me abatem vis temores,e a esperança se desfaz,é na cruz que encontro flores;dela vem prazer e paz.Se o sol brilha da ventura,alegrando o meu viver,lá da cruz a luz fulgurae me traz maior prazer.Por igual, já são benditasa ventura e a dor, na cruz;alegrias inauditasnela trouxe o bom Jesus."
8;A CRUZ DE CRISTO;;"1. Quero estar ao pé da cruz,Que tão rica fonteCorre franca, salutar,De Sião no monte.[coro]Sim, na cruz, sim na cruz,Na cruz me glorio,Até que ao fim vá descansar,Salvo além do rio.2. A tremer, ao pé da cruz.Graça, amor achou-me;Matutina estrela, aliRaios Seus, mandou-me.3. Sempre a cruz, Jesus, meu Deus,Queiras recordar-meDela á sombra, Salvador,Queiras abrigar-me.4. Junto à cruz, ardendo em fé,Sem temor vigio,Até que a terra eu possa ir ver,Santa além do rio."
9;A DEUS SUPREMO;;"A Deus supremo Benfeitor;Vós anjos e homens dai louvor,A Deus o Filho a Deus o Pai,A Deus Espírito, glória dai!A Deus supremo Benfeitor;Vós anjos e homens dai louvor,A Deus o Filho a Deus o Pai,A Deus Espírito, glória dai!"
10;A DOCE LUZ;;"Eu nas trevas vagueavaSem a luz da retidão;A minha alma estava morta,E eu, sem fé no coração.Mas um dia a sua graçaDeus mandou e a doce luz;Vi então caminho claro,Sim, ouvi o meu Jesus.Dentro em mim meu ‘homem velho’Contra a retidão lutou;Mas Jesus comigo estava,Santamente me guiou.Foi um novo nascimento,Honra e glória ao Redentor!Ele deu-me luz e vida,Santidade e seu amor.Como é triste andar em trevas,Sem perdão do Salvador!Bela é a vida, mas a vidaDominada pelo amor."
