1;Kilosu Jehovah nguno;;"Kilosu Jehovah nguno
Ne konech kaberurennyi.
Kilosu Kwanda ak Jesu,
Ak Tamirmiriet ne Tilil."
2;Kilosu Kwandanyon;;"Kilosu Kwandanyo,
Werit ak Tamirmiriet ne Tilil
Kit ne ki u eng' ta-u-net,
Nguno ak eng' che bwanei,
Agoi koigeny! Amen, Amen!"
3;Otienjin Kiptaiyandenyon;;"Otienji Kiptaiyandennyo,
Okwek tugul che omi ng'ony;
Olosu Ine kotugul;
Obwanji si ogasge kot.

Kamukta-indet Jehovah,
Kiyaech Ine Inegei.
Mestowondennyo Inendet;
Ba-ech amu ki akwennyi.

Obwa olosu Jehovah,
Orikyi oboibo-itu;
Olosu Inendet agoi,
Amu kararan kainennyi.

Toror Kiptaiyat Jehovah,
Mabegu chamnyennyi ne o.
Kimen ng'alekyik kotugul,
Ma walaksei; tebyei koigeny."
4;Kilosun Jehovah Mising;;"Kilosun, Jehovah, mising':
Kilosu Wering'ung',
Kiptaiyandet ne Yetindet
Ne bo ng'oony komugul.
Kiptaiyandet ne Yetindet
Ne bo ng'ony ko-mugul.

Kongoi mising' kot. Jehovah,
Kilosun, Kwandanyo,
Amu ki'yokwech We-ring'ung'
Komechi bik tugul.
Amu ki'yokwech We-ring'ung',
Komechi bik tugul.

Kongoi Jesu Kristo,
Weritab Jehovah;
I Choruennyo ne cha-mech kot;
I Kosobindennyo.
I Choruennyo ne cha-mech kot;
I Kosobi-ndennyo.

Kilosun. Jehovah. mising'.
Kilosu Wering'ung'.
Ak Tamirmiriet ne Tilil.
Kagaiga-indennyo.
Ak Tamirmiriet ne Tilil.
Kagaiga-i-ndennyo."
5;Kigaktoin Kiptaiyandet;;"Kigakto-in, Kiptaiyandet, 
Eng' betusiek tugul; Kimang'un, 
Inye, kotugul, Koboch eng' tai, agoi. 

Ki ribotin, achek, biguk 
Eng' eung'ung' ne kim; 
Matwa-ech kiy ye inamech, 
Kamukta-indennyo. 

Ye kingotom iyai ng'onyut, 
Emet ak tulonok, 
Ko ki-imite koboch keny, 
Ak imite koigeny. 

U betunak eng' Jehovah 
Kenyisiekyok tugul. 
Chokta betusiekyok 
eng ng'ony Isib kogesugei. 

'Netech ki-it betusiekyok 
Asi mabetyo buch; 
Konech keboisie-un komie 
Kota kemite ng'ony. 

Jehovah, ki-itoretech 
Eng' kenyisiek tugul, 
Ak iribotech kotugul 
Kot keit oldang'ung'."
6;Lumeiywotab kaniset;;"Lumeiywotab kaniset
Ko Jesu Kiptaiyat
Achek ko ki teeksennyi
Ne menyei Inendet.
Kicham Ine kocheng'ech
Ye kigi betyotin
Kot konyo ng'ony komechech 
Kosoruech eng' luset

Kergei kayanik tugul 
Eng' ng'onyut komugul; 
Agenge sigunenywa, 
Agenge kayanet;
Agenge amitwogik 
Che bo sobonwekwak;
Bo or agenge tugul
Agenge eng' Jesu.

Eng’ usisiet ak boisiet 
Ak lugosiek che chang
Koripsei kanisenyin
Kot koweek kiptaiyat.
Kimuung’jin tun kayanik
Eng' yomsosiek tugul
Amun katerterindet
Ko laitoriandenywa"
7;Tilil! Tilil! Tilil!;;"Tilil! TiliI! Tilil! Jehovah Kiptaiyat!
Inendet ko TiIiI - mami ne kiroge.
Kwanda ak ko Werit, ak ko Tamirmiriet,
Somok J ehovah ago agenge.

Toror kot Inendet - otei bikab iman;
Ak ma1aika-isiek, kolosu agichek.
Kimitei koboch keny, ak komitei nguno;
Ak mitei koi'geny - Ine Kwandanyo.

TiIiI kot Jehovah! Matinyei mesundei.
Mageerei Inendet bik che bo tengekto.
Bo-unindet Ine, ak Kamukta-indet.
Nenyi kimnatet. ak torornatet.

Tilil! Tilil! Tilil! I toror Inyege
I Ya-indet, 1nye, ne bo tuguk tugul.
Nguno, karonani. ketieni kilosun
Inye, Jehovah, Kamukta-indet."
8;Tun nyone Jesu ngwony kogeny;;"Tun nyonei Jesu ng'ony kogeny
Nyo kolaitorane tugul;
Si kong'any bik tu-gul inne
Kole Kiptaiyat Inendet.

Osoru bik che lusyotin
Kobwanji Laitoriandennyo.
Kasei kabe-ru-ret ne o
Bik che kisoru eng' me-et.

'Ngotesak laitornatennyi
Eng' mugulelwekyok tugul.
Ongemwaitaa-te ng'a-lechu
Kogas emotinwek tugul.

Kisa-e Jesu kotugul
Ak kitorori Kainennyi.
Nyoljin Ine-ndet tee-gisto
Ine ne o kosiir tugul.

Obwa ketien eng' karemet,
Kiborjin bik katiaknatet:
Si koyom bik tugul eng' ng'ony
Kalosunetab Kiptaiyat."
9;Jehovah Irimet ne kim;;"Jehovah irimet ne kim
Ne mwechin bik the 'yanotin;
Ne toretech eng' maranet
Ye kinyalildosi mising'.
Amu cheng'ei bunyot
Oret ne ng'emenech;
0 kot ng'omnatennyi,
Karikyik ko wechet;
Ki ng'alindet koboch eng' tai.

Ngot kimang'u kimnatennyo.
Koek anyun buch boriennyo;
Ago mi kobotech Ne Kim
Ne kigoyokwech Jehovah.
ilen ng'o Inendet:
Kristo Jesu Ine.
lnendet lnegei
Ne bo-u lugosiek.
Mami age ne 'terterwech.

Agot ngo nyiitat ng'onyuni
Kimnatosiekab Setani,
Ko magiywei am u kicham
Kiptaiyandet koterterwech.
Magitoptobeni
Eng' bunyot o-indet;
Ma kiy neregekyik.
Amu wendi me-et.
Iterterisie' Imanit."
10;Nyo inye Kaberurindet;;"Nyo, lnye, Kaberurindet
Atieni mie-mdang'ung'.
Alosun amu chamnyeng'ung'
Ne irirege biguk.
     'Neta tiendab boibo-indang'ung'
     Ne tieni che mi barak.
     Alosun, Jesu. Ruandennyu;
     I chamnyetab Jehovah.

Ki-iyeta eng' chamnyeng'ung'
Ribota kimnateng'ung'
Angen ale imutata
Agoi ait oldang'ung'.
     Kiabetoti eng' orennyu,
     Ko a lusat eng' chalwok.
     Ki-isorua eng' me-eng'ung':
     Asubun inye. nguno.

O mie-indo ne kiyeta
Ak koriba kochulyo.
Kagonin muguleldanyu
Inet koyai mageng'ung'.
     I-ngonama eung'ung' ne kim
     Ak kondoiywa eng' oret
     Kot ait barak kipsengwet
     Ak kegeerge ak inye."
11;Betutab boiboiyet;;"Betutab boiboiyet ra,
Betutab Jehovah;
Mayae' chi ra boisiennyi,
Kiote Jehovah.
Kimuunyi rani kityo,
Kilosu Kiptaiyat.
Kiborjin bik Sirutik
Ng'alekab Jehovah.

Betutab lapkeiyet ra
Ne bo Kiptaiyandet;
Kigase betunito
Ng'alekab Jehovah.
Kiba-e sobonwekyok
Makatiatab sobon,
Asi kegimegitu
Eng' sobennyo

Kiting'ege yamda-et
Ak bikab Jehovah.
Kibwane si kilosu
Kamukta-indennyo.
Kilosu Kwanda rani
Ak Werinnyi Jesu,
Koboto Tamirmiriet.
Ee, kilosu tugul."
12;Kilosun eng' gongung';;"Kichamin, Jehovah;
Kilosun eng' gong'ung'.
Kichame kegas ng'aleguk
Che 'ndochin kelyekyok.

Nyolu mising' saet;
Mami ne kiroge,
Amu kituchini yoto
Kererwekyok bo met.

Kichame kot mising'
Ng'olyotab sobondo
Ne ibu boiboiyet ne o
Ak kalyet agine.

Kichame kot ketien
Kilosu Kiptaiyat
Ne rireneigei mising' kot
Agoi kebe barak.

igiilech, Kiptaiyat,
Kechamin kot kosiir;
Agoi tun kegeerin kimni
Kilosun eng' gong'ung'."
13;Lelachen rirenosieguk;;"Lelachen rirenosieguk
Eng' karonet age tugul.
Im-uung'wech kemoi komugul-,
Konech, Jesu, kimnateng'ung'.

Igilech eng' sa-utikyok
Ak somanetab ng'aleguk.
Asi kenyoru borotet
Koboto kaberureng'ung'.

Kisomin, Kiptaiyandennyo,
Indoiywech betut komugul.
Konech kegasin it inne
Si keyai boisieng ung' komie.

Ye kagoratarat emet
Ak ko-it sait ne kimuung'e,
Kimwa-un kongoi, Kwandanyo,
Amu ripseng'ung' ne bo ra."
14;Jesu, kanyiia boiboiyet;;"Jesu, kanyii-a boiboiyet
Ye abwatin nguno-,
Ago agasige kosiir
Ye ageerin kimni.

Anyiny kot Kaineng'ung Jesu;
Mami ne kiroge;
Noto ne kigaiga-ege
Eng' yomsosiekab ng'ony.

Imuung'jini che ng'etyotin;
Ing'eeti che 'butos.
Nyorun che cheng'in eng' iman;
I kamang'unenywa.

O mising' chamnyetab Jesu —
Ma mwa-oksei iman
Chamnyet ne ma-igesugei
Ne mi agoi koigeny."
15;Anyiny kot Kainetab Jesu;;"Anyiny kot kainetab Jesu
Eng' chito ne 'yanat;
Igoigo-ech eng' nyalilda,
Onei Kaiyweisiennyo.

Isoobi sobonwekab bik
Che miandos eng' chalwok.
Ba-ei che sogityotin kot;
'Muung'jin che ng'etyotin.

Lumeiywondennyo Kainennyi,
Ruandet ak ko Long'et.
Kinyorune katerteret
Ak Kimnatet ne o.

Tisiindet Jesu, Mestowot,
Ne Konetindennyo,
Ta-unindet, Kagesunet,
Oret ak Sobondo.

Konech kibarte chamyeng'ung'
Eng sobennyo tugul,
Si kogaiga-ech eng' me-et
Kainetab Yetindet.

Ye tun ki-itu oldang'ung'
Ole imi, Jesu,
Kemi ak bik che kigondo
Ak kilosun mising'."
16;O kot Jehovah ne kilosu;;"O kot Jehovah ne kilosu!
Ma walaksei Inendet Choruennyo.
O chamyennyi ak kimnatennyi
Ne ma'gesugei agoi koigeny.

Jesu ne bo tai ak ko bo let,
Imutech barak tamirmiriennyi.
Kilosu amu che kiyaiwech;
Kimang'u agoi Kagesunet."
