1;Ano do Jubileu;Am;"Eu celebrarei
Cantando ao Senhor
Um novo hino de louvorp

Shalom, Shalom,
Shalom, Shalom,
Shalom, Shalom,
Jerusalem, Jerusalem, Jerusalem, Shalom

Este é o ano do jubileu
O aleijado anda
E o cego vê
E o Senhor
Liberta os cativos
Esse é o ano do jubileu

Jerusalem, Jerusalem, Shalom
Jerusalem, Jerusalem, Shalom
Jerusalem, Jerusalem, Shalom
Jerusalem, Jerusalem, Jerusalem, Shalom

Aleluia, Aleluia
Aleluia, Aleluia
Alelu, Aleluia

Aleluia, Aleluia
Alelu, Aleluia"
2;Todos juntos outra vez;G;"Todos juntos outra vez
Louvando ao Senhor
Todos juntos outra vez
Em união

Algo bom está a caminho
Algo bom Deus tem para nós
Todos juntos outra vez
Louvando ao Senhor"
3;Hosana Bendita Seja A Rocha;C;"Hosana
Bendita seja a Rocha
Bendita seja a Rocha
Salvadora

Glorifica ao Senhor, Pois Ele é digno de louvor
Jeová-jiré é o Seu nome, Ele provê o que preciso

Senhor Senhor Senhor

Senhor, Senhor, Senhor tem sido muito bom pra mim
Senhor, Senhor, Senhor tem sido muito bom pra min
Senhor, Senhor, Senhor tem sido muito bom pra min
Feito coisas que o mundo nunca fez

Salvou a minha alma quando tava perdido, tem sido muito bom pra mim

Salvou a minha alma quando tava perdido, tem sido muito bom pra mim
Salvou a minha alma quando tava perdido, tem sido muito bom pra mim
Feito coisas que o mundo nunca fez

Me encheu com Espírito Santo, tem sido muito bom pra mim
Curou o meu corpo, quando estava enfermo, tem sido muito bom pra mim
Me mostrou a Mensagem que me trouxe Paz, tem sido muito bom pra mm
Me deu o privilégio de ouvir a Sua Voz, tem sido muito bom pra mim
Me trouxe a Transmissão, tem sido muito bom pra mim"
4;Aleluia (Santo Espírito enche a minha vida);D;"Santo Espírito enche a minha vida
Pois com Cristo eu quero morar
Santo Espírito enche a minha vida
Usa-me as almas a ganhar

Aleluia
Aleluia
Aleluia
Dou a Cristo Rei

Aleluia
Aleluia
Aleluia
Dou ao Rei, Rei, Rei"
5;O Messias é o Rei dos Reis;F;"O Messias é o Rei dos Reis
O Messias é o Senhor dos Senhores
O Messias é o Rei dos Reis
O Messias é o Senhor dos Senhores

Ele é o Rei dos Reis
Ele é o Senhor dos Senhores
O Messias é o Rei dos Reis
O Messias é o Senhor dos Senhores"
6;Que Poderoso Deus Servimos;C;"Que poderoso Deus servimos
Que poderoso Deus servimos
Anjos então se prostam
Céus e terra O adoram
Que poderoso Deus servimos

Ele é tudo, é tudo para mim
Ele é tudo, é tudo para mim
É meu pai, minha mãe, minha irmã e meu irmão
Ele é tudo para mim

Eu sei que foi o sangue

Eu sei que foi o sangue
Eu sei que foi o sangue pra mim
Eu estava perdido
Ele morreu na cruz
Eu sei que foi o sangue pra mim"
7;Em algum lugar atento;D;"Quando Cristo chamar eu ouvirei
Quando chamar por mim responderei
Quando Cristo chamar eu ouvirei
Estou atento a ouvir chamar meu nome

Em algum lugar atento
Em algum lugar atento
Em algum lugar atento a me chamar

Em algum lugar atento
Em algum lugar atento
Em algum lugar atento a me chamar

Com o coração puro Ele me chama
Com o coração puro eu ouvirei
Com o coração puro Ele me chama
Estou atento a ouvir chamar meu nome

Se o meu manto é branco Ele me chama
Se o meu manto é branco eu ouvirei
Se o meu manto é branco Ele me chama
Estou atento a ouvir chamar meu nome"
8;Se esforce toque o Senhor;E;"Se esforce toque o Senhor
Ele está pra passar
Ele não está ocupado
Pra te ouvir chamar

Ele passa bem agora
Tua oração escutar
Se esforce, toque o Senhor
Ele está neste lugar"
9;Você Sabe Porque Sou Feliz, Tá Tudo Bem, Deus É Tão Bom Pra Mim;F;"Você sabe porque sou feliz
Aceitei a Palavra do Senhor
Palavra Falada Revelaaa da
Pelo Profeta de Malaquias 4

Tá tudo bem, tudo bem
Temos ouvido a Mensagem Shalom, tá tudo bem
Mas há um lugar, pra descansar
Entrando além do véu
Então, descansa noivinha, descansa
Tá tudo bem

Deus é tão bom
Deus é tão bom
Deus é tão bom
É tão bom, pra mim
Ele responde oração
Ele responde oração
Ele responde oração
É tão bom, pra mim

Eu O amo tanto
Eu O amo tanto
Eu O aaa mo tanto
E é tão bom, pra mim"
10;Eles Vem Do Leste e Oeste;C;"Eles vêm do leste e oeste
Eles vêm de terra de longe
Com o Rei Festejar, alegremente cear
Abençoados esse peregrinos
Contemplando seu rosto santo
Reluzindo no Amor Divino
Bendito portadores de Sua graça
Como pedras da coroa a brilhar

Jesus vem chegando logo
Nossas lutas vão ter um fim
Oh, Se nosso Senhor, Nesse momento vier
Pra quem está livre do pecado
Isso então nos traria alegria
Ou tristeza e desespero
Quando o Senhor em glória chegar
Nós o encontraremos no ar"
