1;Cantai ao Senhor cânticos novos;E;"Cantai ao Senhor cânticos novos,
Porque Ele fez grandes maravilhas (2X)

Levantai a voz e aplaudi,
Cantemos salmos ao Senhor (2X)

Direi do Senhor, Ele é Meu Deus,
Meu Refúgio e Minha fortaleza (2X)

Bendiz ó minha alma ao Senhor,
Bendiz ao Seu Santo Nome (2X)

O Senhor é a Força da minha vida,
De quem me recearei? (2X)

Elevo os meus olhos para os montes,
De onde virá o meu socorro? (2X)"
2;Irmão como estão;E;"Irmãos como estão? Estamos bem! (3X)
Com o Nosso Deus no coração!

Irmãs como estão? Estamos bem! (3X)
Com o Nosso Deus no coração!

Posso cantar e gritar: Oh! Glória a Deus! (3X)
Com o Nosso Deus no coração!

Não há, portanto, agora, Condenação! (3X)
Com o Nosso Deus no coração!"
3;Dizemos Amém;E;"Dizemos: Amém, amém, amém! (3X)
Dizemos: Amém!

Dizemos: Amém, amém, amém! (3X)
Dizemos: Amém!

Eu sei que sua Graça é por mim! (3X)
Eu sei que é a Graça!

Eu sei que o Seu amor está aqui! (3X)
Eu sei que é o amor!"
4;A tua Graça;E;"A Tua graça é melhor que a vida.
A Tua graça é melhor que a vida.
Meus lábios Te louvam e assim bendirei,
E em Teu nome minhas mãos levantarei!"
5;Foi Graça;E;"Quando terminar esta vida, e lá no céu eu chegar
Haverá uma multidão de irmãos
Esperando pra me abraçar,
E perguntarão a uma voz, Voltados para mim:
Oh conta-nos como você irmão,
Venceu e chegou aqui
E falarei, e cantarei, foi Jesus que me salvou
Que por este pecador a si mesmo se entregou

Foi graça, graça, super abundante graça
Graça, graça, preciosa e doce graça
Foi graça irmão, graça irmão
Eu vos digo que foi assim
Foi só pela graça de Jesus
Que eu venci e cheguei aqui"
6;Cristo tem tomado minha vida;E;"Cristo tem tomado minha vida,
Tem tomado minha vida e nunca mais deixara
Cristo tem tomado minha vida,
Tem tomado minha vida e nunca mais deixara
Perdido estava eu, mas Cristo me encontrou
Porque Cristo tem tomado minha e nunca mais deixara."
7;Ele me conforta;E;"Atravessarei os montes e as pedras pularei
Com o meu Senhor ao lado minha cruz pesada leve
sentirei

Ele me conforta, Ele me anima com Ele vencerei
Ele me conforta, Ele me anima com Ele vencerei

Mesmo se houver barreiras e o pavor me sobrevier
Ele estando ao meu lado nada temerei com Ele vou
subir

E fim no fim da jornada a vitória eu terei
Vou morar no Lar Eterno e ali jamais lutas eu terei"
8;Eu pressinto que algo grae;E;"Eu pressinto que algo grande está a caminho.
Porque eu sinto que algo bom está aqui
A promessa de um estrondo desde os céus,
Oh! Irmão, qualquer dia pode ser.

Se o crente se humilha e clama a Ele.
E do céu em fé, espera enquanto ora,
Eu pressinto que algo bom está a caminho.
Oh! Irmão, qualquer dia pode ser."
9;Todos devem Saber;E;"Todos devem saber (TRIS)
Quem é Jesus!
Ele é o lírio dos Vales!
A estrela da manhã
O escolhido entre os milhares
Todos devem saber!

Todos devem conhecer (TRIS)
Quem é Jesus!
Ele é o lírio dos Vales!
A estrela da manhã
O escolhido entre os milhares
Todos devem conhecer!"
10;Igreja Primitiva;E;"Esta igreja é A primitiva,
E sempre foi a Igreja do Senhor.
Por isso ela é Uma igreja Viva,
E revestida do Consolador.

(BIS) Ela não cai, Não cai, não cai!
Porque Jesus do Meio dela não Sai

Esta igreja é A primitiva,
E sempre foi A igreja de Poder.
Trazendo sempre Uma mensagem Viva,
Pra converter todo que nele crer.

Esta igreja marcha Triunfante,
Porque existe Um povo Lutador.
Vivendo sempre Em Despertamento,
E combatendo contra o tentador

Esta igreja Quando se reúne,
Para buscar a Deus em Oração.
O fogo desce abrasadoramente
Trazendo gozo e Purificação.

Irmãos amados Vamos batalhar,
Não desanime Com as lutas Não,
Pois brevemente Cristo voltará
Nos levará Para a feliz Sião."
11;Eu quero andar nas ruas de ouro;E;"Eu quero andar nas ruas de ouro com Jesus (2X)
Eu quero andar nas ruas de ouro (2X)
Eu quero andar nas ruas de ouro com Jesus
E lá na nova Jerusalém (3x)
Eu quero andar nas ruas de ouro com Jesus"
12;Meu meu meu;E;"Meu, meu, meu, Jesus é meu (2X)
Dia a dia Ele é meu Salvador
Meu, meu, meu, Jesus é meu."
13;Eco de Aleluia;E;"Estão ouvindo este eco de aleluias
Este barulhão de glórias a Deus
Quando aqui na terra se findar
Ainda continua lá no céu

Eu conheço muita gente que são como fariseus
Não gostam de aleluias e proíbem glórias a Deus
Irmãos queremos ver, onde os tais vão se esconder
Quando Cristo lá no céu aparecer

Por isto meus irmãos busquem o poder de Deus
Não olhem para o mundo nem escutem fariseus
Dai glória e aleluia, Jesus já vem aí
Este povo barulhento vai subir"
14;Jesus Convida;E;"Jesus convida pra com Ele viajar,
Esta viagem eu não posso rejeitar
Viagem longa é muito longa,
Mas é com Ele que eu quero viajar.

Jesus convida pra com Ele viajar,
Esta viagem eu não posso rejeitar
Tem água viva, tem pão da vida
Tem uma mesa para os salvos saciar

Jesus convida pra com Ele viajar,
E lá no céu um lugar foi preparar,
Mansão celeste pra Noiva eleita
Que brevemente no céu vai descansar"
15;Esta alegria não vai mais sair;E;"Esta alegria não vai mais sair (3x)
De dentro do meu coração.
O fogo cai, o fogo cai,
O salvo em Cristo sabe para onde vai.
O fogo cai, o fogo cai,
O salvo em Cristo sabe para onde vai."
16;Subindo;E;"Subindo, subindo,
Subindo para o céu eu vou.
Tristeza não vai comigo
Porque Jesus Cristo me salvou:
Joguei a tristeza fora
E com Jesus para o céu eu vou!"
17;É isto que me faz cantar;E;"É isto que me faz cantar (2X)
Dos meus pecados livres estou e para o céu eu vou
É isto que me faz cantar
Ao mundo vou anunciar (2X)
Que Cristo salva o pobre pecador com seu amor
É isto que me faz cantar"
