1;NO MEU CORAÇÃO;;"No meu coração,
No meu coração,
Vem hoje habitar, ó Cristo
Vem para morar, vem ficar
No meu coração, ó Cristo"
2;QUERO ACORDAR CANTANDO;;"Pode a tristeza durar até ao anoitecer
Mas a alegria ela vem ao amanhecer (BIS)
Quero acordar cantando (TRIS)
E louvando ao meu Senhor !"
3;VEM! VISITA!;;"Vem! Visita a tua igreja,
Ó bendito Salvador!
Sem tua graça… ela murcha
Ficará sem vigor.
Vivifica, vivifica,
Nossas almas ó Senhor!
Vivifica, vivifica,
Nossas almas ó Senhor!"
4;MARAVILHOSO É CRISTO;;"Maravilhoso é Cristo, incomparável sim,
Maravilhoso é Cristo,
Antes de tudo, Ele é pra mim,
Maravilhoso é Cristo,
Quão grande é seu amor,
Melhor amigo não tenho,
Tudo Ele é pra mim."
5;TU ÉS DIGNO DE LOUVOR;;"Tu és digno de louvor
Tu és digno de louvor
Cantarei ti Senhor
Tu és digno de louvor."
6;QUÃO GLORIOSO É;;"(BIS) Quão glorioso é
Deus está aqui
Ele prometeu onde há amor

[coro]
Fica Senhor, fica Senhor
Fica Senhor, em cada coração
Fica Senhor, fica Senhor
Fica no meu coração.

(BIS) Oh, Cristo faz da minha alma um altar
Para adorar-te com devoção."
7;MEU DESEJO É SER COMO CRISTO;;"Meu desejo é ser como Cristo
Meu desejo ser-lhe fiel,
Ser como Cristo
Oh, Sim eu quero,
Viver pra Cristo,
Meu Salvador."
8;SÊ FIEL;;"[coro]
Sê fiel até morte
E eu te darei
A coroa da vida
Sê fiel, sê fiel

Não temas as lutas
Que vem para ti,
Te darei vitória
Sê fiel, sê fiel

Além do sol
Eu tenho um lar
Te darei filho meu
Sê fiel, sê fiel."
9;EU PRESSINTO;;"Eu pressinto que algo grande está a caminho.
Porque eu sinto que algo bom está aqui
A promessa de um estrondo desde os céus,
Oh! Irmão, qualquer dia pode ser.

Se o crente se humilha e clama a Ele.
E do céu em fé, espera enquanto ora,
Eu pressinto que algo bom está a caminho.
Oh! Irmão, qualquer dia pode ser."
10;DEIXA A GLÓRIA DE DEUS BRILHAR;;"DEIXA A GLÓRIA BRILHAR

Deixa a glória de Deus brilhar, (5x)
Deixa a glória em seu rosto brilhar
Deixa a glória de Deus brilhar em seu rosto
Deixa a glória de deus brilhar.

[coro]
Foi lá no cume do monte
Que o nosso Deus com Moisés falava,
Quando ele desceu do monte,
E não sabia que seu rosto brilhava.

Brilhava, brilhava,
O seu rosto brilhava,
Foi lá ao cume do monte Sinai,
Que o nosso Deus com Moisés falava."
