2;I Believe God;Ab;"I believe God! I believe God!
Ask what you will and it shall be done;
Trust and obey, believe Him and say:
I believe, I believe God.

And if you want salvation now
And the Holy Ghost and power,
Just trust and obey, 
Believe Him and say:
I believe, I believe God."
12;The Windows Of Heaven;C;"The windows of Heaven are open,
The blessings are falling tonight,
There's joy, joy, joy in my heart,
Since Jesus made everything right;

I gave Him my old tattered garment,
He gave me a robe of pure white,
I'm feasting on Manna from Heaven,
And that's why I'm happy tonight.

The Lord God sent us a prophet
According to Malachi 4 
To turn the hearts of the childen 
Back to the fathers
The message was sent to restore
We are living now in the end time
The bride is preparing today
The bridegroom has sent us His message
That he'd soon take his bride away

What is the attraction on mount
The Piller of Fire has come
Spiritual food in due season
No need to starve anymore
Revelation 10:7 has sounded
The mysteries have been revealed
The revelation of the seven seals 
Has been opened
And the bridegroom is ready to leave"
15;Jesus Set Me Free;F;"I'm so glad Jesus set me free,
I'm so glad Jesus set me free,
I'm so glad Jesus set me free,
Singing, glory, hallelujah,
Jesus set me free.

I'm so glad Jesus lifted me,
I'm so glad Jesus lifted me,
I'm so glad Jesus lifted me,
Singing, glory, hallelujah,
Jesus set me free.

I'm on my way to Heaven, Shouting ""victory""
I'm on my way to Heaven, Shouting ""victory""
I'm on my way to Heaven, Shouting ""victory""
Singing, glory, hallelujah,
Jesus set me free.

Satan had me bound, But Jesus set me free, 
Satan had me bound, But Jesus set me free, 
Satan had me bound, But Jesus set me free, 
Singing, glory, hallelujah,
Jesus set me free."
28;Never Failed Me Yet;F;"Never failed me yet, 
Never failed me yet,
Jesus' love never failed me yet;
This one thing I know, 
That where e'er I go,
Jesus' love never failed me yet."
29;Nobody But You, Lord;C;"Nobody but you, Lord, nobody but you,
Can keep me happy, can keep me true.
All through life's journey
You'll carry me through,
Nobody but you, Lord, nobody but you."
30;I Love My Jesus;Bb;"I love my Jesus, for He's my Saviour,
And He has brought me unto the fountain;
The blessed fountain of Living Water,
The crystal fountain that never shall run
  dry."
37;Shut In With God;C;"Shut in with God in a secret place,
There in the Spirit beholding His face,
Gaining new power to run in the race,
I long to be shut in with God."
49;So Glad I'm Yours, Lord;Eb;"So glad I'm yours, Lord,So glad I'm yours.
So glad your mercy, Has followed me.
So glad you found me, And set me free
So glad I'm yours, Lord, So glad I'm yours."
53;There's Never Been A Day;F;"There's never been a day Like this day to me,
There's never been a day Like this day I see,
There's never been a light That shines so bright
As this day, this glorious day.

For Christ is revealing Himself to me
He's opened my eyes And now I can see!
His Word has become a reality
In this Day, this Glorious Day."
55;We're Together Again;G;"We’re together again, just praising The Lord
We’re together again, in one accord
Something good is going to happen
Something good is in store
We’re together again, just praising The Lord"
58;Therefore The Redeemed;Ab;"Therefore the redeemed 
Of the Lord shall return,
And come with singing unto Zion;
And everlasting joy 
Shall be upon their head.
Therefore the redeemed 
Of the Lord shall return,
And come with singing unto Zion;
And everlasting joy 
Shall be upon their head

They shall obtain gladness and joy;
And sorrow and mourning shall flee away.
Therefore the redeemed 
Of the Lord shall return,
And come with singing unto Zion;
And everlasting joy Shall be upon their head."
69;I Love Him Better;F;"I love Him better every day
I love Him better every day.
Close by His side, I will abide,
I love Him better every day."
74;That Sounds Like Home To Me;F;"That sounds like home to me,
Like where I want to be.
There'll be no tears
To dim our eyes again.
The hills will echo with the story
As we sing of His Grace and Glory;
Where the saints of God will be,
That sounds like home to me.

Somewhere just across the Jordan River
Is a place of everlasting joy and peace
Where the stream of life is flowing there forever
And the crown of life is waiting there for me

That sounds like home to me
Like where I want to be
There'll be no tears, to fill our eyes again
The hills will echo with the story
As we sing of his grace and glory
Where the saints of God will be
That sounds like home to me

They say there's mansions there inside, 
that city
A Crystal river flowing by the tree of life
Where the tree of life is blooming, there forever
And Jesus Christ Himself, will be the light"
87;I Am Blessed;Ab;"I am blessed, I am blessed,
Every day that I live I am blessed.
When I wake up in the morning
When I lay my head to rest
I am blessed, I am blessed."
99;Make Me More Like Thee;F;"Make me more like Thee, Jesus,
Make me more like Thee.
Give me a heart that's filled with love,
And make me more like Thee."
100;Jesus I'll Never Forget;F;"Jesus I'll never forget
What You've done for me,
Jesus, I'll never forget
How You set me free,
Jesus, I'll never forget
How You brought me out,
Jesus I'll never forget, no, never."
101;Until You Know;C;"Until you know the loving hand,
That reaches down to fallen man,
And picks him up above the plane
Where he has trod;

Until you know just how it feels,
To know that God is really real,
You know nothing 
Until you know the love of God."
104;Because He Lives;G;"Because He lives, 
I can face tomorrow,
Because He lives 
All fear is gone,

Because I know, yes I know,
He holds the future,
My life is worth the living
Just because He lives.

Because You're here
I can face tomorrow,
Because You're here
All fear is gone,

Because I know, yes I know,
I'm in Your Presence,
My life is worth the living
Just because You're here."
105;Jesus Signed My Pardon;F;"Jesus signed my pardon,
This I surely know,
He took my place on Calvary,
Now I don't have to go;
All my life I give Him,
He gave His for me,
When He signed my pardon,
There at Calvary."
108;I Want To Live;F;"I want to live, 
The way He wants me to live,
I want to give, 
Until there's just no more to give,

I want to love, 
Love 'til there's just no more love,
For I could never, 
Ever outlove the Lord."
