1;CHUVAS DE GRAÇA;;"Deus prometeu com certeza
Chuvas de graça mandar;
Ele nos dá fortaleza,
E ricas bênçãos sem par

Chuvas de graça,
Chuvas pedimos, Senhor;
Manda-nos chuvas constantes,
Chuvas do Consolador.

Cristo nos tem concedido
O santo Consolador,
De plena paz nos enchido,
Para o reinado do amor.

Dá-nos, Senhor, amplamente,
Teu grande gozo e poder;
Fonte de amor permanente,
Põe dentro de nosso ser.

Faze os teus servos piedosos,
Dá-lhes virtude e valor,
Dando os teus dons preciosos,
Do santo Preceptor."
2;SAUDOSA LEMBRANÇA;;"Oh! que saudosa lembrança
Tenho de ti, ó Sião,
Terra que eu tanto amo,
Pois és do meu coração.
Eu para ti voarei,
Quando o Senhor meu voltar;
Pois Ele foi para o céu,
E breve vem me buscar.

Sim, eu porfiarei por essa terra de além;
E lá terminarei as muitas lutas de aquém;
Lá está meu bom Senhor, ao qual eu desejo ver;
Ele é tudo p’ra mim, e sem Ele não posso viver.

Bela, mui bela, é a esperança,
Dos que vigiam por ti,
Pois eles recebem força,
Que só se encontra ali;
Os que procuram chegar
Ao teu regaço, ó Sião,
Livres serão de pecar
E de toda a tentação.

Diz a Sagrada Escritura,
Que são formosos os pés
Daqueles que boas novas
Levam para os infiéis;
E, se tão belo é falar
Dessas grandezas, aqui,
Que não será o gozar
A graça que existe ali!"
3;PLENA PAZ;;"Plena paz e santo gozo,
Tenho em ti, ó meu Jesus!
Pois eu cri em Tua morte sobre a cruz;
No Senhor só confiando
Neste mundo viverei,
Entoando aleluias ao meu Rei!

Oh! glória ao meu Jesus!
Pois é digno de louvor;
É meu Rei, meu bom Pastor,
E meu Senhor.
Como os anjos, que O louvam,
Eu também O louvarei,
Entoando aleluias ao meu Rei!

O amor de Jesus Cristo
É mui grande para mim,
Pois Sua graça me encheu de amor sem fim.
Meu Jesus foi para a glória,
Mas um dia eu O verei,
Entoando aleluias ao meu Rei!

Este mundo não deseja
Tão bondoso Salvador,
Não sabendo agradecer Seu grande amor.
Eu, porém, estou gozando
Do favor da Sua lei,
Entoando aleluias ao meu Rei!

Quando o povo israelita
Com Jesus se concertar,
Dando glória ao Seu nome, sem cessar.
Nesse tempo, céu e terra
Hão de ser a mesma grei,
Entoando aleluias ao meu Rei!"
4;DEUS VELARÁ POR TI;;"Não desanimes, Deus proverá;
Deus velará por ti;
Sob Suas asas te acolherá;
Deus velará por ti.

Deus cuidará de ti
No teu viver, no teu sofrer;
Seu olhar te acompanhará;
Deus velará por ti.

Se o coração palpitar de dor,
Deus velará por ti;
Tu já provaste Seu terno amor.
Deus velará por ti.

Nos desalentos, nas provações,
Deus velará por ti;
Lembra-te dEle nas tentações;
Deus velará por ti.

Tudo o que pedes, Ele fará;
Deus velará por ti;
E o que precisas, não negará.
Deus velará por ti.

Como estiveres, não temas, vem!
Deus velará por ti;
Ele te entende e te ama bem!
Deus velará por ti."
5;Ó DESCE FOGO SANTO;;"Espírito, alma e corpo,
Oferto a Ti, Senhor,
Como hóstia verdadeira,
Em oblação de amor.

Eu tudo a Deus consagro
Em Cristo, o vivo altar;
Ó desce, fogo santo,
Do céu vem tu selar!

Sou teu, ó Jesus Cristo!
Teu sangue me comprou;
Eu quero a Tua graça,
Pois de Ti sempre sou.

Espírito divino,
Do Pai a promissão;
Sedenta a alma pede,
A Ti, a santa unção."
6;NA MALDIÇÃO DA CRUZ;;"Tu. na maldição da cruz,
Elevaste o Teu amor,
Em rogar, Senhor Jesus:
“Pai, perdoa ao transgressor”.

Queres, queres, com vigor,
Muitas almas despertar;
Queres, queres, ó Senhor!
Transformar, remir, curar;
Oh! Sim! Oh! Sim!
Queres todos renovar.

O Maligno tentador
E o autor da perdição,
Do pecado, mal e dor,
Da doença e da aflição.

Tu levaste, ó bom Jesus,
O pecado, o mal e a dor,
E a doença sobre a cruz;
És o grande Salvador!

Deus é bom, quer sempre o bem Do oprimido pecador;
Mal nenhum, em Si, Deus tem;
“Deus é luz, Deus é amor!”"
7;CRISTO CURA SIM!;;"Contra os males deste mundo,
Deus nos vale só;
Não há mal que Deus não cure,
Pois de nós tem dó.

Cristo cura, sim,
Cristo cura, sim.
Seu amor por nós é Imenso;
Ele cura, sim!

Derramou Seu sangue puro
P’ra remir a mim;
Quando ungido sou de azeite,
Sou curado, enfim!

Só noss’alma é bem segura,
Oculta em Jesus;
Ele o bálsamo da vida,
Derramou na cruz.

Glória a Deus! Eterna glória,
Demos-Lhe louvor;
Glória, cânticos e hosanas
Dai ao Redentor!"
8;CRISTO, O FIEL AMIGO;;"Cristo Jesus é fiel amigo,
Ele só, Ele só.
E nas fraquezas está comigo,
Ele só, Ele só.

E nas lutas de cada dia,
Cristo nunca me deixa só;
Pois Ele é meu seguro guia,
Ele só, Ele só.

Não há amigo mais nobre e digno,
Não, não há; não, não há.
Nem mais humilde e mais benigno,
Não, não há; não, não há.

Ao pecador perdoar anela,
Ele só, Ele só;
E pelos Seus santos sempre vela,
Ele só, Ele só.

Deus, em Seu Filho, se há comprazido,
NEle só, nEle só;
Mas Sua glória me há repartido,
DEle só, dEle só.

NEle nós temos um firme guia,
NEle só, nEle só;
A noite enche de alegria,
Ele só, Ele só"
9;MARCHAI SOLDADOS DE CRISTO;;"Marchai, soldados de Cristo Jesus,
Marchai, marchai e enfrentai
O inimigo do bem e da luz;
Soldados, avançai!

Sim, avançar, não recuar;
Sem temor, com valor,
Marchai, lutai, pois Cristo vai
Na vanguarda – Avançai!

Marchai, soldados, bem alto erguei
O pavilhão da salvação;
A Belial, firmes, ousados, vencei;
Vencei a corrupção.

Vossa armadura de guerra tomai,
O elmo, sim, da salvação:
E a espada: a Bíblia levai,
E vencereis, então.

Avante, avante, confiando em Jesus,
Fortes sereis por Seu amor,
Marchai invictos, soldados da luz,
Jesus é o vencedor."
10;EU TE LOUVO;;"Glória a Deus, o Pai Eterno,
Cujo trono é os céus;
O universo Lhe pertence.
Glória, sim, ao nosso Deus.

Eu te louvo! Eu te louvo!
Oh! Jesus, meu Salvador!
Dai-Lhe glórias, ó remidos!
Pois Seu sangue limpa o pecador.

Glória ao Filho, mui amado,
Que merece o louvor.
Demos glória ao Seu nome,
Ao Cordeiro, ao Redentor.

Demos nós, ao Santo Espírito,
Mil louvores por Seu dom;
Por Sua graça tão imensa,
Glórias Ele, Ele é bom!

Glória, glória ao Pai bendito,
Glória, glória a Jesus;
Glória dai ao Santo Espírito.
Ao Deus trino, nossa luz."
