1;SOMENTE CRER;;"Não temas pequeno rebanho,
só por ti que Ele foi,
Da cruz até ao trono a vida
entregou:
E todo o Poder, na terra e no
céu,
A Ele é dado por amor a ti.

CORO
Somente Crêr, Somente Crêr,
Tudo é possivel Somente Crêr,
Somente Crêr, Somente Crêr,
Tudo é possivel somente Crêr.

Não temas pequeno rebanho,
seu Pastor afrente Vai,
Escolheu o caminho que deves
trilhar:
As água de Marah adoração
para Ti,
Amargas bebeu lá no
Guetsemane.

Não temas pequeno rebanho,
qual seja o teu guião,
Com as portas fechadas não
Lhe impedirão,
Nunca abandonará, nunca se
ausentará                  ;
Na noite ou manhã sua
Presença será.

CORO
Somente Crêr, Somente Crêr,
Tudo é possivel Somente Crêr  ;
Smente Crêr, Somente Crêr,
Tudo é possivel Somente Crêr,
(Senhor eu creio...)
(Senhor eu recebo...)
(Jesus está aqui, Jesus está
aqui...)
(Jesus está aqui...)
"
2;A LUZ DO CÉU;;"Tu anseias hoje mesmo a
Salvação?
Tens desejo de banir a
escuridão?
Abre então a porta do teu
coração,
Deixa a Luz do céu entrar.

CORO
Deixa a Luz do céu entrar.
Abre bem, a porta do teu
coração,
Deixa a Luz do céu entrar.

Cristo a Luz do céu em ti, quer
hoje habitar,
Para as trevas do pecado
dissipar                         ;
Teu caminho e coração
iluminar,
Deixa a Luz do céu entrar.

Que alegria andar no brilho
dessa Luz!
Vida eterna, paz no coração
produziu,
Oh! Aceita agora o Salvador
Jesus,
Deixa a Luz do céu entrar.
"
3;EU O AMO;;"Eo O amo (2X)
Porque Ele primeiro me amou,
E comprou minha salvação,
No madeiro do calvário."
4;FOI NA CRUZ;;"Foi na cruz (2X)
Onde recebi o perdão,
Toda carga em mim lá tirou.
Não temo mais,
Porque salvo estou
E eu canto a Jesus
Que me salvou."
5;EU DESEJO VE-LO;;"Eu desejo vê-lo,
Vê-lo faceca a face.
E cantar p‘ra sempre
Sua divina graça.
Nas ruas douradas
Levanto a minha voz,
A tristezacabou
No abrigo estou.
"
6;IGUAL A JESUS;;"Igual a Jesus (2X)
Caminhando para a glória .
Igual a Jesus! (2X)
É p‘ra mim
A única esperança."
7;A MELHOR ORAÇÃO;;"A melhor oração e amar (2X)
Se não sabes amar, tu não
podes perdoar                    ;
A melhor oração e amar. Ámen!

Senhor, me ensina amar o outro
(2x)
Se não sei amar, eu não posso
perdoar
Senhor me ensina a amar."
8;A MENSAGEM DA CRUZ;;"Rude cruz se erigiu, dela o dia
fugiu                           ;
Como emblema de magoa e
dor                             ;
Não me esqueço essa Cruz,
porque nela Jesus
Deu a vida por mim, pecador.

CORO
Sim, eu sempre amarei a Jesus,
Seu triunfo meu gozo será     ;
Pois um dia em lugar duma
Cruz,
A coroa Jesus me dará.

Desde a glória dos céus, o
cordeiro de Deus,
Ao carvalho humilhante baixou ;
Essa cruz tem p‘ra mim
atractivos sem fim,
E por ela Jesus me salvou!

Nessa Cruz padeceu,
desprezado, morreu,
Meu Jesus para dar-me perdão  ;
D‘Ele agora provém para mim
todo o bem                     ;
Tenho n‘Ele real salvação.

Eu aqui, com Jesus, a vergonha
da Cruz,
Quero sempre levar e sofrer    ;
Quando Cristo voltar para aqui
me buscar,
Sua glória irei receber.
"
9;A ÚLTIMA HORA;;"Ao findar o labor desta vida ,
Quando a morte ao teu lado
chegar                         ;
Que destino há-de ter a sua
alma?
Qual será no futuro teu lar?

CORO
Meu amigo, hoje tu tens a
escolha
Vida ou morte qual vais aceitar?
Amanhã pode ser muito tarde,
Hoje, Cristo te quer libertar.

Tu procuras a paz neste mundo
Em prazeres, que passam em
vão                          ;
Mas, a última hora da vida,
Eles já não te satisfarão

Por acaso tu riste, ó amigo
Quando ouviste falar em Jesus?
Mas, é só Ele o único meio
De salvar, pela morte na Cruz.

Tens manchado tua alma, e não
podes
Nunca ver o semblante de
Deus                           ;
Só os crentes com corações
limpos
Poderão ter o gozo nos céus.

Se decides deixar os teus
pecados,
E entregar tua vida a Jesus      ;
Trilharás, sim na última hora,
Um caminho brilhante de Luz.
"
10;ADORAÇÃO;;"Adorai o Rei do Universo,
Terra e céu cantai Seu louvor,
Todo o ser no grande mar
submerso,
Louve o dominador!

CORO
Todos juntos, O louvemos,
Grande Salvador e Redentor!
Todos O louvemos,
Régio Dominador!

Adorai-o, anjos poderosos,
Vós que sua glória contemplais!
Vós remidos, já vitoriosos,
Graça, rendei-lhe mais!

Sol e lua, cores estrelares,
Sua majestade anunciai!
Hostes grandes, centos de
milhares,
O Seu poder mostrai!

Ventos, chuvas, raios,
trovoadas,
Revelai o forte Criador!
Vós dizei, ó serás elevadas,
Quão grande é meu Senhor!

Altos cedros, grama verdejante,
Esta sinfonia aumentai!
Aves, vermes, todo o ser
gigante,
Gratos, a Deus louvai!

Homens, jovens, velhos e
meninos,
Adorai ao vosso Redentor!
Reis, Sábios, grandes,
pequeninos!
Dai-lhe veraz louvor!
"
