1;ONLY BELIEVE;;"Fear not, little flock, 
from the cross to the throne,
From death into life 
He went for His own;
All power in earth, 
all power above,
Is given to Him 
for the flock of His love.

CHORUS
Only believe, only believe,
All things are possible, 
Only believe, Only believe, 
only believe,
All things are possible, 
only believe. 
(Lord, I believe...) 
(Lord, I receive. .
(Jesus Is here...)

Fear not, little flock,
He goeth ahead,
Your Shepherd selecteth 
the path you must tread; 
The waters of Marah 
He’ll sweeten for thee, 
He drank all the bitter 
in Gethsemane.

Fear not, little flock, 
whatever your lot,
He enters all rooms, 
the doors being shut;
He never forsakes, 
He never is gone, 
So count on His presence 
in darkness and dawn."
2;AMAZING GRACE;;"Amazing grace! 
How sweet the sound,
That saved a wretch like me!
I once was lost, 
but now I'm found,
Was blind, but now I see.


Twas grace that taught 
my heart to fear,
And grace my fears relieved;
How precious did 
that grace appear
The hour I first believed!


Through many dangers, 
toils and snares,
I have already come; 
Tis grace that brought 
me safe thus far,
And grace will lead me home.


When we’ve been there 
ten thousand years,
Bright shining as the sun;
We’ve no less days 
to sing God’s praise
Than when we first begun."
3;THEY COME;;"They come from the East and West,
They come from the lands afar,
To feast with the King, to dine as
His guest
How Blessed these pilgrims are
Beholding His hallowed face
Aglow with light divine;
Blest partakers of His grace,
As gems in His crown to shine.


CHORUS
Since Jesus has set me free,
I’m happy as heart can be;
No longer I bear the burden of care,
His yoke Is so sweet to me,
My soul was as black as night,
But darkness has taken flight;
Now I shout the victory,
For Jesus has set me free.


I look on the great white throne,
Before it the ransom’d stand;
No longer are tears, no sorrow is known
Nor death in that goodly land.
My Saviour has gone before,
Preparing the way for me;
Soon we’ll meet to part to more
Thru’ time or eternity.


The gates of that holy place
Stand open by night and day;
Oh look to the Lord who giveth more grace,
Whose love has prepared the way.
A home in those mansions fair
His hand hath reserved for all.
For the wedding feast prepare,
Obeying the gracious call.


Oh Jesus is coming soon, 
Our trials will then be o’er
 What if our Lord this moment should come
For those who are free from sin?
Then would it bring you joy,
Or sorrow and deep despair?
When our Lord in glory comes,
We’ll meet Him up in the air."
4;I LOVE HIM;;"Gone from my heart the 
world and all its charms;
Now, through the blood,
I’m saved from all alarms;
Down at the cross my 
heart is bending low, 
The precious blood of Jesus 
cleanses white as snow.

CHORUS
I love Him, I love Him
Because He first loved me 
And purchased my salvation
On Calvary’s tree.

Once I was lost, and 
way down deep in sin;
Once was a slave to 
passions fierce within;
Once was afraid to trust 
a loving God; 
But now I’m cleansed 
from every stain
Through Jesus’ blood.


Once I was bound, 
but now I am set free;
Once I was blind, 
but now the light I see;
Once I was dead, 
but now in Christ I live,
To tell the world around the 
peace that He doth give."
5;SWEET HOUR OF PRAYER;;"Sweet hour of prayer,
sweet hour of prayer, 
That calls me from a world of care,
And bids me, at my Father’s throne,
Make all my wants and wishes known
In seasons of distress and grief,
My soul has often found relief,
And oft escaped the tempter’s snare, 
By Thy return, sweet hour of prayer.

Sweet hour of prayer,
sweet hour of prayer, 
The joy I feel, the bliss I share,
Of those whose anxious spirits burn
With strong desires for Thy return! 
With such I hasten to the place
Where God, my Saviour,
shows His face,
And gladly take my station there, 
And wait for thee, sweet hour of prayer.


Sweet hour of prayer,
sweet hour of prayer,
Thy wings shall my petition bear 
To Him whose truth and faithfulness
Engage the waiting soul to bless;
And since He bids me seek His face,
Believe His Word and trust His grace,
I'll cast on Him my every care,
And wait for thee, sweet hour of prayer."
6;OH, HOW I LOVE JESUS;;"There is a name I love to hear,
I love to sing its worth;
It sounds like music in mine ear,
The sweetest name on earth.

CHORUS
Oh, how I love Jesus,
Oh, how I love Jesus,
Oh, how I love Jesus,
Because He first loved me.

It tells me of a Savior’s love,
Who died to set me free;
It tells me of His precious blood;
The sinner’s perfect plea.

It tells me what my Father hath
In store for every day,
And though I tread a darksome path,
Yields sunshine all the way.

It tells of One whose loving heart
Can feel my deepest woe,
Who in each sorrow bears a part,
That none can bear below."
7;WHEN THE REDEEMED GATHER;;"I am thinking of the rapture
In our blessed home on high,
When the redeemed are gathering in;
How we'll raise the heavenly anthem
In that city in the sky
When the redeemed are gathering in.

CHORUS
When the redeemed are gathering In
Washed like the snow, 
and free from all sin;
How we will shout, 
and how we will sing,
When the redeemed are gathering in.

There will be a great procession 
over on the streets of goId,
When the redeemed are gathering in;
Oh what music, O what singing,
o’er the city will be rolled,
When the redeemed are gathering in.


Saints will sing redemption’s story 
with their voices clear and strong
When the redeemed are gathering in;
Then the angels all will listen,
for they cannot join that song,
When the redeemed are gathering in.


Then the Saviour will give orders 
to prepare the banquet board,
When the redeemed are gathering in;
And we'll hear His invitation,
Come, ye blessed of the Lord,
When the redeemed are gathering in."
8;OH, I WANT TO SEE HIM;;"As I journey through the land,
singing as I go, 
Pointing souls to Calvary, 
to the crimson flow,
Many arrows pierce my soul
from without, within;
But my Lord leads me on,
through Him I must win.

CHORUS
Oh, I want to see Him,
look upon His face,
There to sing forever of His 
saving grace;
On the streets of Glory let me 
lift my voice;
Cares all past, home at last, 
ever to rejoice.


When in service for my Lord, 
dark may be the night,
But I’ll cling more close to Him,
He will give me light; 
Satan’s snares may vex my soul,
turn my thoughts aside;
But my Lord goes ahead,
leads whate’er betide.


When in valleys low 
I look toward the mountain height,
And behold my Saviour there,
leading in the fight, 
With a tender hand outstretched
toward the valley low;
Guiding me, I can see, as I onward go.


When before me billows rise
from the mighty deep, 
Then my Lord directs my back,
He doth safely keep,
And He leads me gently on
through this world below;
He’s a real Friend to me,
Oh I love Him so"
9;FEELING SO MUCH BETTER;F;"Feeling so much better
talking about this good old Way,
Feeling so much better
talking about the Lord;
Let’s go on, let’s go on
talking about this good old Way
Let’s go on, let’s go on 
talking about the Lord.

The devil he don’t like it,
talking about this good old Way, 
The devil he don’t like it,
talking about the Lord.
Let’s go on, let’s go on
talking about this good old Way
Let’s go on, let’s go on talking 
about the Lord."
10;TEACH ME LORD, TO WAIT;;"Teach me, Lord, to wait
down on my knees,
Till in Your own good time
You answer my pleas;
Teach me not to rely 
on what others do,
But to wait in prayer
for an answer from You.


chorus
They that wait upon the Lord,
shall renew their strength 
They shall mount up with wings 
as an eagle,
They shall run and not be weary, 
they shall walk and not faint;
Teach me Lord, teach me Lord, 
to wait.


Teach me Lord, to wait 
while hearts are aflame,
Help me humble my pride 
and call on Your Name;
Keep my faith renewed, 
keep my eyes on Thee, 
Help me be on this earth 
what You want me to be."
11;HALLELUJAH, WE SHALL RISE;;"In the resurrection morning,
When the trump of God shall sound
We shall rise, (Hallelujah!) we shall rise!
Then the saints ‘will come rejoicing
And no tears will e’er be found, 
We shall rise, (Hallelujah!) we shall rise!

CHORUS
We shall rise, (Hallelujah!) 
We shall rise, (Amen!)
We shall rise, (Hallelujah!) 
In the resurrection morning, 
When death’s prison bars are broken
We shall rise, (Hallelujah!) we shall rise.


In the resurrection morning, 
What a meeting it will be, 
We shall rise, (Hallelujah!) we shall rise!
When our fathers and our mothers, 
And our loved ones we shall see, 
We shall rise, (Hallelujah!) we shall rise!


In the resurrection morning,
Blessed thought it is to me,
We shall rise, (Hallelujah!) we shall rise!
I shall see my blessed Saviour,
Who so freely died for me, 
We shall rise, (Hallelujah!) we shall rise!


In the resurrection morning, 
We shall meet Him in the air, 
We shall rise, (Hallelujah!) we shall rise!
And be carried up to glory, 
To our home so bright and fair, 
We shall rise, (Hallelujah!) we shall rise!"
12;WEAR A CROWN;;"Am I a soldier of the cross,
A follower of the Lamb,
And shall I fear to own His cause,
Or blush to speak His name?

CHORUS
And when the battle’s over, 
we shall wear a crown! 
Yes, we shall wear a crown! 
Yes, we shall wear a crown!
And when the battle’s over, 
we shall wear a crown 
In the new Jerusalem.
Wear a crown, wear a crown,
Wear a bright and shining crown,
And when the battle’s over
we shall wear a crown 
In the new Jerusalem.

Must I be carried to the skies
On flow’ry beds of ease,
While others fought to win the prize,
And sailed through bloody seas?

Are there no foes for me to face?
Must I not stem the flood?
Is this vile world a friend to grace
To help me on to God?

Sure I must fight if I would reign,
Increase my courage, Lord; 
I’ll bear the toil, endure the pain, 
Supported by Thy word."
