1;MUNGU MTUKUFU ALIYE BWANA;;"Mungu Mtukufu aliye Bwana,
Akamtoa Yesu Mpendwa Mwana;
Akawa dhabihu kwa dhambi zote,
Kufungua njia kwa watu wote.

 Chorus
 Msifuni, msifuni,
 Nchi imsikie;
 Msifuni, msifuni,
 Bwana mshangilie:
 Njoni kwake Baba
 Kwa Yesu Mwana,
 Mpeni heshima
 Aliye Bwana.


Ukombozi wetu, tendo Ia Mungu,
Ni ukamilifu kwa kila mtu;
Mwenye ukosefu akimwamini,
Atasamehewa na Yesu, kweli.


Ametufundisha mambo ya mbingu,
Tukafurahishwa na Mwana Mungu;
Ametuinua tukae naye,
Atatuongoza hata milele.";;
2;JINA LA YESU, SALAMU!;;"Jina Ia Yesu, salamu!
 Lisujudieni,
 Ninyi mbinguni, hukumu
 Na enzi mpeni.

 Enzi na apewe kwenu,
 Watetea dini
 Mkuzeni Bwana wenu
 Na enzi mpeni.

 Enyi mbegu ya rehema
 Nanyi msifuni;
 Mmeponywa kwa neema,
 Na enzi mpeni.

 Wenye dhambi kumbukeni
 Ya Msalabani
 Kwa furaha msifuni
 Na enzi mpeni.

 Kila mtu duniani
 Msujudieni,
 Kote-kote msifuni
 Na enzi mpeni.

 Sisi na wao pamoja
 Tu mumo sifani
 Milele sifa ni moja,
 Ni ""Enzi mpeni.""";;
3;UNIUMEGEE MKATE HAl;;"Uniumegee Mkate Hai,
Kama ulivyomega zamani,
Ninakutafuta, Ewe Bwana,
Roho yangu yakutaka sana.

Uniumegee Mkate Hai,
Neno lako likae moyoni;
Mawazo ya ndani yawe safi,
Niongozwe daima, Mwokozi.

Neno lako Bwana, nilione,
Ujumbe wako niandikie;
Tushirikiane na upendo,
Uniitilie sura yako.";;
4;MSALABANI PA MWOKOZI;;"Msalabani pa Mwokozi
Hapo niliomba upozi,
Akaniokoa Mpenzi,
Mwana wa Mungu.
 
Mwana wa Mungu, 
Mwokozi wangu,
Akaniokoa Mpenzi, 
Mwana wa Mungu.

Chini ya mti msumbufu
Niliomba utakatifu,
Alinikomboa kwa damu,
Mwana wa Mungu.
 
Mwana wa Mungu, 
Mwokozi wangu,
Alinikomboa kwa damu,
Mwana wa Mungu.

Aliniokoa dhambini,
Ikawa kunikaa ndani,
Aliponifia mtini, -
Mwana wa Mungu.
 
Mwana wa Mungu, 
Mwokozi wangu,
Aliponifia mtini, 
Mwana wa, Mungu

Damu ya Yesu ya thamani
Huniokoa makosani,
Huniendesha wokovuni
Mwana wa Mungu.
 
Mwana wa Mungu, 
Mwokozi wangu
Huniendesha wokovuni, 
Mwana wa Mungu.

Hicho kijito cha gharama
Leo jivike kwa kuzama,
Kwake uuone uzima,
Mwana wa Mungu.

Mwana wa Mungu, 
Mwokozi wangu,
Kwake uuone uzima, 
Mwana wa Mungu.";;
5;KWA YOTE ALIYOTENDA;;"Kwa yote aliyotenda,
Sitaacha kumsifu,
Neema yake imetosha,
Sitaacha kumsifu,

Chorus
Sitaacha kumsifu,
Mwokozi, Mwokozi;
Sitaacha kumsifu
Aliye Mkombozi.
 

Anipaye nguvu zake,
Sitaacha kumsifu,
Nitembee njia yake,
Sitaacha kumsifu,


Hunipa wokovu wake,
Sitaacha kumsifu,
Kwa kunipa nguvu zake,
Sitaacha kumsifu.
 

Ninaposafiri hapa,
Sitaacha kumsifu.
Nitakapofika mbingu,
Sitaacha kumsifu.";;
6;BABA, MWANA, ROHO;;"Baba, Mwana, Roho, Mungu Mwenye enzi,
Kila tukiamka tunakuabudu.
Baba, Mwana, Roho, Mungu wa mapenzi,
Ewe Utatu, tunakusifu.


Baba, Mwana, Roho, wakuaminio
Wanakutolea shukurani zao.
Wakusujudia malaika nao:
Wewe U mwanzo, nawe U mwisho.


Baba, Mwana, Roho, sisi tu gizani,
Utukufu wako haoni mkosa;
U Mtakatifu, nawe U mapenzi,
U peke yako, mwenzio huna.


Baba, Mwana, Roho, Mungu Mwenye enzi,
Ulivyoviumba vyote vyakusifu:
Baba, Mwana, Roho, Mungu wa mapenzi,
Ewe Utatu, tunakusifu.";;
7;JINA LAKE YESU TAMU;;"Jina lake Yesu tamu.
Tukilisikia
Hutupoza, tena hamu
Hutuondolea. (X3)


Roho iliyoumia
Kwalo hutibika,
Chakula, njaani pia;
Raha, tukichoka. (X3)


Jina hili ni msingi,
Ngao, ngome, mwamba,
Kwa hili napata ungi,
Kwangu ni akiba.(X3)


Yesu, Mchunga, Rafiki,
Mwalimu, Kuhani,
Mwanzo, Mwisho, Njia, Haki,
Uzima kifoni.(X3)


Moyo wangu hauwezi
Kukusifu kweli,
Ila sifa zangu hizi,
Bwana, zikubali.(X3)


Na utakaponiita,
Kuja kwako Bwana,
Huko kwako sitaacha
Kukusifu sana.(X3)";;
8;NITAIMBA JUU YA MKOMBOZI;;"Nitaimba juu ya Mkombozi,
Jinsi alivyonipenda;
Aliteswa msalabani,
Nisipate kulaaniwa.


Chorus 
Imbeni juu ya Mkombozi,
Kwa damu aniweka;
Nafidiwa msalabani
Deni zangu zafutwa.


Nitanena habari njema,
Jinsi nilivyookoka;
Kwa upendo na neema,
Anipatia fidia.


Nltamsifu Mkombozi wangu,
Jinsi atoavyo ushindi:
Kwa uwezo namshangilia;
Juu ya dhambi na mauti.


Nitamsifu Mkombozi wangu
Jinsi alivyonipenda;
Amenitolea uzima,
Nikae kwake daima.";;
9;YESU MFALME MWOKOZI WANGU;;"Yesu Mfalme, Mwokozi wangu,
Maisha yangu nimekupa;
Nafurahi kwa wokovu wangu,
Damu yako hunifungua.

Chorus 
Mwokozi wangu, Mwokozi wangu,
Ndiwe wa thamani na pendo;
Mwokozi wangu, Mwokozi wangu,
Nimejaa na sifa zako.


Kufunguliwa! Habari Njema!
Madoa yote yamefutwa;
Yesu akaja akae kwangu,
Kwa pendo lake nimewaka.


Yesu Bwana, nimekusujudu,
Hazina zangu ziwe zako;
Unifundishe nikutukuze,
Hata milele niwe wake.


Nifikapo mle mbinguni,
Nitaona uzuri wako;
Nitafurahi hata milele,
Nitakuwa na mfano wake.";;
10;YESU, NIKIKUKUMBUKA;;"Yesu, nikikukumbuka
Huona tamu moyo,
Itazidi nikikwona
Uso ukaapo.


Hakuna kamwe tamko
Lenye kusemeka,
Tamu kama Jina hilo,
Wala kuwazika.


Jinsi ilivyo, hakuna,
Tangu kale kitu
Cha kuzidi lako Jina
Mwokozi wa watu.
 

Tumai ya watubuo,
Nyemi za wapole,
Wa kuomba, watafutao,
Wabariki wale.
 

Ulivyo kwa wakwonao
Havijulikani,
Pendo zako wajuao
Ndio wa pendoni.
 

Yesu huku U raha kuu,
U ujira kule:
Ni Wewe letu shangwe tu,
Milele, milele.";;
