1;I Believe God;Ab;"I believe God! I believe God!
It shall be done; even as He say
Trust and obey, look up and say:
I believe, I believe God.

And if you want salvation now
And the Holy Ghost and power,
Just trust and obey, 
Believe Him and say:
I believe, I believe God."
2;Reach Out, Touch The Lord;F;"Reach out and touch the Lord
As He goes by,
You'll find He's not too busy,
To hear your heart's cry;
He's passing by this moment,
Your needs to supply,
Reach out and touch the Lord
As He goes by.

I`ll reach out and touch my Lord
As He goes by,
I'll find He's not too busy,
To hear my heart's cry;
He's passing by this moment,
My needs to supply,
I`ll reach out and touch the Lord
As He goes by."
3;Feeling So Much Better;F;"Feeling so much better 
Talking about this good old Way,
Feeling so much better 
Talking about the Lord;
Let's go on, let's go on 
Talking about this good old Way,
Let's go on, let's go on 
Talking about the  Lord.

The Devil he don't like it, 
Talking about this good old Way,
The Devil he don't like it, 
Talking about the Lord.
So, let's go on, let's go on 
Talking about this good old Way,
Let's go on, let's go on 
Talking about the Lord.

Feeling so much better 
Talking about the Revealed Word
Feeling so much better 
Talking about the Lord;
Let's go on, let's go on 
Talking about the Revealed Word
Let's go on, let's go on 
Talking about the  Lord.

The Devil he don't like it, 
Talking about this Revealed Word,
The Devil he don't like it, 
Talking about the Lord.
So, let's go on, let's go on 
Talking about this Revealed Word,
Let's go on, let's go on 
Talking about the Lord.

Feeling so much better 
Talking about Malachi 4
Feeling so much better 
Talking about the Lord;
Let's go on, let's go on 
Talking about Malachi 4
Let's go on, let's go on 
Talking about the  Lord.

The Devil he don't like it, 
Talking about this Malachi 4,
The Devil he don't like it, 
Talking about the Lord.
So, let's go on, let's go on 
Talking about this Malachi 4,
Let's go on, let's go on 
Talking about the Lord."
4;Shine On Me;F;"Shine on me, Lord, shine on me,
Let the light from the Lighthouse 
shine on me;
Shine on me, Lord, shine on me,
Let the light from the Lighthouse 
shine on me."
5;Oh It Is Jesus;C;"Oh it is Jesus! Yes, it is Jesus!
Oh it is Jesus in my soul;
For I have touched 
The hem of His garment,
And His blood has made me whole."
6;The Water Way;Eb / F;"Long ago the maids drew water
In the evening time, they say.
One day Isaac sent his servant
To stop Rebekah on her way.
""My master sent me here to tell thee;
See these jewels rich and rare;
Would'st thou not his lovely bride be
In that country over there?""

Chorus
It shall be light in the evening time,
The path to glory you will surely find;
Through the water way, It is the light today,
Buried in the precious Name of Jesus.
Young and old, repent of all your sin,
The Holy Ghost will surely enter in;
The evening Light has come,
It is a fact that God and Christ are one.

So God's servant come to tell you
Of a Bridegroom in the sky,
Looking for a holy people.
To be His Bride soon, by and by;
He sends to us refreshing water
In this wondrous latter day;
they who really will be raptured
Must go through the water way

Are you on your way to ruin,
Cumbered with a load of care?
See the quick work God is doing
That so His glory you may share.
At last the faith He once delivered
To the saints is ours today;
To get in the Church triumphant 
You must go the water way.

have you looked and often wondered
Why the power is slack today?
Will you stay in the back number
And go on in the man-made way?
O saints who never have been buried
In the blessed name of God,
Let the truth now sanctify you;
It's the way apostles trod"
7;He's Everything To Me - Ndiye Zvose;Eb;"He's everything,
He's everything to me;
He's everything, 
He's everything to me;
He's my father, my mother, 
My sister and my brother,
He's everything to me.

Ndiye zvose,
Zvose kwandiri,
Ndiye zvose,
zvose kwandiri,
Ndiye baba na mai
Mukoma nehanzvadzi
Ndiye zvose kwandiri"
8;I Know It Was The Blood;F;"I know it was the Blood,
I know it was the Blood,
I know it was the Blood for me;
One day when I was lost,
He died upon the Cross,
I know it was the Blood for me."
9;This World Can't Hold Me;F;"This old world can never hold me,
Any moment I'll be gone,
For I've made my consecration,
And I have my wedding garment on."
10;Got Any Rivers?;F;"Be of good courage, 
God spake unto Joshua
When over the river 
God pointed the way
Jordan uncrossable! 
 things seemed impossible
Waters divide 
 as they march and obey

Chorus
Got any rivers you 
 think are uncrossable?
Got any mountains you 
 can't tunnel through?
God specializes in things
 thought impossible,
And He will do what
 no other power can do.

Battles to win! they would
 meet with their obstacles
Jericho's walls, too, 
must fall to the ground.
God never failed; 
He stood back of His promises,
Walls had to crumble 
as they marched around.

God is the same and 
His Word is dependable
He'll make a way 
through the waters for you;
Life's situations by
 Him are amendable,
Mountains and hills 
He will part for you too."
