735;Nous travaillerons jusqu'à ce que Jésus vienne;F;"Terre de repos, je te désire !
Quand viendra-t-il le temps,
Où je déposerai les armes
Pour vivre en paix chez moi ?

Chorus
Nous allons travailler,
Jusqu'à ce que Jésus vienne ;
Ensuite à la maison,
Nous serons rassembles.

Joies sereines sur terre je ne connais
Ni paisible abri sûr ;
Ce monde est un désert de peines,
Ce monde n'est pas chez moi.

Vers Christ je cours pour le repos ;
Il  me dit : "" Cesse d'errer ! ""
Je trouve en Son Sein du secours
Avant d'être au Ciel.

Alors j'ai cherché mon Sauveur,
Mes pas n'erreront plus ;
Avec Lui je braverai la mort
Et j'atteindrai le Ciel.";© Public Domain;
736;Où sont les enfants ?;;"Je suis retourné à l'église ce jour,   
J'ai regardé tout autour,                      
Je n'ai pas vu beaucoup de petits 
  visages ;                                                 
Ils devraient être instruits si tôt,         
Ils devraient avoir Jésus dans leurs
  cœurs ;                                                 
Oh, où sont les enfants ?                   
Où sont les enfants ?

CHORUS
Satan nous les a-t-il volé?
Sommes-nous aveugles pour 
  voir cela?
Oh, où sont les enfants ?
Jésus l'avait bien déclaré :
A mon retour, trouverai-Je 
  la foi ?
Oh, où sont les enfants ?
Où sont les enfants ?

A la fin de notre voyage,
Qui prendront notre relève ?
Le lieu du culte disparaitra-t-il ?
'Grâce étonnante' et 'Dans peu 
  de temps',
Qui les chanteront alors ?
Oh, où sont les enfants ?
Pleurez pour les enfants.

Et en si peu de temps seulement,
Il y a eu  des grands changements,
Ce monde ne fait que s'empirer ;
Et quand nous serons là-bas au ciel, 
Nos enfants seront-ils autour 
  de nous?
Oh, où sont les enfants ?
Priez pour les enfants.";© Copyright;
737;Ils ont laissé tomber les barrières;;"Oh ! Maître, Berger du troupeau,
Le troupeau paraît maigre ;
Les brebis sont toutes parties,
Et les boucs sont entrés.

Vous avez laissé tomber les barrières,
Vous faites des compromis ;
Ainsi, toutes les brebis sont parties,
Et les boucs sont entrés.

                                      
Vous faites entrer le banquier,
 Profitant de son or ;
Vous avez le riche, le puissant,
Vous ignorez le pauvre.


Vous avez fait entrer la télé,
Pour distraire le troupeau ;
Et quand les brebis meurent de faim,
Les boucs sont gras, contents.


Les brebis veillent à ce qu'elles mangent,
Donne de verts pâturages ;
Les boucs n'ont pas de préférence,
Ils mangent n'importe quoi.


Les boucs ont pris tout le contrôle,
Et quel gâchis, alors !
Bon Berger, relève les barrières,
Les brebis reviendront !";;
740;La Bible est notre héritage;;"La Bible est notre héritage,
La Bible nous enseigne,
La Bible nous corrige,
La Bible est un Livre inspiré.

Genèse                                           
Exode 
Lévitique 
Nombres 
Deutéronome 
Josué 
Juges 
Ruth 
1 Samuel 
2 Samuel 
1 Rois 
2 Rois 
1 Chroniques 
2 Chroniques 

La Bible est notre héritage,
La Bible nous enseigne,
La Bible nous corrige,
La Bible est un Livre inspiré.

Esdras 
Néhémie 
Esther 
Job 
Psaumes 
Proverbes 
Ecclésiaste 
Cantique des cantiques
Esaïe 
Jérémie 
Lamentations de Jérémie

La Bible nous révèle Jésus-Christ,
La Bible est un livre sacré,
C'est Dieu sous forme imprimée,
La Bible est le ''AINSI DIT LE SEIGNEUR''.

Ezéchiel 
Daniel 
Osée 
Joël 
Amos 
Abdias 
Jonas 
Michée 
Nahum 
Habacuc 
Sophonie 
Aggée 
Zacharie 
Malachie

La Bible nous révèle Jésus-Christ,
La Bible est un livre sacré,
C'est Dieu sous forme imprimée,
La Bible est le ''AINSI DIT LE SEIGNEUR''.

Matthieu
Marc
Luc 
Jean 
Actes des apôtres 
Romains
1 Corinthiens 
2 Corinthiens
Galates
Ephésiens
Philippiens
Colossiens
1Thessaloniciens
2 Thessaloniciens

La Bible restaure nos âmes,
La Bible est ma lumière,
La Bible c'est ma sagesse,
La Bible, titre de propriété. 

1 Timothée 
2 Timothée 
Tite 
Philémon 
Hébreux 
Jacques 
1 Pierre 
2 Pierre 
1 Jean 
2 Jean 
3 Jean 
Jude 
Le livre de l'Apocalypse

La Bible restaure nos âmes,
La Bible' est ma lumière,
La Bible c'est ma sagesse,
La Bible, titre de propriété.";;
741;Le Grand Libérateur;;"Une fois mon âme était liée
Par les chaînes du péché.
Mais Jésus le Grand Libérateur
M'a affranchi pour L'adorer.

CHORUS
Gloire, gloire, alléluia
Que Son saint nom soit béni !
Lui, Jésus le Grand Libérateur,
C'est le chant des rachetés !

Comme une brebis je m'égarais,
Solitaire et sans secours,
Mais le Berger m'a retrouvé,
M'a conduit à la maison.

Mon âme, bénis le Seigneur Ton Dieu,
Compte toujours Ses bienfaits ;
Il délivre ta vie de la fosse
Et te couronne de bonté.";;
742;Les ailes de la foi;;"'Y a deux voies que tu peux suivre,
Soit la vue, soit la foi ;
Prends la Parole ou ce que tu vois,
Tu recevras selon ta foi. 

Chorus
Déploie tes ailes de la foi, 
Tu peux monter un peu plus haut ;
Ne lutte pas, c'est par grâce.
Déploie tes ailes de la foi.

Quel que soit ton besoin, 
Que la montagne soit trop haute ;
Prononce la Parole, et bientôt,
La montagne se déplacera.  

Regarde l'aigle dans le ciel,
Il ne lutte pas, ni ne s'efforce ;
Car la force qui le fait voler,
Se trouve déjà dans le ciel.";;
743;Mapapu ya bondimi;;"Nzela ezali mibale,
Kondima mpe komona ;
Tala Liloba to mposa na yo,
Okozwa oyo ondimi.

Chorus 
Sembola se mapapu,
Nde okomata likolo;
Makasi te, se na ngolu,
Sembola se mapapu.

Ata nini y'olingi,
Ngomba eleka molayi ;
Loba na yango, na mwa 
 ntango 
Ngomba ekolongolama.

Tala mpongo na lola,
Akosalaka makasi te ;
Nguya na ye mpo na
 kopumbwa,
Ezwamaka na lola.";;
744;Dieu merci ! je suis libre;;"Depuis longtemps je marchais
Sur la route solitaire,
Et mon cœur fléchissait sous le joug
  du péché ;
On me parla de Jésus,  quel moment  
   merveilleux !
Si heureux j'ai découvert qu'I
   m'affranchirait
Par Sa puissance.

Chorus
Dieu merci ! je suis libre de ce monde
  pécheur,
Lavé dans le Sang de Jésus, né
  de nouveau ;
Alléluia, je suis sauvé par
Sa merveilleuse grâce ;
Si heureux j'ai découvert qu'Il
   m'affranchirait,
 Me montrant  le chemin.

Comme un oiseau qui s'envole,
  libéré de prison,
Comme un aveugle qui recouvre
  sa vue ;
Comme un mendiant qui trouve 
  Fortune  et renommée,
Si heureux j'ai découvert qu'Il 
   m'affranchirait
 Par Son Saint Nom.";;
745;Nzambe natondi Yo;;"Kala natombolaki na nzela
  ngai moko,
Mokumba na motema uta
  na masumu;
Bateyaki ngai Yesu, ntango 
  na nkembo mingi!
N'esengo namonaki Akosikola 
Na nguya na Ye.

Chorus
Nzambe natondi Yo mpo 
  nasikolami,
Nasukwami na makila, 
  nabotami ;
Aleluya ! nabikisami, mpo na 
  ngolu na Ye ;
N'esengo nayebaki Akosikola, 
Kokambaka nga. 

Lokola ndeke oyo 
  abimi na motambo,
Lokola mokufi miso 
  amoni;
Mpe lokola mosengi
 akomi na bozwi,
N'esengo nayebaki Akosikola 
 Na Nkombo  na Ye.";;
746;L'église dans la vallée;;"'Y a une église dans la vallée sous les arbres,
Aucun autre endroit n'est plus beau ;
Nulle place n'est si chère à mon enfance,  
Comme la petite église dans la vallée.

Chorus
Viens à l'église dans la vallée,
Oh ! viens à l'église sous les arbres,
Nulle place n'est si chère à mon enfance
Comme la petite église dans la vallée.

Que c'est doux en un dimanche matin brillant,
D'entendre le son de cloche si clair,
Dont les accords résonnent doucement,
Oh ! viens à l'église dans la vallée.

C'est ici dans l'église sous les arbres,
Avec notre mère en prière,
Dans les jours passés de notre enfance ;
Viens ici te souvenir d'elle.

De l'église dans la vallée, sous les arbres,
Quand le jour est à son déclin,
De cet endroit de mon enfance,
J'irai vers les demeures de lumière.";;
