1;I Believe God;Ab;"I believe God! I believe God!
Ask what you will and it shall be done;
Trust and obey, believe Him and say:
I believe, I believe God.

And if you want salvation now
And the Holy Ghost and power,
Just trust and obey, 
Believe Him and say:
I believe, I believe God."
2;Reach Out, Touch The Lord;F;"Reach out and touch the Lord
As He goes by,
You'll find He's not too busy,
To hear your heart's cry;
He's passing by this moment,
Your needs to supply,
Reach out and touch the Lord
As He goes by."
3;Feeling So Much Better;F;"Feeling so much better 
Talking about this good old Way,
Feeling so much better 
Talking about the Lord;
Let's go on, let's go on 
Talking about this good old Way,
Let's go on, let's go on 
Talking about the  Lord.

The devil he don't like it, 
Talking about this good old Way,
The devil he don't like it, 
Talking about the Lord.
So, let's go on, let's go on 
Talking about this good old Way,
Let's go on, let's go on 
Talking about the Lord."
4;Shine On Me;F;"Shine on me, Lord, shine on me,
Let the light from the Lighthouse 
     shine on me;
Shine on me, Lord, shine on me,
Let the light from the Lighthouse 
     shine on me."
5;Oh It Is Jesus;C;"Oh it is Jesus! Yes, it is Jesus!
Oh it is Jesus in my soul;
For I have touched 
The hem of His garment,
And His blood has made me whole."
6;The Water Way;Eb;"It shall be light in the evening time,
The path to glory you will surely find;
Thru the water way, It is the light today,
Buried in the precious Name of Jesus.
Young and old, repent of all your sin,
The Holy Ghost will surely enter in;
The evening Light has come,
It is a fact that God and Christ are one."
7;He's Everything To Me;Eb;"He's everything,
He's everything to me;
He's everything, 
He's everything to me;
He's my father, my mother, 
My sister and my brother,
He's everything to me."
8;I Know It Was The Blood;F;"I know it was the Blood,
I know it was the Blood,
I know it was the Blood for me;
One day when I was lost,
He died upon the Cross,
I know it was the Blood for me."
9;This World Can't Hold Me;F;"This old world can never hold me,
Any moment I'll be gone,
For I've made my consecration,
And I have my wedding garment on."
10;Got Any Rivers?;F;"Got any rivers you think 
     are uncrossable?
Got any mountains 
You cannot tunnel through?
God specializes in things 
     thought impossible,
And He will do what no 
     other power can do."
12;Sweet Jesus;Eb;"Sweet Jesus, sweet Jesus,
What a wonder you are,
You're brighter than the morning star;
You're fairer, much fairer,
Than the lily that grows by the wayside,
Precious, more precious than gold;

Just like the Rose of Sharon,
You're fairer than the fair,
You are all my heart and soul's desire,
Sweet Jesus, sweet Jesus,
What a wonder you are,
You're precious, more precious than gold."
13;Overcoming Power;F;"Overcoming power 
Is what we have today;
Overcoming power 
To keep the devil away.
Overcoming power 
'Til we become the Word.
That's when we'll leave 
This sinful earth
To go and meet the Lord."
14;Jesus Set Me Free;F;"I'm so glad Jesus set me free,
I'm so glad Jesus set me free,
I'm so glad Jesus set me free,
Singing, glory, hallelujah,
Jesus set me free.

I'm so glad Jesus lifted me,
I'm so glad Jesus lifted me,
I'm so glad Jesus lifted me,
Singing, glory, hallelujah,
Jesus set me free.

I'm on my way to Heaven, 
Shouting ""victory""
I'm on my way to Heaven, 
Shouting ""victory""
I'm on my way to Heaven, 
Shouting ""victory""
Singing, glory, hallelujah,
Jesus set me free.

Satan had me bound,
But Jesus set me free, 
Satan had me bound, 
But Jesus set me free, 
Satan had me bound, 
But Jesus set me free, 
Singing, glory, hallelujah,
Jesus set me free."
15;Spirit Of The Living God;F;"Spirit of the living God, 
Fall fresh on me;
Spirit of the living God, 
Fall fresh on me;
Break me! Melt me! 
Mold me! Fill me!
Spirit of the living God, 
Fall fresh on me."
16;The Beauty Of Jesus;C;"Let the beauty of Jesus 
Be seen in me,
All His wonderful passion 
And purity;
Oh Thou Spirit divine, 
All my nature refine,
Till the beauty of Jesus 
Be seen in me."
17;Praise The Lord;C;"Praise the Lord, praise His holy name,
Praise the Lord, every day the same;
Praise the Lord, praise His holy name,
Praise, Oh praise the Lord.

He brought me out of bondage,
Praise His Holy name,
He brought me out of bondage,
Praise His Holy name,
He brought me out of bondage,
Praise His Holy name,
Praise, Oh praise the Lord."
18;Faith In Jehovah;Eb;"Faith in the Father, 
And faith in the Son,
Faith in the Holy Ghost,
These three are One;
Demons will tremble, 
And sinners awake;
Faith in Jehovah 
Can anything shake."
19;My Lord Knows The Way;F;"My Lord knows the way
Through the wilderness;
All I have to do is follow.
My Lord knows the way
Through the wilderness;
All I have to do is follow.

Strength for today is mine all the way,
And all that I need for tomorrow;
My Lord knows the way
Through the wilderness;
All I have to do is follow."
20;All I Want To Do Is Love Him;C;"All I want to do is love Him
So glad I feel His love for me,
Jesus paid the price of redemption
On the cross of Calvary.
So every day my heart will praise Him
I know I'll never be the same
All I want to do is love Him,
Love His holy name."
21;Born, Born, Born Again;Eb;"Born, born, born again
Thank God I'm born again,
Born, born, born again,
Thank God I'm born again;

Born of the water
And the Spirit and the blood
Thank God I'm born again,
Born of the water
And the Spirit and the blood
Thank God I'm born again."
22;I Can, I Will, I Do Believe;F;"I can, I will, I do believe,
I can, I will, I do believe;
I can, I will, I do believe
That Jesus heals me now.
    (I'm trusting only in the Lord...)"
23;He Careth For You;G;"He careth for you,
He careth for you;
Through sunshine or shadow,
He careth for you.

He careth for me,
He careth for me;
Through sunshine or shadow,
He careth for me."
24;Mine, Mine, Mine;G;"Mine, mine, mine, Jesus is mine,
Mine when I'm weary,
Mine when I'm dreary;
Mine, mine, mine, Jesus is mine,
Mine all the time, oh yes, He's mine."
25;We Shall Be Changed;Eb;"We shall be changed,
We shall be changed,
Changed from mortal to immortality
In the twinkling of an eye."
26;I Was Glad;C;"I was glad when they said unto me,
I was glad when they said unto me,
I was glad when they said unto me,
""Let us go into the house of the Lord."""
27;Never Failed Me Yet;F;"Never failed me yet, 
Never failed me yet,
Jesus' love never failed me yet;
This one thing I know, 
That where e'er I go,
Jesus' love never failed me yet."
