1;I Believe God;Ab;"I believe God! I believe God!
Ask what you will and it shall be done;
Trust and obey, believe Him and say:
I believe, I believe God.

And if you want salvation now
And the Holy Ghost and power,
Just trust and obey, 
Believe Him and say:
I believe, I believe God."
1;Ngihlanze Emoyeni;C;"Ngingenwe emoyeni wam',
Ilizwi lakho, Nkosi yam'.
Sengilambele wena nje,
Ungen' ubuse kimi-ke.

CHORUS
Ngihlanze emoyeni wam',
Mangibethelw' uqobo lwam'.
Senginikele konk' okwam',
Kuwe, kuwe, kuwe.

'Mabala onke, Nkosi yam',
Awungcolis' umoya wam',
Ngihlanze kuwo namhlanje
Ungenze ngikufuze, he.

Akukh' okuhle kimi, qha,
Wongenza ngibe-ngcwele, pha.
Ngiyakwethemba wena nje,
Sengiyancika kuwe-ke.

Ngingabi ngiziqhenya la.
Angithi, sengifile nya.
Inkambo yam' ikhombe-ke
Kuyen' owangifela, he.

Ngingawukhohlwa umhla lo,
Nxa satholana nawe? Wo:
Ungiqinise, Jesu wam',
Kube nguwen' impilo yam"
2;Reach Out, Touch The Lord;F;"Reach out and touch the Lord
As He passes by,
You'll find He's not too busy,
To hear your heart's cry;
He's passing by this moment,
Your needs to supply,
Reach out and touch the Lord
As He passes by.

Reach out and touch the Father
As He passes by,
You'll find He's not too busy,
To hear your heart's cry;
He's passing by this moment,
Your needs to supply,
Reach out and touch the Father
As He passes by."
2;Taura Ishe Mumoyo Wangu;;"Taura taurai Ishe taurai,
Taura taurai Ishe taurai,
Ishe taurai, mumoyo wangu,
Ishe taurai, mumoyo wangu."
3;Feeling So Much Better;F;"Feeling so much better 
Talking about this good old Way,
Feeling so much better 
Talking about the Lord;
Let's go on, let's go on 
Talking about this good old Way,
Let's go on, let's go on 
Talking about the  Lord.

The devil he don't like it, 
Talking about this good old Way,
The devil he don't like it, 
Talking about the Lord.
So, let's go on, let's go on 
Talking about this good old Way,
Let's go on, let's go on 
Talking about the Lord."
3;Joko eahao e bobebe;;"Joko eahao e bobebe
E nkhatholola pelo
Tumelo ho nna ke thebe
E tla mphemisa lefu
Nyakallo ke e fumane
Tseleng ea hao Morena
Lira ho 'na li qhalane
Ke hloletsoe ke uena

U re ho 'na ke lelale
Ke tshepe leholimo
Moeti ha a khathale
O pepjoa ke Molimo
Efela ho lutse joalo
Esale u nthatile
U mpholisitse matsoalo
'Me joale ke thabile

Ha ke hlaheloa ke lillo
U ntekola ka mosa
U ntlela ka lipolelo
Tse phakisang ho nthusa
Ha ke re ke mofutsana
U re: Che, u na le 'na!
Ha ke re: Khoro ea hana
U re: Che, U tla kena!

Ho tla ba joang ha ke siea
Kobo ena e bolang
Ke be joale ka Elia
Ka koloing e fofang?
Ke tla opa ka liatla
Ke tla re: Alleluya!
Alleluya ho senatla
Se nkenyang ha Jehova!

Ke tla opa ka liatla
Ke tla re: Alleluya!
Alleluya ho senatla
Se nkenyang ha Jehova!

Re tla opa ka liatla
Re tla re: Alleluya!
Alleluya ho senatla
Se nkenyang ha Jehova!"
4;Let It Shine On Me;F;"[Let it shine on me,
Let it shine on me,
Let the light from the 
Lighthouse shine on me]
(Repeat)

[Let it shine on me,
Let it shine on me,
Let the word from the 
Lighthouse shine on me]
(Repeat)"
4;Singaba hambayo thina;;"[Singaba hambayo thina,
Kulomhlaba siye khaya,
   Ezulwini] (x2)

Sithi Halleluya, Halleluya,
Halleluya, Halleluya, 
   Halleluya."
5;Oh It Is Jesus;C;"Oh it is Jesus! Yes, it is Jesus!
It is Jesus in my soul;
For I have touched 
The hem of His garment,
And His blood has made me whole."
5;Njalo;;"Njalo, Njalo, Njalo, Njalo, Njalo
Njalo, Njalo, Njalo, Njalo, Njalo

Siyathandaza, Siyanikela
Siyadumisa - Thina"
6;The Water Way;Eb;"It shall be light in the evening time,
The path to glory you will surely find;
Thru the water way, It is the light today,
Buried in the precious Name of Jesus.
Young and old, repent of all your sin,
The Holy Ghost will surely enter in;
The evening Light has come,
It is a fact that God and Christ are one."
6;Uthando Lwakhe;;"Uthando Lwakhe
Uthando Lwakhe
Uthando Lwakhe
Luyamangalisa

Si hamba Naye
Si hlala Naye
Si lala Naye
Si vuka Naye"
7;He's Everything To Me;Eb;"He's everything,
He's everything to me;
He's everything, 
He's everything to me;
He's my father, my mother, 
My sister and my brother,
He's everything to me.

You're everything,
You're everything to me;
You're everything, 
You're everything to me;
You're my father, my mother, 
My sister and my brother,
You're everything to me."
7;Uyezu Jesu;;"Uyezu Jesu Amen Hallelujah
Uyezu Jesu Amen Hallelujah
Uyezu Jesu Amen Hallelujah
Uyezu Jesu Amen Hallelujah

Sohlala Sijabula Sithi Amen Hallelujah
Sohlala Sijabula Sithi Amen Hallelujah
Sohlala Sijabula Sithi Amen Hallelujah
Sohlala Sijabula Sithi Amen Hallelujah"
8;I Know It Was The Blood;F;"I know it was the Blood,
I know it was the Blood,
I know it was the 
   Blood for me;
One day when I was lost,
He died upon the Cross,
I know it was the 
   Blood for me.

I know it was the Blood,
I know it was the Blood,
I know it was the 
   Blood for me;
One day when I was lost,
Jesus died upon the Cross,
I know it was the 
   Blood for me."
8;Uyinkosi Yamakhosi;;"Uyinkosi yamakhosi,
Ungumdali walomhlaba.
Zonki zizwe zibabaza,
Ubukhulu bakho.
Uyinkosi yamakhosi,
Ungumdali walomhlaba.
Zonki zizwe zibabaza,
Wena.

CHORUS
Sithi Hallelujah!
Hallelujah !
Hallelujah!
Amen.

Uyinkosi yamakhosi,
Ungumdali walomhlaba.
Zonki zizwe zidumisa,
Ubukhulu bakho.
Uyinkosi yamakhosi,
Ungumdali walomhlaba.
Zonki zizwe zidumisa,
Wena.

Jesus You're the Lord of lords
You're the king of kings
Alpha and Omega
The beginning and the end

Every knee shall bow before Him
Every tongue must confess
Jesus is the way, the truth 
   and the life
(repeat)"
9;This Old World Can't Hold Me;F;"This old world can never hold me,
Any moment I'll be gone,
For I've made my consecration,
And I have my wedding garment on."
10;Got Any Rivers?;F;"""Be of good courage"", God
   spake unto Joshua,
When o'er the river God 
   pointed the way;
Jordan uncrossable! things
   seemed impossible,
Waters divide as they
   march and obey

CHORUS
Got any rivers you think 
     are uncrossable?
Got any mountains 
You can't tunnel through?
God specializes in things 
     thought impossible,
And He will do what no 
     other power can do.

Battles to win! they would
   meet with their obstacles,
Jerichos's walls, too, must
   fall to the ground.
God never failed; He stood
   back of His promises,
Walls had to crumble as
   they marched around.

God is the same and His
   Word is dependable,
He'll make a way through
   the waters for you;
Life's situations by Him
   are amendable,
Mountains and hills He
   will part for you"
10;Nkosi Yam;;"NKosi yam, ubundithanda
Ekulahlekeni kwam,
NKosi yam, waman' ulanda
Futhi emkhondweni wam
Ndafunyanwa, Nkosi yam

NKosi yam, ilizwi laKho
Lingumkhanyiseli wam
NKosi yam, ufefe IwaKho
Lusisonwabiso sam
Ndinovuyo, NKosi yam

NKosi yam, uMoya waKho
Uya ndingcwalisa nam
NKosi yam, izulu laKho
Lona lilikhaya lam
Ma ndingene, Nkosi yam"
11;The Windows Of Heaven;C;"The windows of Heaven are open,
The blessings are falling tonight,
There's joy, joy, joy in my heart,
Since Jesus made everything right;
I gave Him my old tattered garment,
He gave me a robe of pure white,
I'm feasting on Manna from Heaven,
And that's why I'm happy tonight.

The Lord God sent us a prophet
According to Malachi 4 
To turn the hearts of the childen 
   back to the fathers
The message was sent to restore
We are living now in the end time
The bride is preparing today
The bridegroom has sent us His message
That he'd soon take his bride away

What is the attraction on mount
The Pillar of Fire has come
Spiritual food in due season
No need to starve anymore
Revelation 10:7 has sounded
The mysteries have been revealed
The revelation of the seven seals 
   has been opened
And the bridegroom is ready to leave"
12;Sweet Jesus;Eb;"Sweet Jesus, sweet Jesus,
What a wonder You are.
You are brighter than the 
   morning star;
You are fairer, much fairer,
Than the lily that grows 
   by the wayside,
Most precious, most 
    precious than gold.

You are the Rose of Sharon,
The fairest of them all,
You are everything 
   my heart desire,
You are fairer, much fairer,
Than the lily that grows 
   by the wayside,
Most precious, most 
    precious than gold."
12;Just As I Am;;"Nje njoko ndinjalo, nKosi
Ndithembele kuWe wedwa;
NguWe ondibizileyo,
Kungoko ndizayo.

Akukho limbi icebo
Lokuhlambulul' isoono;
Nguw' ongandicokisayo,
Kungoko ndizayo.

Ndilihlwempu, ndiyimfama,
Andiphili ngeenxa zonke;
Nguw' onokundanelisa,
Kungoko ndizayo.

Ndingonje ke, wondamkela,
Uxolele, uvuyise,
Ngokwesakh' isithembiso,
Kungoko ndizayo.

Olo thando IwaKho, nKosi,
Lundincamisile kanye;
Ma ndibe ngowaKho, nKosi,
Kungoko ndizayo.

Ubunzulu bolu thando,
Ma ndibuve ndiselapha,
Ze ndifezelw' ezulwini,
Kungoko ndizayo."
13;Overcoming Power;F;"Overcoming power 
Is what we have today;
Overcoming power 
To keep the devil away.
Overcoming power 
'Til we become the Word.
That's when we'll leave 
This sinful earth
To go and meet the Lord."
13;Nkosi, Ngiyabheka Kuwe (Lead Me Higher);F;"Nkosi, ngiyabheka kuwe,
Ngikunik' impilo yam',
Mangiphathwe njalo nguwe,
Uyikhomb' indlela yam',
Makuphele konk' okwami,
Ngikufune wena nje,
Hlala enhliz'weni yami
Ngize ngikubone le.

CHORUS
Yebo, Nkosi, ngize kuwe,
Ngidalule konk' okwam'.
Mangisizwe nguwe, Jesu,
Zisuliw' izono zam'.

USathan' ungivukele,
Kuyaliwa emoyen'.
Ngenze, Nkosi, ngibe-ngcwele,
Kube-mhlope enhliz'wen',
Hlanza izizindlo zami
Nokufisa konke-ke,
Kube-ngukufisa kwami
Ukumfuz' uJesu, he.

Uma, Nkosi ungibona,
Ngisazulazula la,
U'ba ngidukisw' ukona,
Nqanda umntanakho-ke,
Nom' unqanda ngenhlupheko,
Ngokubonga laphaya,
Laph' ukona kungasekho,
Yebo, ngokubonga, ha."
14;Jesus Set Me Free;F;"I'm so glad Jesus set me free,
I'm so glad Jesus set me free,
I'm so glad Jesus set me free,
Singing, glory, hallelujah,
Jesus set me free.

I'm so glad Jesus lifted me,
I'm so glad Jesus lifted me,
I'm so glad Jesus lifted me,
Singing, glory, hallelujah,
Jesus set me free.

I'm on my way to Heaven, 
Shouting ""victory""
I'm on my way to Heaven, 
Shouting ""victory""
I'm on my way to Heaven, 
Shouting ""victory""
Singing, glory, hallelujah,
Jesus set me free.

Satan had me bound,
But Jesus set me free, 
Satan had me bound, 
But Jesus set me free, 
Satan had me bound, 
But Jesus set me free, 
Singing, glory, hallelujah,
Jesus set me free."
14;Esandleni Somusa;;"NgoMsindis' onami la empini,
Ngiyagcinwa noma kungathini
Ungisith' esivunguvungwini
Esandleni somusa

CHORUS
Esandleni somusa,
Esandleni somusa,
Ngiyagcinwa, noma kungathini
Esandleni somusa.

Ungigona ngemikhono yakhe,
Ngiyathokozisw' amazwi akhe,
Ngiyalondwa ngobuqhawe bakhe
Esandleni somusa

Yena akasoze angiyeke,
Ngingephucwe futhi kuye ngeke;
Ngoba ungiphethe ngesineke
Esandleni somusa"
15;Spirit Of The Living God;F;"Spirit of the living God, 
Fall fresh on me;
Spirit of the living God, 
Fall fresh on me;
Break me! Melt me! 
Mould me! Fill me!
Spirit of the living God, 
Fall fresh on me."
15;Inyanga Enkulu (The Great Physician);;"Inyang' enkul' ikhona la,
Ogama linguJesu;
Umlulamis' ophansi la,
Manimlalel' uJesu

CHORUS
Liphi eliny' igama na,
Esisindiswa ngalo la?
Alikh' eliny' igama, qha,
ElikaJesu lodwa

Uyazesul' izono nya,
Manimlalel' uJesu;
Nihambe niye ezulwin',
Nihlale nay' uJesu

Udumo lonke kuye la,
Sengimethemb' uJesu
Ngiyalithanda leligam',
Igama likaJesu

Liyaphelis' icala lam'
Igama likaJesu
Liyangithokozisa nam',
Igama likaJesu

Wozani, bazalwane bam',
Nibong' iNkos' uJesu
Bodade, nilihlabelel',
Igama likaJesu

Bantwana, wozanini bo,
Nonk' enimthand' uJesu,
Nibizwa nani namhlanje,
Nibong' iNkos' uJesu

Nxa senyukele ezulwin',
Sibon' iNkos' uJesu,
Sohlabelela futhi le,
Igama likaJesu"
16;The Beauty Of Jesus;C;"Let the beauty of Jesus 
Be seen in me,
All His wonderful passion 
And purity;
Oh Thou Spirit divine, 
All my nature refine,
Till the beauty of Jesus 
Be seen in me."
16;Oyera Oyera;;"[Oyera Oyera]
[Wabwino Wabwino]
[Wamkulu Wamkulu]"
17;Praise The Lord;C;"Praise the Lord, praise His holy name,
Praise the Lord, every day the same;
Praise the Lord, praise His holy name,
Praise, Oh praise the Lord.

He brought me out of bondage,
Praise His Holy name,
He brought me out of bondage,
Praise His Holy name,
He brought me out of bondage,
Praise His Holy name,
Praise, Oh praise the Lord."
17;Mangisondele {Nearer My God to Thee};;"Mangisondele kuwena, Nkosi
Noma ngiqlutshwa inhlupheko Nkos'
Ngingathokoza; ngiphinda ngithi nje,
Ungisondeze Nkos', kuwe manje

Noma ngehlelwa ngokubi Nkos'
Ngilel'etsheni ngihlupheka, Nkos'
Emaphushweni njalo ngingathi-nje
Ungisondeze Nkos', kuwe manje

Ngibonisise O Nkosi yam'
Ukuthi Konke okukuwe, Nkos',
Kuyizithunywa zokungisiza-nje
Kungisondeze Nkos', kuwe manje

Nasekuseni ngobonga Nkos',
Nasosizini ngodumisa Nkos'
Uma kungabe ngokuhlupheka kwam'
Ngiyasondezwa Nkos', kuwe manje

Nomagindiza ngethaba, Nkos',
Ngiye phezulu ezulwin Nkos',
Njalo ngovuma, ngiphende ngithi-nje,
Ungisondeze Nkos', kuwe manje"
18;Faith In Jehovah;Eb;"Faith in the Father, 
And faith in the Son,
Faith in the Holy Ghost,
These three are One;
Demons will tremble, 
And sinners awake;
Faith in Jehovah 
Can anything shake."
