83;I have found a friend / He's the lily of the;F;"Einen Freund hab' ich in Jesus,
der ist an Gnaden reich.
Der Schönste unter Tausenden ist Er,
die Lilie im Tale, der keine Blume gleich.
Seine Liebe ist viel tiefer als das Meer.
------------------------------------------------------------
I have found a friend in Jesus,
He's everything to me, 
He's the Fairest of ten thousand to my soul;
The Lily of the Valley in Him alone I see
All I need to cleanse and make me fully whole.

In Trübsal und in Leiden
steht Er mir niemals fern.
""Auf Mich wirf die Sorgen alle!""
spricht der Herr.
-----------------------------------------
In sorrow He's my comfort,
In trouble He's my stay
He tells me every care on Him to roll.

Die Lilie im Tale,
der helle Morgenstern,
auserkoren unter Tausenden ist Er!
-----------------------------------------------------------
He's the Lily of the Valley, 
The Bright and Morning Star,
He's the Fairest of ten thousand to my soul.

Meine Schuld hat Er bezahlet
mit Seinem teuren Blut,
in Versuchung will Er mächtig bei mir sein.
Ich hab' mich Ihm ergeben
mit Seele, Leib und Gut,
und mit Seinem Reichtum ist Er völlig mein.
------------------------------------------------------------------
He all my grief has taken,
And all my sorrows borne;
In temptation He's my strong and mighty tower;
I have all for Him forsaken, and all my idols torn 
From my heart,
And now He keeps me by His power.

Ob mich die Welt verhöhnet,
ich trag' es alles gern.
""Auf Mich wirf die Sorgen alle!""
spricht der Herr.
------------------------------------------
Though all the world forsake me
And Satan tempts me sore,
Through Jesus I shall safely
Reach the goal.

Die Lilie im Tale,
der helle Morgenstern,
auserkoren unter Tausenden ist Er!
-----------------------------------------------------------
He's the Lily of the Valley, 
The Bright and Morning Star,
He's the Fairest of ten thousand to my soul.

Er wird nimmer mich verlassen,
wird treulich bei mir sein,
auf den grünen Auen weidet mich mein Hirt.
Getrost will ich mit Jesus
durchs dunkle Tal auch ziehn;
denn kein Unheil fürchte ich, wenn Jesus führt.
--------------------------------------------------------------------
He will never, never leave me,
nor yet forsake me here,
While I live by faith and do His blessed will;
A wall of fire about me, 
I've nothing now to fear, with His manna He 
My hungry soul shall fill.

Und steh' ich vor dem Throne
und schaue meinen Herrn,
sing' ich jauchzend mit Erlösten nur noch mehr.
------------------------------------------------------------------
Then sweeping up to glory, 
To see His blessed face,
where rivers of delight shall ever roll!

Die Lilie im Tale,
der helle Morgenstern,
auserkoren unter Tausenden ist Er!
-----------------------------------------------------------
He's the Lily of the Valley, 
The Bright and Morning Star,
He's the Fairest of ten thousand to my soul.";
90;All praise to him / Blessed be the name;G;"Gepriesen sei der Nam`,
gepriesen sei der Nam`,
gepriesen sei der Name des Herrn!
--------------------------------------------------------
Blessed be the name,
blessed be the name,
Blessed be the name of the Lord.

Jesus ist der Nam`.
Jesus ist der Nam`
Jesus ist der Name des Herrn!
-----------------------------------------------
Jesus ist the Name
Jesus ist the Name
Jesus ist the Name of the Lord!

Anbete diesen Nam`
Anbete diesen Nam`
Anbete diesen Namen des Herrn!
----------------------------------------------------
Magnify His Name.
Magnify His Name
Magnify the name of the Lord!";
152;When the saviour calls /I'll be somewhere listning;D;"Wenn der Heiland ruft, werd ich hören,
wenn Er nach mir ruft, hör ich Ihn.
Wenn der Heiland ruft, werd ich hören,
hören, wie Er meinen Namen ruft.
-----------------------------------------------------------
When the Saviour calls, I will answer,
when He calls me I will hear;
When the Saviour calls I will answer,
I'll be somewhere list'ning for my name.

Chorus
Ich hör meinen Namen,
ich hör meinen Namen, 
ich hör, wie Er meinen Namen ruft.  (2x)
-----------------------------------------------------------
I'll be somewhere list'ning,
I'll be somewhere list'ning,
I'll be somewhere list'ning for my name.  (2x)

Bin ich frei von Sünd`, wenn Er ruft?
Wenn ich frei von Sünd`, hör ich Ihn.
Bin ich frei von Sünd`, werd ich hören,
hören, wie Er meinen Namen ruft.
----------------------------------------------------------
If my heart is right when He calls me,
If my heart is right I will hear;
If my heart is right when He calls me,
I'll be somewhere list'ning for my name.

Ist mein Leben rein, wenn Er ruft? 
Ist mein Leben rein, hör ich Ihn.
Ist mein Leben rein, werd ich hören,
hören, wie Er meinen Namen ruft.
------------------------------------------------------
If my robe is white when He calls me,
If my robe is white I will hear;
If my robe is white when He calls me,
I'll be somewhere list'ning for my name.";
158;Beyond the sunset / Zur Zeit des Abends;D;"Zur Zeit des Abends, da wird es Licht sein, 
wenn Menschen hören von Gottes Wort, 
dann wird Er senden den Geist Elias, 
die Braut zu führen zum ew'gen Hort.
---------------------------------------------------------------
Beyond the sunset, oh blissful morning,
When with our Saviour heaven is begun.
Earth's toiling ended, oh glorious dawning;
Beyond the sunset, when day is done.

Zur Zeit des Abends, wenn's Wort wird leuchten 
und Plagen fallen auf Meer und Land, 
dann wird Er rufen, mein Herr und Heiland, 
den Staub zum Leben, im Lichtgewand.
-----------------------------------------------------------------------
Beyond the sunset no clouds will gather,
No storms will threaten, no fears annoy.
Oh day of gladness, oh day unending;
Beyond the sunset, eternal joy.

Zur Zeit des Abends, wenn's Licht wird scheinen 
und Schatten dunkeln dies Erdental, 
dann wird ertönen die Festposaune, 
die Braut zu holen zum Hochzeitsmahl.
----------------------------------------------------------------------
Beyond the sunset, a hand will guide me
To God, the Father, whom I adore;
His glorious presence, His words of welcome,
Will be my portion on that fair shore.

Zur Zeit des Abends, wenn's Wort erfüllt ist 
und auch die Schatten im Licht vergeh'n,
dann werden Sel'ge voller Anbetung 
durch Freudentränen ihren König seh'n.
------------------------------------------------------------------
Beyond the sunset, oh glad reunion,
With our dear loved ones 
Who've gone before.
In that fair homeland we'll know no parting
Beyond the sunset forevermore.";
188;Down from His glory / Oh how I love Him;D;"Nieder zur Erden, um ein Mensch zu werden,
kam der allmächt'ge Gott, zu enden unsre Not.
Er ward verstoßen und Sein Blut vergossen.
Er ward gehorsam bis zum bittern Tod.
---------------------------------------------------------------
Down from His glory, ever living story;
My God and Saviour came,
And Jesus was His Name.
Born in a manger, to His Own a stranger,
A man of sorrows, tears and agony.

CHORUS
Ihn will ich lieben, will Ihn anbeten,
mein Licht, mein Leben, mein ganzes Heil.
Der große Schöpfer ward mein Erlöser,
und Gottes Gnade ward mir zuteil.
-----------------------------------------------------------------
Oh How I love Him! How I adore Him!
My breath, my sunshine, my all in all!
The great Creator, became my Saviour,
And all God's fullness dwelleth in Him.

Auf welchen Wegen kommt uns Gott entgegen,
dass er in finst'rer Nacht uns wieder hoffen macht!
Freundlich und gnädig, aller Pracht entledigt,
klopft Er, erlösungbringend an mein Herz.
----------------------------------------------------------------------------
What condescension, bringing us redemption;
That in the dead of night,
Not one faint hope in sight;
God, gracious, tender, laid aside His splendor,
Stooping to woo, to win, to save my soul.

Ohne zu klagen, ließ Er sich zerschlagen,
gab Er Sein Leben hin, auf dass Er uns gewinn.
Wer kann's erfassen: Gott sich selbst verlassen!
Nun weiß ich,
Du bist's der da spricht: ""ICH BIN"".
---------------------------------------------------------------------------
Without reluctance, flesh and blood His substance,
He took the form of man, revealed the hidden plan.
O glorious mystery, Sacrifice of Calvary,
And now I know Thou wert the great ""I AM"".";
195;Behold what manner of man is this;C;"Behold what manner of man is this
Who stills the raging sea; 
He heals the sick, the lame, the halt, 
And makes the blind to see, 
He opens all the prison doors,
And sets the captives free;
Behold what manner of man is this,
What manner of man is He!

CHORUS
He's the Lord of Glory,
He is the great I Am;
The Alpha and Omega,
The Beginning and the End;
His Name is Wonderful,
The Prince of Peace is He;
The Everlasting Father,
Throughout eternity.

Behold what manner of man is this
Who healed the lame and halt; 
Who said thy sins be forgiven thee, 
Take up thy bed and walk. 
He stands as the mighty Healer now, 
And cries look unto Me; 
Behold what manner of man is this, 
What manner of man is He!";
204;There is coming a day / What a day that will be;F;"Bald erscheint jener Tag,
wo kein Herzeleid wird sein,
keine Trübsal und Not;
keine Tränen, Angst und Tod.
Friede herrscht in jenem Land,
an dem sel'gen gold'nen Strand.
Welch ein Tag, glorreicher Tag wird das sein!
-----------------------------------------------------------------------
There is coming a day
When no heartaches shall come,
No more clouds in the sky,
No more tears to dim the eye;
All is peace forevermore
On that happy golden shore,
What a day, glorious day that will be.

CHORUS
Welch ein Tag wird das sein,
wenn einst Jesus mich holt heim.
Meinen Heiland ich darf seh'n,
der aus Gnaden mich erseh'n, 
und Er nimmt mich an der Hand,
führt mich durchs verheißne Land.
Welch ein Tag, glorreicher Tag wird das sein!
------------------------------------------------------------------------------
What a day that will be when my Jesus I shall see,
When I look upon His face, 
The One who saved me by His grace;
When He takes me by the hand,
And leads me through the Promised Land,
What a day, glorious day that will be.

Keine Sorgen sind dort,
Fried' und Freud' erfüll'n den Ort;
weder Krankheit noch Leid,
doch ein Jauchzen allezeit.
Und für immer werd' ich sein
mit dem Heiland dort vereint.
Welch ein Tag, glorreicher Tag, wird das sein!
-----------------------------------------------------------------------
There'll be no sorrow there,
No more burdens to bear,
No more sickness, no pain,
No more parting over there;
And forever I will be with the One who died for me,
What a day, glorious day that will be.

Unser Heiland kommt bald,
die Posaune hell erschallt.
O mein Freund bist du bereit ?
Denkst du an die Ewigkeit ?
Ist dein Kleid gewaschen rein,
wird ein Jauchzen droben sein.
Welch ein Tag, glorreicher Tag wird das sein !";
207;I see a crimson stream of blood;G;entfernt;
225;Some doubters / Just leave it alone;C;entfernt;
662;Bind us together;D;"Chorus
Bind us together, Lord,
Bind us together
With chords that cannot be broken.
Bind us together, Lord,
Bind us together,
Bind us together with love.

There is only one God,
There is only one King;
There is only one Body,
That is why we sing:

Made for the glory of God,
Purchased by His precious Son;
Born with the right to be clean,
For Jesus the victory has won.

You are the family of God,
You are the promise divine;
You are God's chosen desire,
You are the glorious new wine.";
