2;A Better World;;"Take a picture 
put it in a dark room
There's a process for it 
to go through
Take it out when the process 
is completed
See the beauty before you

That's How it is with this life 
here on earth
The shot was taken from 
another world
Earth is dark room where 
our life develop 
Soon our true beauty will unfold

In a better world, a better place, 
a better life
In a better way with the better 
things 
in Eternity that's where we'd be
with the One Who died 
for you and me

Here we see trees struggling to live
But there's a place where they don't
Here we see sickness and dying
But there's a place where we don't

We've got no future on 
this sinful earth
Our eyes are fixed on another 
world
We've got no treasure here below
But there is a place where 
they are stored

In a better world, a better place, 
a better life
In a better way with the better 
things 
in Eternity that's where we'd be
with the One Who died 
for you and me

In this world we're pilgrims 
and strangers
But there's a place where 
we belong
Soon we'll leave Satan's eden
Take courage pilgrims, 
it won't be long

Down here we have no 
continuing city
But we see the one to come
We desire that heavenly country
God has prepared our future home

In a better world, a better place, 
a better life
In a better way with the better 
things 
in Eternity that's where we'd be
with the One Who died 
for you and me

In a better world, a better place, 
a better life
In a better way with the better 
things 
in Eternity that's where we'd be
with the One Who died 
for you and me

a better world, a better place, 
a better life
In a better way with the better 
things 
in Eternity that's where we'd be
with the One Who died 
for you and me

a better world, a better place, 
a better life
in Eternity that's where we'd be
with the One Who died 
for you and me
a better world, a better place, 
a better life
In Eternity that's where we'd be
with the One Who died 
for you and me"
22;A Greater Than Solomon Is Here;;"verse 1
A greater than Solomon is here,
A greater than Solomon is here
A greater than Solomon is here,
A greater than Solomon is here x 2

verse 2
The men of Ninevah shall rise in Judgement
And condemn this evil wicked generation
For they repented at the preaching of Jonah
Behold! A greater than Jonah is here!
A greater than Jonah is here x 4

verse 3
The queen of the South
shall rise in Judgement
And condemn this evil wicked generation,
She came from far
to hear the wisdom of Solomon,
Behold!  A greater than Solomon is here
A greater than Solomon is here x 4

verse 4
Oh this evil adulterous generation,
It seeketh for a sign
But no sign shall be given,
Except the sign of the resurrection
The same yesterday today forever,
The resurrected Lord Jesus
Revealing all the hidden mysteries,
Discerning the thoughts of men

verse 5
A greater than Solomon is here x 4
A greater than Solomon is here

verse 6
The mighty God revealed in human flesh
Elohim behind Sarah
The amber light above the prophet
About 200 pounds the great Melchizzedek
He
The joy and the strength of the Bride
The queen of the South is satisfied"
82;A wonderful time is just ahead;Bb;entfernt;
92;Above All;;"Above all powers, 
above all kings
Above all nature 
and all created things
Above all wisdom 
and all the ways of man
You were here 
before the world began

Above all kingdoms, 
above all thrones
Above all wonders 
the world has ever known
Above all wealth 
and treasures of the earth
There's no way to 
measure what you're worth

Crucified, 
Laid behind a stone
You lived to die, 
Rejected and alone
Like a rose trampled 
On the ground
You took the fall 
And thought of me
Above all

Above all powers, 
above all kings
Above all nature 
and all created things
Above all wisdom 
and all the ways of man
You were here 
before the world began

Above all kingdoms, 
above all thrones
Above all wonders 
the world has ever known
Above all wealth 
and treasures of the earth
There's no way to 
measure what you're worth

Crucified, 
Laid behind a stone
You lived to die, 
Rejected and alone
Like a rose trampled 
On the ground
You took the fall 
And thought of me
Above all"
93;Above all powers;;"Above all powers, above all kings.
Above all nature and all created things.
Above all wisdom and all the ways of man,
You were here before the world began.

Chorus
Crucified, laid behind a stone.
You lived to die, rejected and alone.
Like a rose trampled on the ground.
You took the fall, and thought of me,
above all.

Above all kingdoms, above all thrones.
Above all wonders the world has ever known.
Above all wealth and treasures of the earth,
there 's no way to measure what you're worth."
146;Alfa en Omega (Afrikaans);;"Hulle noem Hom, 
   die Alfa, die Omega
Hulle noem Hom, 
   die Blink More Ster
Hulle noem Hom, 
   die Soetroos van Saron
Dit is Jesus van Golgotha"
213;Alle Nasies;;"Alle Nasies
Hie Kom Ons Aan X3
Tot Binne In Jerusalem"
303;Angels step aside, for here comes the Bride;G;"what a celebration on that day
you know it can't be far away
heaven's BrideGroom has descended,
the ransomed bride of God ascends;
heaven's bell will sweetly ring,
choir of angels start to sing,
pick up that trumpet Gabriel and blow.

Here comes the Bride to be ever at His side,
oh, what a spotless Bride!
oh, what a glorious sight!
here comes the chosen ones,
here comes the ransomed ones,
angels step aside,
for here comes the Bride.....
angels step aside,
for here comes the Bride.
oh Happy day
what a Happy day

some from every nation will be there,
wearing spotless robes so bright and fair.
all of heaven will behold,
the Bride is marching down the streets of gold,
getting ready now to go,
the very hour no ones seems to know,
pick up that trumpet Gabriel and blow.

Here comes the Bride to be ever at His side,
oh, what a spotless Bride!
oh, what a glorious sight!
here comes the chosen ones,
here comes the ransomed ones,
angels step aside,
for here comes the Bride.....
angels step aside,
for here comes the Bride.
oh Happy day
what a Happy day


Bro. Branham saw them in preview
but there they are now in view
all of heaven will behold
the Bride is marching down the streets of gold
getting ready now to go,
the very hour no ones seems to know,
pick up that trumpet Gabriel and blow.

Here comes the Bride to be ever at His side,
oh, what a spotless Bride!
oh, what a glorious sight!
here comes the chosen ones,
here comes the ransomed ones,
angels step aside,
for here comes the Bride.....
angels step aside,
for here comes the Bride.
oh Happy day
what a Happy day

oh Happy day
(what a happy)
oh Happy day
(what a happy)
oh Happy day
(what a happy)
oh Happy day
angels step aside,
for here comes the Bride."
468;Baie Diep Haal Hy My Uit (Afrikaans);G;"Die Here is my Herder
Niks sal my ontbreek nie
Hy laat my neerle
In groen weivelde
Na waters waar daar rus is 
  lei Hy my heen
Na waters waar daar rus is 
  lei Hy my heen

En baie diep haal Hy my uit
En baie diep haal Hy my uit
Hy plaas my voete op 'n ewige rots
En baie diep haal Hy my uit"
690;Break Every Chain Kids;;"There is power in the name of Jesus
There is power in the name of Jesus
There is power in the name of Jesus
To break every chain
To break every chain
To break every chain

There is power in the name of Jesus
There is power in the name of Jesus
There is power in the name of Jesus
To break every chain
To break every chain
To break every chain

There's an army rising up
There's an army rising up
There's an army rising up
To break every chain
To break every chain
To break every chain

There's an army rising up
There's an army rising up
There's an army rising up
To break every chain
To break every chain
To break every chain

There's a bride fighting on
There's a bride fighting on
There's a bride fighting on
To break every chain
Break every chain
Break every chain

You are here
Moving in our midst
I worship you
I worship you

You are here
Working in this place
I worship you
I worship you

Way maker
Miracle worker
Promise keeper
Light in the darkness
My God
That is who you are
(Repeat 2x)

You are here
Turning lives around
I worship you
I worship you

You are here
Mending every heart
I worship you
I worship you

Way maker
Miracle worker
Promise keeper
Light in the darkness
My God
That is who you are
(Repeat 2x)

To break every chain
Break every chain
Break every chain
(Repeat 2x)"
941;Come By Here My Lord - Mumwe Ari Kuchema;;"Come by here my Lord,
Come by here,
Come by here my Lord,
Come by here.
Come by here my Lord,
Come by here.
Oh Lord come by here,
Oh Lord come by here.

Someone's praying Lord
Come by here
Someone's praying Lord
Come by here
Someone's praying Lord 
Come by here
Oh Lord come by here,
Oh Lord come by here.

Someone's singing ...
Someone's needy ...
Someone's crying ...
We are here Lord ....

Tinokudaidzai She
huyai nepano
Tinokudaidzai She
huyai nepano
Tinokudaidzai She
huyai nepano
Oh Ishe, Uyai nepano
Oh Ishe, Uyai nepano

Tirikukumbira Ishe
huyai nepano
Tirikukumbira Ishe
huyai nepano
Tirikukumbira Ishe
huyai nepano
Oh Ishe, Uyai nepano
Oh Ishe, Uyai nepano


Mumwe ari kuchema....
Mumwe ari kuimba.........
Mumwe ari kudana......
Tiri pano Ishe..........
Mumwe ari kukumbira...
Mumwe ari kunamata...."
949;COME HERE BY LORD;;"Come by here Lord, come by here
Come by here Lord, come by here
Come by here Lord, come by here
Oh, Lord come by here

Someone's praying Lord
Come by here 
Someone's praying Lord
Come by here 
Oh, Lord come by here"
1023;Cover Me - Threshing Floor;G;"I come to You dear Father
Without any special feeling
At times I’m so discouraged
As if my life has no true meaning
Satan has taken away my strength
And has robbed me of my wealth
Thou art my mighty Kinsman Redeemer
In You I put my confidence
So I’m placing my claim

Chorus
I’m down here at the threshing floor
(Cover me)
I’m asking You to cover me
(Cover me) 2x
I need to hear the secret things
You’re saying
I’m asking You to cover me

Draw me closer and closer
Till You and I become one
Spread Your skirt over me
It’s You I want to become
When You answer my petition
I’ll always walk in victory
I’ll walk into the enemy’s camp
And take back what he stole from me

I’m laying my sins and weight aside
I’m following wherever You lead
I’ll take the fight to my enemy
And take back what he took from
me";
1064;Daar bo in die hemelse Kanaan;C;"Daar bo in die hemelse Kanaan
Ontmoet ons mekaar,
Met Jesus ook daar,
Daar bo in die hemelse Kanaan,
Ontmoet ons verseker mekaar.
As jy daar kom voor ek daar is,
Kyk uit vir my ek kom gewis,
Daar bo in die hemelse Kanaan,
Ontmoet ons verseker mekaar."
1066;Daar Is Niemand Soos Jesus (Afrikaans);;"Daar is niemand soos Jesus
Niemand, niemand soos Hy
Niemand wat sonde vergewe
Niemand net Jesus alleen"
1067;Daar's verlange in my hart na Jesus;C;"Daar's verlange in my hart na Jesus,
Daar's verlange in my hart
Om Hom te sien.
Vir die wereld is ek moeg,
Vir die sware stryd en swoeg,
Daar's verlange in my hart na Hom."
1148;Die Here is my Herder;F;"Die Here is my Herder,
Niks sal my ontbreek nie,
Hy laat my neerle
In groen weivelde,
Na waters waar rus is 
Lei Hy my heen,
Na waters waar rus is
Lei Hy my heen.

Baie diep haal Hy my uit,
Baie diep haal Hy my uit,
Hy plant my voete op die
    Ewige Rots,
Baie diep haal Hy my uit."
1149;Die Here Wat Ons Dien (Afrikaans);;"Die Here wat ons dien 
Hy is so wonderbaar
Die Here wat ons dien 
Hy is so wonderbaar
Hy haal my uit die dode
En hy sit my in die lewe
Hy haal my uit die dode
En hy sit my in die lewe"
