50;A Nga Kona Munghana Unwana;;"A nga kona munghana unwana;
Ku hava, ku hava.
Muhlayisi unwana;
Ku hava, ku hava.

CHORUS
Yesu wa switiva hinkwaswo
Wa hi fambisa masiku
U kwihi la fanaka na Yesu?
Ku hava, ku hava.

Muphameri unwana ku hava;
Ku hava, ku hava."
84;ABAFWA BASHUKA;;"Verse 1
Abafwa bashuka
Nga bali kwa Yesu,
Balalike mitwe,
Pacifuba Cakwe.

Verse 2
Kulya kwa wamisha
Imfifi tayabako,
Ni Yesu bamona
Ba mutemwa uko.

Verse 3
Ifyabacushishe
Fya muno mu calo,
Nomba fyapwa fyonse
Tafiba cusha 'yo.'

Verse 4
Kacema musuma
Atungululaka
Kushili bulanda
Kuli fye inseko

Verse 5
Tuli ne filamba
Fwebashiwa pano,
Twabaloshe cibi
No kubafuluka.

Verse 6
Ishiwi lyamunensu
Twatemenwe cibi,
Nomba tatumfwa iyo
Fyatalala fyonse.

Verse 7
Munensu we waya
Twali kutemwisha,
Twakulila nomba,
Yesu alilile.

Verse 8
Bwangu bukesaca,
Yesu tukamona,
Kuli ifwe akati
Bukeni no kwanga"
161;Aliwama;;"Lesa ekacema wandi
Nshakakabile pe
Ku mulemfwe alentwala
Ku menshi ya bumi

Chorus
Aliwama (aliwama)
Aliwama (aliwama)
Lesa aliwama

Umutima ambwesesha
Mulwendo angafwa
Munshila shabololoke
Pe shina Iyakwe fye

Lintu nkenda mumfwa ine
Nshakatine kantu
Panti imwe mulensunga
No kunsandamisha"
764;BYALA EMIXWENI;;"Byala emixweni, Mbewu ya
vunene,
Byala ni nhlekanhi, byala
vusikwini:
Ndza ha langutela Siku ro
tshovela,
Hi siku ro tsaka
N‘ta rhwala ntsovelo.

: I: N‘ta rhwala ntsovelo.
N‘ta rhwala ntsovelo
Hi siku ro tsaka
N‘ta rhwala ntsovelo.  :I:

Byala edyambyini,
Byala ni ndzutini,
U nga chavi mumu,
Hambi ni xi rhami;
Siku ro tsovela
Ntirho wu ta hela
Hi siku ro tsaka
N‘ta rhwala ntsovelo.

Hambi ni mihloti
Yi xuva timbewu,
Ti yta mila ngopfu,
Ti ta va ti andza;
Yesu o ta sula Mihloti ya wena.
Hi siku ro tsaka
N‘ta rhwala ntsovelo.
"
909;CINE NING'UMFWA ILANDWE LISUMA;;"Verse 1
Cine ning'umfwe landwe lisuma
Kristu amfweilile,
Neci cine cilempafya sana,
Bushe ndesumina?

Chorus
Eyo! Eyo! Lesa nga angafwa
Ndebo mwina mwenu,
Fintu mwamfwilile pa lupanda
Indeba wenu pe.

Verse 2
Uluse Lwenu luntu lwafula,
Lwankulo mutima,
Muli imwe mweka katula wandi,
Nalamusumina.

Verse 3
Mwaishibe fyo nshikwetya amaka,
Ndatina ukuwa,
Nimpenya amaka mutumikile,
Yenu yafulisha.

Verse 4
Na nomba, Mfumu, twamupapata
Mu bafwe 'ba bonse,
Kuti bembe no mutima umo
Elyo ndeba wenu.

Verse 5
Kale bonse aba mulombele
Abati, ""Mungafwe,""
Bwangu, bwangu mwabaswike ""eyo!""
Cibe ngefyo nomba."
1582;FYUMA FYANDI NI YESU;;"Verse 1
Lintu nyenda pano calo;
Nshikwete fyuma fyacalo,
Lelo fyuma nalikwata;
Fyuma fyandi ni Yesu.

Chorus
Nangu napi napina fye
Fyuma fyena nalikwata
Fintu Yesu ateyanya;
Fyuma fyandi ni Yesu.

Verse 2
Ngamatunko yamponena;
Nshintilila pali Yesu;
Ngefyo Nowa alikwete,
Bwato bwandi in Yesu.

Verse 3
Cipupu muno calo;
Amabimbi nga yanjimina,
Nshintilila kuli Yesu;
Nkwela yandi ni Yesu."
1746;GOD'S ALMIGHTY ARMS ARE ROUND ME;;"Verse 1
Mu maboko ya Kwa, Lesa ndyu mutende;
'Cilye te kuti cimpafye, ndyu mutende.
Yesu ewampingwililwe,
Amfwilile, andubwile,
Ne muntungwa ndasekela, ndyu mutende.

Verse 2
Mu kweshiwa apalama, ndyu mutende,
'Kufunda kwakwe kwayana, ndyu mutende;
Limo limo alencusha,
Natotela ninjishiba,
Afwaya fyo kung'wamisha, ndyu mutende.

Verse 3
Lyonse ilyo nashibuka, ndyu mutende,
No bushiku nga bwaila, ndyu mutende.
Awe te'ti ntine fya mfwa,
Yesu mwine alendama,
Ne lintu nketwa ku mwakwe, ndyu
mutende."
3341;Ilya Kesa;;"Verse 1
Ilya kesa ilya kesa,
Kupende fisamo
Fyakwe fyonse ifyafina
Fintu atemwa.

Chorus
Nge ntanda mu mulu,
Ifwe tuli fisamo,
Fikalabeka fyonse,
Mu ngala yakwe.

Verse 2
Yesu Kristwa kalonganya
Kwi sano fisamo
Fikalabeka fyonse
Mu ngala yakwe.
Bana bonse, bana bonse,
Abatemwa Yesu
E fisamo ifyafina
Fintu atemwa."
3405;IN THE LAND OF FADELESS   DAY.;;"Verse 1
Mu mpanga ya kwa Lesa,
Mu musumba ulya,
Tukalabelela pe,
'Bushiku takwaba.

Chorus
Ne filamba no mwenso,
Nelye mfwa ne misongo,
Tabalepende myaka
'Bushiku takwaba.

Verse 2
Mpongolo shabekesha,
Mu musumba ulya
Pa nshi pa nsahabu,
'Bushiku takwaba.

Verse 3
Mpongolo tashisalwa,
Mu musumba ulya,
Mumana uleya pe,
'Bushiku takwaba.

Verse 4
Tabafwaya kasuba
Mu musumba ulya,
Pantu Yesu Lubuto,
'Bushiku takwaba."
3435;Ine 'nshakareke;;"(Bemba)
{Ine 'nshakareke
kumuimbira Lesa }x2
-  Pantu ena ali wamwa
-  Ampera nachichewo
-  Ampera nakasesema
-  Ampera wana wonse
'Nshakareke ine mama

(Chewa)
{Ine sidzaleka
kumuyimbire Yesu }x2
-  Iye ndiye wabwino
-  Wanipatsa muneneli
-  Wanipatsa uthenga
-  Wanipatsa abale anga
-  Wanipatsa alongo anga
-  Wanipatsa ansa anga
-  Wanipatsa abusa anga
Sidzaleka ine mama

(Shona)
{Ini handirege
kumuimbira Jesu }x2
-  Iye ndiye wakanaka
-  Wakandipa Shoko rake
-  Wakandipa Mporofita
-  Wakandipa vana vangu
-  Wakandipa mufudzi wangu
-  Wakandipa hama dzose
-  Wakandipa zvisimbiso
-  Achadzoka kuzotitora
Handirege - handirege

(Shona)
{Ini handirege
kunamata Jesu }x2
-  Iye ndiye wakanaka
-  Wakandipa Shoko rake
-  Wakandipa Mporofita
-  Wakandipa vana vangu
-  Wakandipa mufudzi wangu
-  Wakandipa hama dzose
-  Wakandipa zvisimbiso
-  Achadzoka kuzotitora
Handirege - handirege"
