45;A neng'ung Jesu;;"A neng'ung`, Jesu, ka-agas ng'alek
Che kamwawa chamnyeng'ung';
Ago anyun, asa-in eng' iman,
Ta imuta arikyin.

CHORUS
Yetindennyu, Kiptaiyandennyu,
Nama asi arikyin.
Nama, Jesu, nama; 'mutwa eng' chamnyet
Si arikyin Inyendet.

Kona boisieng'ung' ko u mageng'ung';
Igimita kot, Jesu.
Inyiita mising' Tamirmirieng'ung'
Si agasin it kityo.

Abaibai mising' ye anyonjinin
Agutung'ji kelyeguk,
Keng'alaljine eng' chamnyet ne o,
AK ketinye yamdaet.

Mayama chamnyet ne atindo-i;
Ta inyiitwa chammng'ung'
Toreta, Jesu. si abaiba-in
Eng' betusiekyuk tugul."
85;Abaibai bet ak kemoi;;"Abaibai bet aK Kemoi,
Amwachi Jesu kongoi
Amu menyei ine muguleldanyu.
Atinye kalyet iman
AK kaberuret ne o
Amu menya Jesu, Yetindet!

CHORUS
Menya ra Yetindet!
Haleluya! Menya Inendet!
Abaibai bet ak kemoi,
Amwachi Jesu kongoi
Amu menya Jesu, Yetindet'.

Kiagochige Jesu
Koriba eng' bandanyu.
Asuboti Ine betusiek tugul.
Yoma masambwanindet;
Aterteri inendet
Amu menya Jesu , Yetindet '.

Mi kobota eng' Oret,
AK koriba eng' chamnyet.
Abaibai amu atiagat eng' chalwok.
Riba Tamirmiriennyi,
AK konyiita boiboiyet
Amu menya Jesu, Yetindet!"
99;Abwati meeng'ung' Jesu;;"Abwati me-eng'ung`, Jesu,
Ko u ye I-ng'atech.
Anyone nguno Meseng'ung'
Aming'inityinge.

I Makatiat ne bo sobon,
Jesu, Yetindennyo.
Ak ye ki-amdo-i nguno
Kibwati me-eng'ung'.

Karogutiet kikombani
Ne bo korotiguk;
Ak ye ki-ee diva-i-chu
Kobwatwech me-eng'ung`.

Kibwati nyalilwogiguk
Eng' Kimurtoiyondet.
I Aruet ne bo Jehovah;
I Tiseiywondennyo.

Kitinye ra kamang'unet
Amu ng'wanindang'ung'.
Kiribe kabwatonito
Agoi I-nyo kogeny."
105;Achame Jesu weritab Jehovah;;"Achame Jesu, Weritab Jehovah;
Achame Jesu ne Toretindennyu;
Achame mising' kosiir tuguk tugul,
Amu kisib kochama Jesu, si kome.

CHORUS
     Achame, achame Weritab Jehovah;
     Amu kisib kochama Jesu, si kome.

Kinyo inendet kosor bik eng' tengek;
Kinyo komwaiwech logoiwekyik che miach.
Ka'yan ng'alekyik; achame Inendet,
Amu kisib kochama Jesu, si kome.

Amu kichamech komechech Yetindet.
King'eet eng' meet eng' betutab somok
Achame inne eng' muguleldanyu,
Amu kisib kochama Jesu, si kome.

Mi Jesu nguno olin bo kipsengwet,
Ak ta konyonei komutech kebe ga.
Achame Jesu; agasige mising',
Amu kisib kochama Jesu, si kome."
238;Amakyininge kot;;"Amakyininge kot,
Jesu Kristo;
Amu mami age,
Ne 'toreta.

CHORUS     
Jesu, amakyininge,
Amu a nyerat kot.
Nama eng' kimnateng'ung' ­
Kanyonjin ra.

Amakyininge kot,
Jesu Kristo;
Eng' betut ak kemoi
Kitebye t'wai.

Amakyininge kot,
Yeti-ndennyu;
Nyo, chogu,
toreta; Iberura.

Jesu, amache kot
Ikweng-' sewa.
Kona agasin it,
Asubotin."
241;Amang'un inyege;;"Amang'un Inyege
Inye ne kimecha,
Jesu Kristo.
Kas saennyu nguno:
'Stawa tengektanyu;
Kona aek neng'ung'
Koboch rani.

Ye ami ng'onyuni
Ak kobiit .usisiet,
Imutata.
`Stawa toptobenet;
Kona nyiganatet;
'Ndoywa, itoreta
Asubotin.

Ye tun karik me-et,
Igona kamuung'et,
Jesu Kristo;
Kona kimnateng'ung';
Onwa ka'ywe-isiet;
Imuta kipsengwet
Eng' boiboiyet."
272;Amwechini Jesu;;"Mi besio nyalilda ne o
Ne tektaa si mageer Jesu
Mitei ka-iimutik che Che Chang
Che iima mising kotugul

CHORUS
     A-mwechini anyun Jesu,
     Ne isoobi muguleldanyu.
     A-mwechini anyun Jesu
     Ne Inendet Kiptaiyandennyu

Ye tesak kererwekab met
Atiiege ruandet Jesu
Agot ngo mi nyalulnatet
kogimiita Yetindenyun

Matiny ngo bichii bandanyu
Ak a-ng'et mising eng' oret
amache asubun Jesu
Iegu kandoindenyun"
329;Aote Jesu Kristo;;"Aote Jesu Kristo 
Ne ki'ng'eet Jehovah;
AK angen ale sobei 
amu mi orinnyu;
Ageere bo-isiennyi, 
agase kutinnyi;
AK ye atinye nyalil 
kogoigo-a.

CHORUS
     Iman, iman, sobei Jesu Kora!
     Indoiywech eng' bet ak kemoi -
     Kisubi i-nendet.
     Iman, iman, kigonech yetunet;
     Ee , kingen Kele sobei ra ,
     Amu mi orinnyo.

Abaibai amu riba 
eng' bandanyu tugul;
Ye betwa kimnatennyu 
kotoreta Jesu.
Imutata Inendet 
eng' betutab nyalil.
Tatun koweeksei kogeny , 
ne mabeitos.

Otienji Jesu  Kristo, 
okwek che  bo Iman;
Omwachi, ""Haleluya!"" - 
Inendet  Yetindet.
Ye 'mang'u  bik Che Cheng'ei 
kosichei toretet;
Mami ne tinyei rirge 
kosiir  Ine."
359;Arikyinin, Jesu;;"Arikyinin, Jesu,
Yetindennyu,
Matiny  ngo mi nyalil,
Anan boiboiyet.
Agakto-in,  Inye,
Ne I Ribindennyu.
Arikyinin mising',
Toretindennyu.

A kiprutoiyondet
Eng' ng'onyuni.
Mangen ane Oret
Ole abune.
Nyo, Jesu,  toreta;
Nama, imutata .
Arikyinin mising`
Kando-indennyu

Ribota, Kiptaiyat,
Bet komugul;
Si ye imen emet
Imi kobota.
Riba, Yetindennyu,
Ye arue eng' kemoi.
Arikyinin, Jesu,
Mestowondennyu.

Alosun, Jehovah
I Kwandanyu.
Bunun tuguk  tugul
Che nyoljin sobet:
O chamnyeng`ung` inne,
Ne ma-igesugei.
Arikyinin. Jesu,
Kiptaiyandennyu."
403;Asubi Jesu Kiptaiyat;;"Asubi Jesu Kiptaiyat;
Awendi ole ka'muta.
Achame ayai magennyi
Amu kime eng' Kalvari.

CHORUS
     'Ndoiywa Jesu bet ak kemoi;
     'Ndoiywa Jesu eng' ui tugul.
     Choruennyu iman Inendet
     Amu kime eng' Kalvari.

Achame kondoiywa Jesu;
Abaibai eng' ng'atutikyik.
Achame akas it Ine
Ne kimecha eng' Kalvari.

Awendi tai, ma'yweisie-i
Amu imutata Jesu.
Amang'u ageer Inendet
Ne kimecha eng' Kalvari."
