16;A friend of Jesus / Friendship with Jesus;C;"Welche Seligkeit ist nun mein Teil, 
denn Jesus ist mein Freund. 
Er schenkt mir Frieden, Freud' und Heil, 
bewahrt vor jedem Feind.
------------------------------------------------------------
A friend of Jesus, oh, what bliss,
That one so vile as I
Should ever have a friend like this
To lead me to the sky.

CHORUS
Freundschaft mit Jesus, 
dieses Glück ist mein!
O, die köstliche Gemeinschaft:
Er ist mein und ich bin Sein!
-------------------------------------------------------
Friendship with Jesus,
Fellowship divine,
Oh, what blessed, sweet communion,
Jesus is a friend of mine.

Wenn and're Freunde von mir geh'n, 
bleibt Er als Freund mir treu. 
Wenn andere mich nicht versteh'n, 
ist Seine Liebe neu.
----------------------------------------------------------
A friend when other friendship cease,
A friend when others fail,
A friend who gives me joy and peace,
A friend when foes assail.

Ein Freund, wenn Prüfung mich bedroht, 
ein Freund im dunklen Tal, 
ein Freund bei Schmerz und Todesnot. 
Er hilft mir überall.
----------------------------------------------------------
A friend when sickness lays me low,
A friend when death draws near,
Aa friend as through the vale I go,
A friend to help and cheer.

Ein Freund, wenn meines Lebens Lauf 
wird einst zu Ende sein. 
Dann nimmt Er mich im Himmel auf: 
Ich bin bei Ihm daheim.
------------------------------------------------------------
A friend when life's short race is o'er,
A friend when earth is past,
A friend to meet on heaven's shore,
A friend when home at last.";
51;A Passion For Thee;D;"Richte mein Herz, oh lieber Vater,
auf Dich allein. Lass mich nach
Deiner göttlichen Gegenwart
dürsten. HErr, richte meinen 
Schwerpunkt darauf, 
Dich allein zu lieben.
Reinige mich vom irdischen - 
wende mein Herz zu Dir.

CHORUS
Eine Leidenschaft für Dich, 
oh HErr, sende ein Feuer in
meine Seele und einen Durst
nach meinem Gott. Höre jetzt
mein Gebet, HErr, schenke 
Deine Kraft. Nicht allein um Dir
zu dienen, aber um Dich von 
ganzem Herzen zu lieben.

Vater füll mit Deinem Geist
und bereite mich zum Dienst zu.
Dass die Liebe für Christus jedes
Motiv beeinflusst. Hilf mir in selbst-
loser Unterordnung zu folgen. Sei
Du meine Freude und meiner Seele 
einzigstes Verlangen."
89;Abba Father / Abba Vater;G;"Abba, Vater Deine Lieb' nahm das Herz mir ein.
Ohne Deiner Nähe Licht kann ich nicht mehr sein.
Vater, hältst mich immer fest, lässt mich nie allein.
Dir vertrau' ich Tag für Tag, Vater, ich bin Dein.
-------------------------------------------------------------------
Abba Father, let me be Yours and Yours alone.
May my will forever be, evermore your own.
Never let my heart grow cold never let me go.
Abba Father, let me be Yours and Yours alone.";
164;All along on the road / Watching you, watching you;C;"Auf dem Weg, den du gehst,
wo dein Leben auch steht,
Gottes Aug` schaut nach dir.
Jeden Schritt, den du machst,
ob du schläfst oder wachst,
Gottes Aug` schaut nach dir.
---------------------------------------------------------------------
All along on the road to the soul's true abode,
There's an Eye watching you;
Eevery step that you take, 
This great Eye is awake,
There's an Eye watching you.

CHORUS
Schaut nach dir, schaut nach dir,
was du tief auch bewegst, Er ist hier.
Schaut nach dir, schaut nach dir,
ganz gewiss, Jesus Christ schaut nach dir.
---------------------------------------------------------------
Watching you, watching you,
Every day mind the course you pursue;
Watching you, watching you,
There's an all-seeing Eye watching you.

Wenn du Pläne noch hast
und du kommst nicht zur Rast,
Gottes Aug` schaut nach dir.
Gott wird warnen dein Herz,
wenn`s nicht geht himmelwärts,
Gottes Aug` schaut nach dir.
---------------------------------------------
As you make life's great flight,
Keep the pathway of right,
There's an Eye watching you;
God will warn not to go
In the path of the foe,
There's an Eye watching you.

Schau das Ziel freudig an,
das dein Herr kommen kann,
Gottes Aug` schaut nach dir.
Denk` im Leben daran, das nur Er retten kann,
Gottes Aug` schaut nach dir.
----------------------------------------------
Fix your mind on the goal,
That sweet home of the soul,
There's an Eye watching you;
Never turn from the way
To the kingdom of day,
There's an Eye watching you.";
174;All heaven declares / Forever He will be;G;"Der Himmel zeugt
von der Herrlichkeit des Herrn der Herrn.
Wer ist Ihm gleich
dem siegreich Auferstandenem?
------------------------------------------------------
All heaven declares
The glory of the risen Lord.
Who can compare
With the beauty of the Lord of Lords.

CHORUS
In Ewigkeit bist Du,
Erlöser, Herr, mein Gott.
Ich beuge meine Knie
und bet´ Dich an allein.
---------------------------------------------
Forever He will be
Redeemer, Lord, my God.
I gladly bend my knees
And worship Him alone.

Verkündet laut
die Herrlichkeit des Herrn der Herrn.
Er starb am Kreuz,
die Menschheit zu erlösen.
-------------------------------------------------
I will proclaim
The glory of the risen Lord.
Who once was slain
to reconcile men to God.";
217;Alles ist Dein und alles ist mein in Dir;G;"Alles ist Dein und alles ist mein in Dir. 
Dein ist die Macht,
ich rühm' Deine Kraft an mir. 
Ich bin Dein Kind,
ich preis Deine Lieb' für Christus,
der einst ans Kreuz für mich ging. 
Oh, Heiland, hab Dank,
in Dir bin ich reich gemacht.

CHORUS	
Halleluja, Halleluja,
Halleluja, ich bin ein Königskind! 
Halleluja, Halleluja,
Halleluja, ich bin ein Königskind!

Du bist der Herr
und Du bist der König ewiglich.
Sprich durch Dein Wort,
Dein Name ist süß, ich rühme Dich. 
Ich will Dich anschau'n in Ewigkeit,
die Herrlichkeit hältst Du für mich bereit.
Durch Deine Kraft wirst Du führen
Dein Volk zum Ziel.

In Dir ist Frieden,
in Dir ist Ruh für ewig da. 
Ich flieh' zu Dir, in Schwachheit 
und Not bist Du mir nah.
All meine Sorgen bring' ich zu Dir, 
und so bleibt ein tiefer Friede in mir. 
O, Vater, bewahr mich ewig
in Deinem Wort!";
383;As the deer panteth / Wie ein Hirsch lechzt;C;"Wie ein Hirsch lechzt nach frischem Wasser,
so sehn' ich mich, Herr, nach Dir.
Aus der Tiefe meines Herzens
bete ich Dich an, oh Herr.
-----------------------------------------------------
As the deer panteth for the water,
So my soul longeth after Thee.
You alone are my heart's desire,
And I long to worship Thee.

CHORUS
Du allein bist mir Kraft und Schild.
Von Dir allein sei mein Geist erfüllt.
Aus der Tiefe meines Herzens
bete ich Dich an, o, Herr.
-------------------------------------------------------
You alone are my strength, my shield;
To You alone may my spirit yield.
You alone are my heart's desire,
And I long to worship Thee.

Du, oh, Herr, bist mein Freund und Bruder,
Du mein König und mein Gott.
Dich begehre ich mehr als alles,
so viel mehr als höchstes Gut.
--------------------------------------------------------------
You're my friend and you are my brother,
Even though you are my King,
I love you more than any other,
So much more than anything.

Was bedeuten mir Gold und Silber,
Herr, nur Du kannst Erfüllung sein.
Du allein bist der Freudengeber,
wurdest mir zum hellen Schein.
-----------------------------------------------------
I want you more than gold and silver,
Only You can satisfy,
You alone are the real joy giver
And the apple of my eye.";
424;Auf Geschwister;;entfernt;
427;Aus Liebe Zu Gott;Ab / A;"Jesus ist der Erlöser,
Er hat uns von Sünde befreit.
Er hat Seine Liebe erwiesen,
Du kannst nun ein Kind Gottes sein.

CHORUS
Aus Liebe zu Gott, 
aus Liebe zu Gott:
Dein Herz übergib' Ihm,
lass Jesus einzieh'n!

Jesus ist der Erretter,
verlasse dich völlig auf Ihn.
Er hat deine Sorgen getragen,
du brauchst nur in Ihm zu ruh'n.";
488;Be glad in the Lord / Rejoice / O lasst uns mit;F;"O, lasst uns mit Jauchzen erheben 
den Schöpfer und Herrscher der Welt, 
den Herrn, von des Güte wir leben, 
des Allmacht uns trägt und erhält!
--------------------------------------------------
Be glad in the Lord and rejoice,
All ye that are upright in heart;
And ye that have made Him your choice,
Bid sadness and sorrow depart.

Chorus
Gelobt, sei Gott, 
gelobt sei der Herr, unser Heil!
Wir trau'n auf Ihn, 
Er ist unser Gut, unser Teil!
----------------------------------------
Rejoice, rejoice
Be glad in the Lord and rejoice;
Rejoice, rejoice,
Be glad in the Lord and rejoice

Denn Ihm gehört Himmel und Erde;
ja, Ihm ist kein anderer gleich.
Und wir sind das Volk Seiner Herde,
berufen, zu erben Sein Reich.
------------------------------------------
Be joyful, for He is the Lord,
On earth and in Heaven supreme;
He fashions and rules by His Word -
The 'Mighty' and 'Strong' to redeem.

Und hat Seine Hand uns geschlagen,
so hatte Er dennoch uns lieb.
Und gab es auch Lasten zu tragen,
die Hoffnung der Herrlichkeit blieb.
-------------------------------------------------
Though darkness surround you by day,
Your sky by the night be o'ercast,
Let nothing your spirit dismay,
But trust till the danger is past.

So lasst uns mit jubelnden Chören 
Ihm stets unser Loblied erneu'n. 
Preist Ihn, alle Welt soll es hören, 
dass wir uns'res Gottes uns freu'n.
--------------------------------------------------
Be glad in the Lord, and rejoice,
His praises proclaiming in song;
with Harp and with organ and voice
the loud Hallelujahs prolong!";
