144;ALAS! AND DID MY SAVIOUR;Eb;"Verse 1
Cine Yesu anculile
Mfumu yamfwilile
Mutwe wakwe wandashilwe
Ine muntu mubi

Verse 2
Nipa mpulumushi shandi
Atetele kale
Ku lupande
Kwamoneke
Ubwingi bwaluse

Verse 3
Lintu Kristu Shakapanga
Afwililya bantu
Kasuba takamoneke
Takabalike 'yo

Verse 4
Filamba fyandi fyacepa
Ubupe ku Mfumu
Kuli imwe ndeipela
Eco ndecita fye."
418;Atienye choruet ne chama kot;;"Atinye Choruet ne chama kot,
Ne chama eng' iman.
Amwaitooti che kiyaiywa keny,
Agot che machei koya-un.

CHORUS
     Ye . . . ta kimnatennyi!
     Ye . . . ta anyor sobon!
     Nguno anyiitat eng' boiboiyennyi
     Amu atiagat!

Ye kiami eng' chalwogikyuk
Kolenja eng' chamnyet,
Inyala eng' sigunet iman
Asi asorun eng' tengek

Igimita Sorunindennyu;
Riboti sobennyu.
Agakto-i eng; tuguk tugul,
Ak angen ale 'muta ga"
1264;EE, ROHO MTAKATIFU;;"Ee, Roho Mtakatifu,
Tuliza moyo wangu;
Niwe wako unijaze,
Uje sasa, nijaze.


Chorus
Nijaze, nijaze,
Uje Yesu, nijaze;
Nijaze na roho wako,
Bwana Yesu, nijaze.


Ni dhaifu sina nguvu,
Nguvu zako nipate;
Mwokozi, nakuhitaji,
Uje sasa, nijaze.


Ee Roho, unisafishe,
Napenda niokoke;
Nina haja nitakaswe,
Uje sasa, nijaze.";;
1315;Eng' Noel ne ki bo tai;;"Eng ' Noel ne kibo tai ne kitien malaika
Ko kitienji sigetab Jesu Yetindet .
Kiga mong'ji mestowek Che kimitei kewet
Ye kiribei kechirek eng' saitab kemoi.

CHORUS
     No-el, No-el, No-el, No-el!
     Kagesich Laitoriat Jesu Kristo!

Ki-inyal barak ichek, ak kogas tienoto
Ne kitienji malaika eng' kalosunet,
Kiba anyun mestowek ak koit  Betlehem
Si kogeer  Lakwet  Jesu komi kaptugut.

Kibwa  bik eng' kong'asis Che Ki ng'omen mising'
Koteebonu Laitoriat ne kiga kesich.
Ki-indochi kecheiyat kot koit  ye kimi
Si kogochi kagochino-ik Che miachen.

Ongigochi agachek konuno-ik Che miach
Che kimwachine kongoi 'amu chamnyennyi,
Kinyo ng`ony Yetindennyo Kogergeit ak  bik
Si koek Laitoriatab mugulelwekyok."
2870;I tia inye!;;"Yetindennyu ak Kamukta-indennyu,
Eechen inne kwongutik che kiiyai
Ak ye ager ya-utikab eung'ung'
Che mitei ng'ony ak kipsengwetisiek....

CHORUS
Alosun kot Jehovah Ya-indet!
I tia Inye! I tia Inye!
Alosun kot Jehovah Ya-indet,
Amu I ka...mukta-indet!

Ak ye ageer boisioniguk che eechen
Akwong'e kot amu kimnateng'ung';
Ak ye agas tulosiekab ilotik
Kolosun kot sobondanyu tugul...

Ak ye abwat chamyet ne mawalaksei
Ne ki-icham igonu Wering'ung'
Ne kigonyo koyaktaiwech besendo
Ne kiratech eng' tengekwogikyok...

Tia boiboiyet ye tun kaweek Laitoriat
Nyo komut bik che 'yani Kaineng'ung';
Ak eng' koigeny kemi tugul koboten
Ak kilosun, Kamukta-indennyo!"
3028;I YESU L‟A NGA NDZI TSHUNXA;;"Loko a ndzi famba
eswidyohwen‘
Lok‘ a ndzi phasiwa
entlhan‘win‘,
Loko a ndzi nga tsakanga
mbilwin‘.
I Yesu l‘a nga ndzi tshunxa.

VUYELELO
I Yesu l‟a nga ndzi tshunxa,
I Yesu l‟a nga  ndzi tshunxa,
Timpencana ti tshoviwa tona
I Yesu l‟a nga ndzi tshunxa.

Loko a ndzi biwa hi mapfalo,
Lok‘a ndzi lava ku hela mbilu,
Loko a ndzi swi koti nchumu,
I Yesu l‘a ndzi tshunxa.

Lok‘ a ndzi khunguvanyeka
ndlelen‘,
Lok‘a ndzi hulumetela khumbin‘,
Ndzi nga tivi ta vutomi tilwen‘,
I Yesu l‘a nga ndzi tshunxa.

Ndzi ta tlhangela hi ku tsakela
Tintswalo ta lo‘ya nga ndzi
rhandza,
A ko a fa matshan‘wen‘ ya min a
I Yesu l‘a nga ndzi tshunxa.
"
3348;IMANI YA AJABU YAUFURAHISHA;;"Imani ya ajabu 
yaufurahisha moyo
Roho akikaa ndani;
Tena, wokovu 
utatuletea utakaso
Roho akikaa ndani.


Chorus
Ni Roho Mtakatifu,
Ni Roho Mtakatifu,
Akaapo moyoni, 
Twakaa wokovuni.
Ni Roho Mtakatifu.


Hakuna tamaa ya 
anasa ulimwenguni
Roho akikaa ndani,
Uovu na dhambi zote 
zikachomwa motoni
Roho akikaa ndan.i.


Hatutaanguka tena 
bali tutasimania
Roho akikaa ndani,
Hakuna hasira wala 
kujipendeza tena
Roho akikaa ndani.";;
3496;Isiacha, Kiptaiyandenyun;;"Isiacha, Kiptaiyandennyu,
Si anaige  komie,
Asi abutyi kelyeguk
Eng' sigunet iman-.

Isiach sobondanyu tugul,
Inye ne ingena.
Iborua chalwok Che mita
Si anai agane.

Ikweng'ena lapkeiyeng'ung'
Ole mi ya-itiet.
Igimit  muguleldanyu
Si awech  tengekto.

Istawa kabwatutikyuk
Che ibwa ya-itiet.
Istawa magutik Che yaach
Si maboiywa choto.

Ikweng'ena lapkeiyeng'ung',
Inye ne  I tilil.
I-nyiitwa  Tamirmirang'ung`
Si a-otin komie."
3504;Isub sirutik;;"Isub Sirutik, Ngalekab Jehovah,
Si mabetun konetisiosiekyik
Sigu Che begunotin eng' tengekto
Ye kagas it kutitab Kiptaiyat.

CHORUS
     Isub Sirutik Che bo Jehovah;
     Isub Sirutik koek ta-ing'ung`.

Isub Sirutik, ilakte che yaachen,
Si iegu ne igesunotgei.
Soman ng'alekyik asi igimitu.
Nertos ichek Che igiilegei kot.

Isub Sirutik asi kong'omitin,
Si ma konachin masambwanindet.
'Ndo-un komie lapkeiyetab Sirutik,
Agoi i-it ga kokweng'un oret."
3748;Jehovah Mestowot ne mie;;"Jehovah Mestowot ne Mie
Mararua kiy tugul.
Kona aru ye mi suswek
Che miach, che nyalilen.

Imutyina bekekab kalyet;
Isobi sobondo.
I-ndoiywa abun ortinwek
Che bo imandanyi.

Ngabune umetab me-et
Ko ma’ywei yaityo
igoigo-a mestowandet
Kotinyei si'arinnyi.

Itoi meset eng' ta-innyu
Ole mi bunikyuk.
Iila Ine eng' mwaitanyi
Kot konyi boiboiyet.

Isubotan mie-indanyi
Ak chamnyennyi ne o.
Atebe gotab Jehovah
Eng' koigeny ak koi'geny."
