33;A LITTLE TALK WITH JESUS;;"Kuzungumza na Yesu kwafaa sana,
Kuzungumza na Yesu kwafaa sana;
Shida zako zote, mwambie po pote,
Kuzungumza na Yesu kwafaa sana.";;
263;Amen! (en lingala);F;"Amen! Amen! Amen!
Amen! Amen! 

Okolinga Ye? Amen!
Osalela Ye? Amen!
Ondimeli Ye? Amen!
Amen! Amen!

Biblia nde Sôlo. Amen!
Nandimi yango. Amen!
Liloba na Nzambe. Amen!
Amen! Amen!

Tondimi Okoya. Amen!
Tokomona Yo. Amen!
Yaka Nkolo Yesu. Amen!
Amen! Amen!";shekinah tabernacle;
397;Asifiwe;;"Asifiwe, Yesu Asifiwe
Mu maisha yangu, Asifiwe.

Atawale, Yesu Atawale
Mu maisha yangu, Atawale.

Akumama, Yesu Akumama eh
Na bomoi na nga, Akumama.

Na tondi yo, Nkolo natondi Yo eh
Na bomoi na nga, natondi Yo eh"
398;Asikoli ngai;;"Esengo, Asikoli ngai (3x)
Nkembo, aleluya, Asikoli ngai.
Esengo, Abikisi ngai (3x)
Nkembo, aleluya, Abikisi ngai.
Akumama, aleluya!
Akumama, amen.";;
399;Asimbi ngai;;"Mokumba elekeli ngai,
Na nsoni mpe na masumu ;
Mpe Yesu aye, Asimbi ngai,
Sikawa ngai nabongwani.

Chorus
Asimbi ngai, oh, Asimbi ngai,
Oh, boni natondi n'esengo !
Eloko moko'esalemi,
Asimbi ngai, mpe nabiki.

Ngai nakutani na Nkolo,
Mpe Ye Apetoli ngai ;
Nalemba te kosanjola Ye,
Kino na seko na seko.";;
412;Ata ndele;F;"Tomekami mingi, tomituni,
Mpo na nini' ezali bongo;
Basusu bazali na masumu,
Kasi bakotungisama te.

CHORUS
Ata ndele tokoyeba manso,
Tokososola ntina nini;
Zala na mpiko kati na pole,
Tokososola sasaipi.

Liwa ekokamata bandeko,
Kotika biso moko mawa;
Mpo na nini basusu balongi,
Wana bakokoba na mabe.

Nkolo alobi, ""Zalaka sembo,""
Na mwa ntango mosala' esili;
Mpasi ya nzela tokobosana,
Soki tokatisi na ngambo.

Wana tomoni Yesu na nkembo,
Kouta na ndako ya Lola;
Tokokutana na Ye likolo,
Tokososola na mwa ntango.";© Public Domain;
440;Azali;Ab;"Nasepeli butu, moi,
Awa ngai na mobembo,
Mpo' te namoni loboko na Nzambe;
Ntina y'esengo na ngai
Ezali mpo na boye :
Mobondisi azali na ngai.

CHORUS
Azali,Azali, 
Aleluya, azali na ngai;
Kati na nzela moke,
Esengo butu na moi,
Mobondisi azali na ngai.

Nasumukaki mingi,
Mpe nazangaki kimia,
Kino nayebaki liwa na Yesu;
Nafukamelaki Ye,
Bongo nazwaki kimia,
Mobondisi azali na ngai.

Akotambola na ngai,
Ayebi mposa na ngai,
Esengo, ngai nsomi lokola 
   ndeke;
Molimo akonzi ngai,
Yesu abondisi ngai,
Mobondisi azali na ngai.

Bisengo ya mokili
Bikei mosika na ngai,
Nasili mpe kokabwana 
   na yango;
Butu ebongwani moi,
Mpe mikumba milongwe,
Mobondisi azali na ngai.";© Public Domain;
441;Azali Ebombamelo;;"Nkolo azali Libanga,
Azali Ebombamelo ;
Ata na ntango ya mpasi,
Azali Ebombamelo.

chorus
Yesu Libanga kati na lisobe,
Na lisobe, na lisobe;
Yesu Libanga kati na lisobe,
Azali ebombamelo.

Na ntango na moi, too butu,
Azali Ebombamelo;
Tokobanga banguna te,
Azali Ebombamelo.

Ntango mipepe ekoya,
Azali ebombamelo;
Tozali na Ekimelo,
Azali Ebombamelo.

Oh, Ye Libanga na biso,
Azali Ebombamelo ;
Lisungi mpo na libela,
Azali Ebombamelo.";© Public Domain;
442;Azali na yo;;"Azali na yo,
Azali na yo;
Na butu to na moi,
Azali na yo.";© Public Domain;
443;Azali nde Nkolo;;"Azali nde Nkolo, 
Asekwi na bakufi, Ye Nkolo.
Banso bafukama mpe baloba :
Yesu Klisto, Nkolo.";© Public Domain;
