1020;Count Your Blessings-bala Izibusiso Zakho;;"Mhla ukhathazeka emhlabeni la,
Udiniwe, aphelil' amandla nya,
Bal'izibusiso, aziningi na?
Bong' inKosi ngazo, ungasoli, qha!

Chorus
Bal' izibusiso zakho-ke,
Uzibale-ke ngazinye, he!
Bala phela, aziningi na?
Bong' inKosi ngazo, ungasoli, qha!

Uthwesiw' umthwalo osindayo na?
Siyand' isiphambano sakho la?
Bal izibusiso zakho, qina ngo;
Khona wobalul' umthwalo wako, bo.

Nxa ubon' abanye benemfuyo he,
Bhek' imfuyo,yakho ephezulu le.
Bal' izibusiso, yeka, zihle hle!
Ifa ligcinelwe wen' ekhaya-ke.

Impi isashisa, qina uthi ngo,
Ungesabi, nag' uJes' unawe, bo!
Naz' izingclosi zokuphatha-ke
Zokuyisa kahl' ekhaya lakho le."
1240;Dwala Laphakade - Rock Of Ages;;"Dwala lami laphakade
Mangicashe njalo kuwe
Zonk' izono enginazo
Mazihlanzw' igazi lakho
Maliphel' icala lami
Ngihlanzeke ngaphakathi.

Yonk' imisebenzi yami;
Ayisoz' ingilungele,
Yonke imizamo yami,
Ne nyembezi zonke zami,
Zingeqed' izono zami,
Nguwe wedwa Msizi wami.

Uma sengiphel; amandla
Umphefumulo sewuphuma
Nxa sengindizela kuwe 
Ngikubon' esihlalweni
Dwala lami laphakade
Mangicashe njalo kuwe.";
1258;Ebusheni Bami;;"Yek' ubuhle bokukholwa
   nguMsindisi wam'.
La bungakadlul'
   ubusha bami;
Ngisemusha, ithambile
   inhliziyo yam',
Iyamthanda yen'
   uMhlobo wami.

CHORUS
Yek' ubuhle bokumazi
   ebusheni bam'
Ukumthand' uJesu,
   uMsindisi;
Nxa ngimdala kudlulile
   konk' okuhle kwam'.
Umi nami enguMthokozisi.

Yek' ubuhle bokumkhonza
   ebusheni bam'.
Ukumsebenzel' uNkulukulu;"
1272;Ekhaya a kusekude (Kure sei kumusha);;"Ekhaya a kusekude,
Yeka! Umkhumbulo omhle
Thokoza ke wena mhambi, Sul'isinyembezi.
Ngakho U ngabusukhala
Si zohlangana phambili
Izihlupo zi phelile
Emzin'othulile.

Ekhaya kuse kude na? 
Ngi buzil'umlindi yena
Wath' ub'suku, Bu yaphela
Manje seku yasa
Ngakho U ngabusakhala, 
Kodwa, hamba u ophalale
U zofik' enzinsukwini
Ezingasapheli.

Se ngi buzile ibutho
Ingoma yebutho ithi
Ngesibindi ngi zokulwa, Ngay'inkemba yodwa
Ngakho U ngabusakhala
Empini bekezela
Umvuz' u phiw'ophumile
Nxa esenqobile.

Ngi buzile into zonke,
Zi sho ngazwi linye zonke
Isikhathi si yaphela, Ikhaya li vele
Ngakho U ngabusukhala, 
Iziboniso zi yanda
Konkana ku yabubula
Ku fun'inkululo.";
1318;ENTABEN' EKUDE;;"Entaben' ekude kwem' isiphambano
Esinobuhlungu nehlazo
Ngisithanda sona, ngoba uJesu wam'
Wabethelwa kuso ngenxa yam'

CHORUS
Ngakho ngisibabaza sona
Ngize ngibeke phans
Ngizobambelela kuso nami
Ngize ngizuze umqhele wami.

Leso siphambano esadelwa yizwe
Siyangimangalisa njalo
Ngoba ngenxa yaso Jesu weza lapha
Asithwalele eGolgotha.

Esiphambanweni loph' igazi lakhe
Elimangalisayo kimi
Ngoba ngenxa yami Jesu wafa khona
Angithethelel' angihlanze.

Esiphambanweni ngiyakuqinisa
Ngithwal' hlazo ngenjabulo
Wongibiza mina khona ekhaya lam'
Angiqhelise ngomqhele wam'."
1319;Entaben' ekude kwem' isiphambano.;;"Entaben' ekude kwem' isiphambano.
Esinobuhlungu nehlazo;
Ngisithanda sona, ngob' uJesu wami
Wabethelwa kuso ngenxa yam'.

Ngakho ngisibabaza sona,
Ngize ngibeke phans' umthwalo,
Ngizobambelela kusona
Ngize ngizuze umqhele wam'

Leso siphambano esadelwa yizwe.
Siyangimangalisa njalo.
Ngoba ngenxa yaso 'Jesu weza lapha
Asithwalele eGolgotha.

Esiphambanweni loph' igazi lakhe
Elimangalisayo kimi.
Ngoba ngenxa yami 'Jesu wafa khona.
Angithethelel' angihlanze.

Esiphambanweni ngiyakuqinisa,
Ngithwal' ihlazo ngenjabulo;
Wongibiza mina khona ekhaya lam',
Angiqhelise ngomqhele wam'."
1320;Entaben'ekude;;"Entaben' ekude kwem' isiphambano
Esinobuhlungu nehlazo
Ngisithanda sona, ngoba uJesu wam'
Wabethelwa kuso ngenxa yam'

CHORUS
Ngakho ngisibabaza sona
Ngize ngibeke phans
Ngizobambelela kuso nami
Ngize ngizuze umqhele wami.

Leso siphambano esadelwa yizwe
Siyangimangalisa njalo
Ngoba ngenxa yaso Jesu weza lapha
Asithwalele eGolgotha.

Esiphambanweni loph' igazi lakhe
Elimangalisayo kimi
Ngoba ngenxa yami Jesu wafa khona
Angithethelel' angihlanze.

Esiphambanweni ngiyakuqinisa
Ngithwal' hlazo ngenjabulo
Wongibiza mina khona ekhaya lam'
Angiqhelise ngomqhele wam'."
1343;Esiphambanweni;;"Entaben' ekude, kwem' 
    isiphambano
Esinobuhlungu nehlazo;
Ngisithanda sona, ngoba 
     uJesu wam'
Wabethelwa kuso ngenxa 
    yam'.

CHORUS
Ngakho ngisibabaza sona
Ngize ngibeke phansi 
    umthwalo,
Ngizobambelele kuso nam'
Ngize ngizuze umqhele wam'.

Leso siphambano esadelwa
    izwe
Siyangimangalisa njalo,
Ngoba ngenxa yaso 'Jesu
      weza lapha
Asithwalele eGologotha.

Esiphambanweni l'oph' igazi
      lakhe
Elimangalisayo kimi,
Ngoba ngenxa yami 'Jesu 
    wafa khona
Angithethelel' angihlanze.

Esiphambanweni ngiyakuqinisa
Ngithwal' ihlazo ngenjabulo;
Wongibiza mina khona 
    ekhaya lam'
Angiqhelise ngomqhele wam'."
1960;HAYI  INLANHLA ABANAYO;;"Hay' inhlanhla abanayo 
Abangcwel' abaphezulu.
Abemiyo phambi kwaso,
Isihlalo sakoMkhulu

Sihle isixuku sabo,
Ingelosi nxa ziqonga
Inhle nenhlokomo yabo,
'Bayenzayo nxa bebonga.

Nabo khona ezulwini,
Abangub' ezahlanzwayo
Zenziwa-mhloph' egazini,
Lay' iMvana eyophayo.

Kupheliswe lonk'cala,
Kuqediwe bonk'ububi,
Akusekho  ngish'indlala
Kabasomi kabalambi.

Ukuphumula bakuphiwe,
Bayahalala benamile
Inyembezi zesuliwe,
Zonk'insizi ziphelile.

Ngiyafis'ukuma nabo,
Labo-bantu abangcwele,
Ngidumis' iNkosi nabo,
Leyo-Mvana esifele."
1961;Hayi Inhlanhla;;"
Hayi inhlanhla abanayo
Abangcwel'baphezulu
Abemiyo phambi kwaso
Isihlalo sabomkhulu

Sihle isixuku sabo
Ingelosi nxa siqonga
Inhle lenhlokomo yabo
Abayenzayo nxa bebonga

Nabo khona ezulwini
Abangub'ezanhlazwayo
Zenziwa mhlophe egazini
Lay'mfana eyophayo

Kupheliswe lonke icala
Kuqediwe bona ububi
Abusekho ngitsho indlala
Kabasomi abasweli

Ukuphumula bakuphiwe bayohlala  benamile
Inyembesi sesuliwe zonke izinsizi ziphelile

Ngiyafisa ukuma nabo bantu
Naba bantu abangcwele
Ngidumise inkosi labo leyomfana esifele"
