136;Akristu Limbikani;;"Akristu limbikani,
Imani mtima nji!
Mbendera nyamulani,
Msatenthemere bi,
Wotsogolera wathu
Ndi Mwana wa Mulungu;
Adzagonjetsa onse
Adani athuwo.

Tigwire nkhondo yomwe
Ya Mbuye wathuyo;
Tileke zakuipa
Zokhala m'mtimamo.
Sitikwanira tokha
Kuleka zathu zomwe,
Koma Mbuyathu Yesu
Atithangatatu.

Tsopano timenyana
Ndi zakuipazi;
Pamene nkhondo yatha
Tidzanka kwathuko.
Yesu adzalandira
Ankhondo ake onse;
Adzakhalika naye
Kumwamba komweko."
137;Akristu Limbikani, Stand Up For Jesus;;"Akristu limbikani,
Imani mtima nji!
Mbendera nyamulani,
Msatenthemere bi,
Wotsogolera wathu
Ndi Mwana wa Mulungu;
Adzagonjetsa onse
Adani athuwo.

Tigwire nkhondo yomwe
Ya Mbuye wathuyo;
Tileke zakuipa
Zokhala m'mtimamo.
Sitikwanira tokha
Kuleka zathu zomwe
koma Mbuyathu Yesu
Atithangatatu.

Tsopano timenyana
Ndi zakuipazi;
Pamene nkhondo yatha
Tidzanka kwathuko.
Yesu adzalandira
Ankhondo ake onse;
Adzakhalika naye
Kumwamba komweko."
153;Alimanja Maatate;;"Wonse wosambidzidzwa ndimazi waYesu
Alimanja maatate x2

chorus
Alimanja maatate x2

Wonse wosambidzidzwa ndiMuzimu woera
Alimanja maatate x2

Vose vakashambidzwa muropa raJesu
Vari mumaoko ake

Vari mumaoko ake X2"
255;Amazing Grace-chewa;;"Chisomo chodabwitsacho
Chapulumutsa 'ne,
Woipa wopambanatu;
Ndapeza moyo 'ne.

Chisomocho chachotsadi
Mantha a imfayo
Pakukhulupirira 'Ye,
Ambuye Yesuyo.

Chisomo chandisungadi
Panjira yangayo,
Chisomo
chidzasunga' ne
Mpakatu kwathuwo.

Kwathu ndidzaimba nyimbo
Ya chisomo chake,
Yolemekeza Mlunguyo
Kunthawi zosatha.

Hallelujah Amen"
324;ANYAMATA A MULUNGU;;"Verse 1
Anyamata a Mulungu, muzigwira nkhondoyo,
Mumenyane ndi Satana mzimu wakanyengayo.

Verse 2
Komwe asauka anthu akukhala m'mdimamo,
Osamdziwa mpulumutsi, phunzitsani konseko.

Verse 3
Pomangidwa anthu nayo m'yando yoipitsayo,
Pomwe amaopa cabe, masulani golilo.

Verse 4
Walitsani nyali yanu ikacotse mdima bii!
Mpaka ikainga zonse zosautsa m'dzikoli.

Verse 5
Akutopa ndi ofoka mwatonthoze mtima pee!
Osocera, onyozeka muwafunefunebe.

Verse 6
Acisoni, obvutidwa, mwathandize msangatu;
Zosautsa zao zonse Yesu azacotsa du.

Verse 7
Anyamata limbikani, gwiranitu nkhondoyi,
Yesu salephera mwini, satiiwalira 'I

Verse 8
Isaleke nchito yace mpaka anthu onsewo,
Alambira Mfumu yathu, namgonjera konseko."
414;ATAWALE;;"Atawale atawale tu, 
Mwachie Yesu atawale
Atawale atawale tu, 
Mwachie Yesu atawale"
1402;EVERYBODY OUGHT TO LOVE JESUS;;"Kila mtu ampende Yesu
Yesu, Yesu:
Aliyekufa msalabani,,
Kila mtu ampende Yesu.";;
1585;Gadzikana uzive;;Gadzikana uzive, kuti;
2126;HE WILL BREAK EVERY FETTER;;"Yesu huvunja kifungo,
 Yesu huvunja kifungo;
 Yesu huvunja kifungo,
 Anifungua.";;
3260;Idzodzi Inyasha;;"Hama idzodziwo inyasha
Idzodziwo inyasha
Idzodziwo inyasha
DzeMwanakomana

Kuti tiwane Shoko rakanaka
Hakuzi kungwara
Asiwo inyasha

Kuti tiwane mufundisi akanaka
Hakuzi kungwara
Asiwo inyasha

Kuti tiwanehama dzarakanaka
Hakuzi kungwara
Asiwo inyasha

Kuti tiwane vana vakanaka
Hakuzi kungwara
Asiwo inyasha";
3688;J'aime Jesus;;"J'aime Jesus
J'aime Jesus
J'aime Jesus
Qu'lL soit Loue Amen

Qu'lL soit Loue Allelujah !
Qu'lL soit Loue Amen !
Qu'lL soit Loue Allelujah !
Qu'lL soit Loue Amen !

Namupenda Yesu
Namupenda Yesu
Namupenda Yesu
Asifiwe Amen

Asifiwe  Allelujah !
Asifiwe Amen !
Asifiwe Allelujah !
Asifiwe Amen !

Akumama Allelujah !
Akumama Amen !
Akumama Allelujah !
Akumama Amen !"
3749;Jehovah Mufudzi Wangu;;"Jehovah Mufudzi wangu;
Handichazoshayiba
{Ndiye anondiradzika
Pane mafuro ake.} x2

Ndiye anondinyaradza
Nekunditungamira
{Munzira dzakarurama
Muzita rake, Tenzi.} x2

Handichatye zvinyangadzo
Nhambwe dzose aneni,
{Ndiye anondinyaradza
Ngemudondoro wake.} x2

Anogadzira tafura
Mberi kwemhandu dzangu
{Ndizvozvo mukombe wangu
Wazara ngemafuta} x2

Idi, runako nenyasha
Zvichazonditevera.
{Ndichazogara mudenga
Nekusingazoperi.} x2

Halleluya, halleluya
Halleluya, amen
Halleluya, halleluya
Halleluya, amen
Halleluya, amen"
3757;Jehovha Mufudzi Wangu;;"Jehovha Mufudzi wangu;
Handichazoshayiba
Ndiye anondiradzika
Pane mafuro ake.

Ndiye anondinyaradza
Nekunditungamira
Munzira dzakarurama
MuZita rake, Tenzi.

Handichatyi zvinyangadzo,
Nhambwe dzose aneni,
Ndiye anondinyaradza
Ngemudondoro wake.

Anogadzira tafura
Mberi kwemhandu dzangu
Ndizvozvo mukombe wangu
Wazara ngemafuta

Idi, runako nenyasha
Zvichazonditevera.
Ndichazogara kudenga
Nekusingazoperi.

Hareruya, hareruya
Hareruya, ameni";
4151;KALELO ANTHU ONSE;;"Verse 1
Kalelo anthu onse nacimwa kwa Mulungu,
Mulungu anaona, naona chimo lao,
Nafuna, nafuna, nafuna kwaononga
Nafuna kwaononga, nafuna kwaononga.

Verse 2
Mulungu anatuma, natuma Nowa uja,
Wamanga combo cace, ndicacitalitali,
Nowayo, Nowayo, Nowayo nayendamo,
Nowayo nayendamo, Nowayo nayendamo.

Verse 3
Mulungu anatuma, Natuma mvula ija,
Yadzaza dziko lonse, anafa anthu onse,
Anafa, Anafa, Anafa mvula muja,
Anafa m'mvula muja, anafa m'mvula muja.

Verse 4
Nowanga anatuma, natuma cikwangala,
Catsika pansi pansi, cosabwerera konse,
Cithawa, cithawa, cithawa mtalitali,
Cithawa mtalitali, cithawa mtalitali.

Verse 5
Kutuma wabwereza, natuma nkhunda ija,
Tatsika pamadzipo, yathyolatu mayani,
Yampatsa, yampatsa, yampatsa Nowa yemwe,
Yampatsa Nowa yemwe, yampatsa Nowa yemwe.

Verse 6
Kalelo Mbuye Yesu 'nafera anthu onse,
Ndiyeyo combo cathu, tikabisale mommo,
Tipulu, tipulu, tipulumuka mommo,
Tipulumuka mommo, tipulumuka mommo"
4175;KASUPE ALI WODZAZA;C;"Verse 1
Kasupe ali wodzaza ndi mwazi wa Yesu;
Omwe asamba mwa uyu, ataya zoipa.
Ataya zoipa, ataya zoipa ;
Omwe asamba mwa uyu, ataya zoipa.

Verse 2
Woba wakufa 'napenya kasupe, nakondwa;
Ndimo inenso mwa uyu ndisamba ndiyera.
Ndisamba ndiyera, ndisamba ndiyera;
Ndimo inenso mwa uyu ndisamba ndiyera.

Verse 3
Mwazi wa Yesu wokondwa ukhala wa mphamvu;
Kwa ana onse a Mulungu, ucita kwombola;
Ucita kwombola, ucita kwombola;
Kwa ana onse a Mulungu, ucita kwombola;

Verse 4
M'mene ndapenya mwazi wa anuwo;
Kukonda kwanu nditama kwa katha kwa moyo.
Kwa katha kwa moyo. kwa katha kwa moyo.
Kukonda kwanu nditama kwa katha kwa moyo.

Verse 5
Kumwamba ndikayimbanso zimphamvu za M'lungu;
Zopulumutsa onsewa omvana ndi Yesu.
Omvana ndi Yesu, omvana ndi Yesu.
Zopulumutsa onsewa omvana ndi Yesu."
4308;KRISTU ANAKHETSA MWAZI;Eb;"Verse 1
Kristu anakhetsa mwazi, nafa Mfumu Yanga,
Wapatsiranji mutuwo kamba ka ocimwa?

Verse 2
Pa mtanda, Pa mtanda, ndinaunikiridwa,
Katundu wa mtimanga unatha;
M'cikhulu'piro, ndinaonanso,
Tsono tsiku lonse ndakondwa.

Verse 3
Zompacikitsa pa mtanda ndi zocimwa zanga,
Cisomo codabwitsatu, cikondi coposa.

Verse 4
Dzuwa lija linabisa kuwalako kwace,
M'mene Mlenje anafera olengedwa ace.

Verse 5
Ngongole sindingalipe ndi cisoni canga,
Comwe ndingathe kucita, ndi kudzipereka."
4319;KUHAVA;;"Angakona Munghanaun‘wana,
Kuhava! Kuhava!
A ngakonaMuferiun‘wana,
Kuhava, kuhava!

Yesu waswitivahinkwaso;
Wahifambisa‘ masiku.
O kwihil‘a fana nbaYesu?
Kuhava! Kuhava!

Muponisiu n‘wana kuhva,
Kuhava! Kuhava!
Muhanyisiun‘wanakuhava!
Kuhava! Ku hava!
"
4340;Kungalile bapetelo;;"Kungalile bapetelo
Basabuka va mbu
Buke buke babonsono
Batatuka yensi

Chorus
Mu diatanga ye Yesu
Mutukisanga yenge
Ye tualanga ku mpulusu
Ku moyo wanade.

Kusimu bu kwatatuka
Vambu vakituka
Mayo ye tombe bizibwa
Babo bazakama.

Se Yesu ntumbu sadisa
Eta kwambu Napii!
Yeyandi lenda vuvika
Bu kena Mvuluzi.

Ye beto ve tuzungulu
Kwa nsisi vo mambi
Mu Yesu tuena ndungunu
Bu kena Mvuluzi.";;
4360;Kuyenda Opanda Yesu;;"Kuyenda opanda Yesu
Ine sindingate

Chorus
Sindingate"
4372;Kwathu N'kuwamba;;"Kwathu N'kumwamba
Amen
Kwathu N'kumwamba
Amen
Kwathu N'kumwamba
Amen Amen Amen"
4373;KWATHU SIPADZIKO;;"Kwathu sipadziko, ndingopitirira,
Ndadzikundirira chuma
kumwambako;
Ngelo akodola pakhomo la
m‘Mwamba;
Ndipo dziko lapansi,
sindiyesakwathu.

CHORUS
Mbuye ndinu bwenzi langa
ndithu.
Ndichitenji ngati kumwamba
sikwathu?
Ngelo akodola pa khomo la
m‟Mwamba;
Ndipo dziko lapansi, sindiyesa
kwathu.

Andiyembekeza chinthuchi
ndidziwa,
Mpulumutsi wanga
wandikulu‘kira;
Adzandipoletsa pamene
ndafoca,
Ndipo dziko lapansi, sindiyesa
kwathu.

Yesu watsogola ku Ulemerero,
Ndifuna kugwira dzanja lake
konko;
Andidiranso pakhomo la
m‘Mwamba,
Ndipo dziko lapansi, sindiyesa
kwathu.
Mu Ulemerero, tidzakhala
m‘yaya,
Oyera mtimawo ali kulambira,
Ati haleluya kwa Mulungo wa
mphamvu,
Ndipo dziko lapansi, sindiyesa
kwathu.
"
4628;LIDZE MSANGA DZUWA LANU;;"Verse 1
Lidze msanga dzuwa lanu
Lolonjezedwa, Ambuye;
M'dalinena polawira kwa anyamata
Ambuye.

Chorus
Kuli chimwemwe m'dzuwalo,
Lakufika, Ambuye;
Ha! Ha! Ambuye bwerani;
Ha! Ha! Ambuye bwerani.

Verse 2
M'dziko lino Chimwemwecho
Chikudza ndi Yesu Mbuye;
Mfumu yathu yakumwamba ndi
Dziko lonse lapansi.

Verse 3
Adzakhala pampando po
Wakuweruza makamu;
Amitundu adzaima pamaso
Pa Mbuye Yesu.

Verse 4
Adzanena kwa anthuwo
Akudzanjatu lamanja,
Lowani 'nu M'chikondwero
Cha Atate nthawi zonse."
4665;LIMBA MTIMA MBALE WANGA;;"Verse 1
Limba mtima mbale wanga,
Usapunthwe m'njirayi;
Onatu nyenyezi ija
Ikusogoleradi;

Verse 2
Tamveratu Mulungu Yekha,
Chita zolungama 'we,
Yenda bwino, khulupirira,
Mbuyeyo, Mbuyeyo, Mbuyeyo,
Ndi kucita zakezi.

Verse 3
Taya zako zochenjera,
Taya zamumdimanso;
Nthawi zonse khulupira,
Chita zolungamazo;

Verse 4
Usayanganire wina
M'nkhondo yako yomweyi,
Koma m'zonse khulupirira;
Mbuyeyo, Mbuyeyo, Mbuyeyo,
Ndi kucita zakezi.

Verse 5
Mawu ake atipasa mphamvu
Ndimtenderenso,
Bwino atitsogolera,
Tikhulupirira wo,

Verse 6
Limba mtima usapunthwe,
M'njira yamumdimayi;
Yenda bwino, khulupirira,
Mbuyeyo, Mbuyeyo, Mbuyeyo,
Ndi kucita zakezi"
4893;M'MAWA TIZIFESA (BRINGING IN THE SHEAVES);Bb;"Verse 1
M'mawa tizifesa mbeu zakukoma,
Msana ndi usiku tizifesa momwe;
Nyengo yamasika tidzatema m'munda,
Tidzabwera tonse ndi zipatsozo.

CHORUS
Ndi zipatsozo, Ndi zipatsozo,
Tidzabwera tonse ndi zipatsozo,
Ndi zipatsozo, Ndi zipatsozo,
Tidzabwera tonse ndi zipatsozo,

Verse 2
Tizifesa m'dzuwa, tizifesa m'mthunzi,
Sitiopa ife mtambo ndi cisanu;
Athatu masika, nchitozi zidzatha,
Tidzabwera tonse ndi zipatsozo

Verse 3
Tingolira kaya, koma tizifesa
Mbeu za Ambuye; nchotoyo nja Yesu.
Adzacotsa msozi, adzatilandira,
Tidzabwera tonse ndi zipatsozo"
5034;Mbuye;;"MBUYE
MWALONJEZANA NDI IFE,
KUTI MUDZATUMIZIRA
MADALITSO AMBIRI.

Chorus
MUTIDALITSE
TISOWA MADALO ANU,
TIFUNITSITSA AMBIRI,
MUTIGWETSERE LERO.

MBUYE
MTIDZUTSENSO LERO,
MVULA YOTITSITSIMUTSA,
ITIGWERENSO LERO.

MBUYE
MTITUMIZIRE LERO,
LOLANI CIFUNDO CANU.
MONGA MWA MAU ANU,

MBUYE
TIKUPEMPHANI LERO,
KUSOWA KWATHU KULIPO,
MUTIDZAZITSE LERO  ."
