103;Achame agas ng'alek;;"Achame agas ng'alek Che bunu Jehovah,
Agobo Jesu Kristo ne kinyo ng'onyuni.
Kia lakwetab  Chalwok ,  ago, angen ale
Nguno a bo Yetindet ne kinyo kosorua.

Kinyo Jesu ko-ige lakwet ko u ane,
Koborjin lagok tugul atepto ne tilil.
Ak ye asubi iman koberura inne,
Ak koriba kochulyo amu chama mising

Atieni kot eng chamnyet ne kona Yetindet;
Alosu mising' Ine agot kotom ageer.
Chamei kogas saenyu kota amite ng'ony,
Si atien eng` kipsegwet amu chama mising'"
104;Achame ang'alalen ng'alekab kipsengwet;;"Achame ang'alale ng'alekab kipsengwet -
Lilindo ne bo Jesu koboto chamnyennyi.
Achame ng'alechato - ng'alek Che bo iman;
Yamei muguleldanyu kosiir tuguk tugul.

CHORUS
     Achame ang'alale
     Ng'alek che bo Jehovah.
     Achame ang'alale
     Ng'alechu mabegu.

Achame ang'alale logoiywekab Jesu;
miachen kosiir tahabu, ak tuguk che bo ng'ony.
Achame ang'alale tuguk che kiyaiywa.
Amwaitoti ng'alekyik amu kitoreta.

Achame ang'alale boiboiyonito o;
Kororonitu mising' ngabwati kotugul.
Achame ang'alalji ichek che tom kogas,
Amwachi logoiywechu bo Jesu, Yetindet.

Achame ang'alalji ichek che kigonai,
Amu amei emosto kota kogas kogeny.
Ye tun ait kipsengwet, agasige inne,
Atieni ak alosu Jesu, Yetindennyu."
120;Agilege eng' kayanet;;"Agiilige eng' kayanet,
Owendi tai eng' bandanyu;
Asa-ati eng' orennyu
Ale, Jesu, igimita.

CHORUS
     Kibendoti ak Jehovah, 
     Ak ayani kimnatennyi.
     Agot ngo usa bikab ng'ony
     Abaibai eng' Yetindennyu.

Mi bik alak eng' ng'onyuni
Che mi mestetab kanjobet,
Ago agiilige ane - 
Awendi tai eng' kayanet.

Amache kilaakwa iman
Karik tugul che bo luget,
Asi ye yoma bunyondet
Aterteri eng' kayanet.

Kona atien eng' boiboiyet
Koboto bik che tililen
Asa-e betusiek tugul
Ale, Jesu, Igimita."
138;Akwong'e amu Yetindet;;"Akwong'e amu Yetindet
Ne Kiptaiyandennyu;
Kicham Ine komecha keny -
Ane ne ma a kiy.

CHORUS
     Ki-ikwenya lapkeiyet eng' Kimurtoiyondet,
     AK kobut milet eng' muguleldo;
     Kiataach  Jesu koek Yetindennyu
     Asi abaiba-it kotugul.

Kitigen eng' Kimurtoiyot
Ko'stawa tengekto.
Mami chamnyet ak mieindo
Ne u ne bo Jesu.

Ye kingome Jesu Kristo
Ko-imenit emet,
Amu kima cham Jehovah
Tuu-indab tengekto.

Mamuchi ane ayaakta
Besendab tengekto;
Yaaktawa Jesu Inegei -
Agochige  kityo."
139;Akwong'e amun chamyetab Jesu;;"Akwong'e amu chamnyetab Jesu
Ne ki-itya agot eng' lusennyu.
Mami ng'alek che m'iach che siirei chu
Ng'alekab chamnyetab Jehovah.

CHORUS
     Chamnyet . . . ab kwong'utiet!
     Chamnyet . . . ab Jehovah!
     Kinyoiywa kaat chalwogikyuk tugul;
     Akwong'e kot eng' chamnyennyi!

Kicham Jesu konyo ng'onyuni ya;
Ki'goitogei asi asich sobon.
Mami ng'alek che miach che siirei chu,
Kele kigoyeta eng' chamnyet!

Kisib kobwat Jehovah eng' barak
Kochob oret ne bo nyoetab kaat.
Ki'yan Jesu kotumda korotik
Koalech kemi otwoknatet.

Kinama Jesu aek lakwennyi;
Mamakwa Ine aek otwogin.
Kiabagach magetab ombenet
Amu kigowala Jehovah"
223;Alosu Yetindenyu;;"Kime Jesu eng' Kimurtoiyot
Ye kianyorune kasoobet,
Anyorjini yoto kaunet
Alosu Jesu!
 Alosu Yetindennyu,
 Jesu, Kiptaiyandennyu!
  Anyorjini yoto  kaunet
  Alosu Jesu!

Ki'mutwa  among`une  chalwok;
Kitaacha  Jesu  aek  nenyi;
Menyei  nguno  muguleldanyu
Alosu Jesu!
Alosu Yetindennyu,
Jesu, Kiptaiyandennyu!
Menyei nguno muguleldanyu
Alosu Jesu!

Akwong'e eng' Katiaknatenyi ,
Ne Ki-itiacha eng' chamyenyi ;
Ki'tilila ak komutata
Alosu  Jesu!
Alosu Yetindennyu,
Jesu, Kiptaiyandennyu!
Ki `tilila ak  komutata
Alosu Jesu!

Nyonji nguno Kiptaiyandennyo;
Nyo ak itach yetunet ne o.
Nyo si keboibo-itu tugul
Kilosu Jesu
Ongilosu Yetindet ,
Jesu ne Kiptaiyandet!
Nyo si keboibo-itu tugul
Kilosu Jesu!"
242;Amang'un Kiptaiyat Jesu;;"Amangun Kiptayat Jesu,
Ak kayomisutiguk.
Ma walaksei Ng'olyondeng'ung'
Ne 'borua imandang'ung'

CHORUS
     Jesu, Jesu, achamin kot
     Eng' chamyet ne o mising'.
     Jesu, Jesu, Yetindennyu,
     Ayanin Inye kityo.

Amangun Kiptayat Jesu;
Ki'una korotiguk
Ak achamin, Yetindennyu,
Amu ki-iste chalwok

Amangun Kiptayat Jesu;
Ak achame i-ndoiywa.
A kiprutoiyot anendet
Ak ko a kibananiat.

Amangun Kiptayat Jesu;
Egu Konetindennyu.
'Ng'omita anai oreng'ung'
Si atoret bik alak."
293;Andiburitsa Mumatope - He Brought Me Out;;"Ndakarwadziwa Jehovha atsamwa
Zvitema zvakandiputsira pasi
Ndakachema ndirimo mumatope
Tenzi akandiburitsa kunzezve

Chorus
Andiburitsa mumatope
Andimisa ini padombo
Nhasi andipa rwiyo mumoyo
Rwekukudza Hareruya

Andimisa padombo pedyo naye
Matsiko angu asimbiswa naye
Handizomboputsiki ndiri pano
Ndomirira ndizopfeka korona

Andipa rwiyo rutsva rwokuimba
Siku nesikati ndicharumbidza
Mwoyo wangu wazara nerufaro
Ndichazokudza Mununuri wangu

Ndichaimba tsitsi dzake kuneni
Zvino kunaka kwake kune vese
Ndichazoimba ruponeso kwese
Dakara  vese vasimbire Mwari";
309;Anobata Ruoko Rwangu;;"Verse 1
Anobata ruoko rwangu Jesu,
Ndosesedzwa ndichifamba naye,
Handingatyi, handifambi norima,
Ndakachengetwa naShe Jesu.

Chorus
Dutu richisimuka, gore dema,
Handingatyi, ndakachengetwa,
Muruoko rwake,
Anofamba neni, handivhundutswe,
Ndakachengetwa naShe Jesu.

Verse 2
Ndichazonzwa Izwi kubva kudenga,
Huya mwana, huya uzorore,
Ndichafara nokusingazoperi,
Ndakachengetwa naShe Jesu."
310;Anogara Mandiri;;"Ndinofara nguva dzose
    ndichafamba munzira
Mwari anonditungamirira
Ndinofara zvikuru Ndinofara 
     nokuti
Mweya mutsvene Wauya 
     mumoyo mangu

Chorus
Wauya, Wauya Hareruya
Wauya mumwoyo 
Ndinofamba munzira 
Munyaradzi Wauya mumwoyo

Mwoyo wangu wakange 
Uzere zvitadzo, asi
Ndakanzwa zvekufa kwaJesus
Ndakawira patsoka dzake
Ndikaponeswa mweya mutsvene 
Wauya mumwoyo.

Anoenda neni kwose anoziva
Nhamo dzangu dzinofara seshiri
Ndaponeswa mweya unonditonga 
Jesu anondigutsa,
Mweya Mutsvene wauya mumoyo

Handichisina nyota yezvinhu
Zvepanyika, ndakazvisiya
Nenguva iyeyo,
Rima rava chiedza,
Mitoro yakapera
Mweya mutsvene Wauya mumoyo";© Public Domain
