115;AFTER ALL (BAADA YA YOTE);;"Katika dunia hii, sisi sote tu wageni
Twasafiri kwenda mbinguni, kwa baba
Safari ni ngumu sana, majaribu ni mengi
Lakini tukiwa na Yesu, twashida

CHORUS
Baada ya taabu zote,
tulizozipata hapa
Tutapumzika milele kwa baba
Katika Yerusalem iliyopambwa vizuri
Ndugu jitahidi ili uwepo 
Dada jitahidi ili uwepo

Hatuna mashaka tena, 
tunaye aliye aliye mkuu
Kwani taabu shida mateso, kashinda
Pale pale msalabani, 
kamaliza mambo yote
Tumaini letu Wakristo, ni Ushindi"
126;AHADI YA BWANA;;"Ahadi ya Bwana twaingojea,
Kutoka mbingu itatujalia;
Ewa imani yetu twaipokea,
Kungoja orofani.


Chorus
Uwezo! Uwezo!
Hutupa ushindi
Na usafi ndani;
Uwezo! Uwezo!
Uwezo wa Pentekoste.


Kwake Bwana Yesu tutamtolea,
Kutoka dhambi atatufungua;
Pumzi ya uzima tutaipata,
Kungoja orofani.


Twatamani kuendelea mbele,
Kumngojea Bwana tupate tele;
Moto wa Mbingu na ututakase,
Kungoja orofani.";;
132;"AITWA ""WA SIMANZI.""";;"Aitwa ""Wa Simanzi,""
Mwana wa Mwenye enzi
Mwenye mengi mapenzi!
Nasifiwe Bwana Yesu.


Akawa matesoni
""Mungu Mwana"" yakini
Akatoka mbinguni
Nasifiwe Bwana Yesu.


Akapata dhihaka
Mzoea-mashaka
Ndiye yetu sadaka:
Nasifiwe Bwana Yesu.


Tu wenye dhambi sana,
Kwake dhambi hamna:
Na Mungu twapatana:
Nasifiwe Bwana Yesu.


Alikufa Mtini
Akalia dhikini
Sasa yuko mbinguni:
Nasifiwe Bwana Yesu.


Punde atarejea
Yesu kutunyakua
Ndipo tutamwimbia,
Nasifiwe Bwana Yesu.""";;
134;AKIFA YESU NIKAFA NAYE;;"Akifa Yesu nikafa naye,
Uzima upya huishi naye;
Humtazama mpaka aje:
Nyakati zote ni wake Yeye.


Chorus
Nyakati zote nimo pendoni,
Nyakati zote ni uzimani,
Humtazama hata atokee,
Nyakati zote mimi ni wake.
 

Vita sipigi visivyo haki,
Na Bwana wangu hapiganiki;
Beramu yake haitwaliki,
Napo popote hila sitaki.


Sina mashaka, akawa mbali;
Mizigo yote aihimili;
Ananituliza Imanweli,
Nyakati zote mimi husali.


Sina huzuni na mimi sidhii:
Simwagi chozi, wala siguni:
Sikuti afa, ila kitini
Daima hunifikiri mimi.


Kila unyonge huusikia:
Kila ugonjwa kwake hupoa;
Yesu ni Mwenye kuniokoa
Nyakati zote hunijalia.";;
152;ALIGUSA UPINDO WA NGUO;;"Aligusa upindo wa nguo
Ya Yesu sirini.
Mara akaona amepozwa
Humo makundini.


Chorus
Uguse upindo wake,
Nawe utapoa.
Ni sasa saa ya kukufaa,
Atakuokoa.


Akamwendea akitetema,
Na hofu moyoni,
Akasikia uwezo wake
Wamwenea ndani.


Akasema Yesu, Binti sasa,
Enda na amani,
Ujue liilokutakasa
Ni yako imani.";;
154;ALISHUKA KUTOKA MBINGUNI;;"Alishuka kutoka mbinguni,
Yesu Bwana wangu;
Kwangu akaziondoa dhambi,
Napendwa na Mungu.


chorus
Sina budi kumpenda,
Yesu Mwokozi,
Sina budi kumpenda,
Ndiye Mkombozi.


Sistahili kupata neema,
Neema yake mkuu;
Na badala yangu akateswa,
Kwa uovu wangu.


Yesu yu Mwema kuliko wote,
Hupenda kwa haki;
Nauona utukufu wake,
Na Mungu mbinguni.";;
