8;A chobot ayai mageng'ung';;"A chobot ayai mageng'ung'
Matiny komi nyalil; 
Amang'u Kaineng'ung', Jesu; 
Asubotin, Ine.

CHORUS
     Asubotin, Jesu Kristo,
     Eng' ole imakwa.
     Amache kityo agasin it; 
     Amache mageng'ung'.

A chobot awo ui tugul
Anan atebe ga.
Achame agon tugukyuk
Kotoret boisieng'ung'.

Acheng'e bik che tom kogas
Agobo yetunet.
Kagoningei, Jesu, iman; 
Amutun bik alak.

Kiachob muguleldanyu; 
Agase chamnyeng'ung'.
Ageni betunoto mie
Ye iweege kogeny."
86;Abaibai mising eng' Jesu;;"Abaibai mising eng` Jesu -
Ine ne kisorua.
Alosu inendet nguno
Ne Laitoriandennyu.

CHORUS
     Amu a sorunot; Amu a sorunot
     Abaibai eng' Kainennyi.
     Amu a sorunot
     Abaibai eng` Yetindet Jesu.

Atieni ra eng' boiboiyet
Amu Yetindennyu.
Amache agas it Jesu
Amu achame kot

Atinye Kristo ne yama
Ne Kosobindennyu
Kialena korotikyik
Che bo kamanutiet.

Atinye ga eng' kipsengwet
Ne chobwa Kwandanyu,
Ole tun amenye koigeny
Koboto Inendet."
87;Abaibai mising';;"Abaibai mising' amu Jehovah
Ne kigomwawech chamnyennyi ne o.
Mitei ng'alek che chang' eng' Buku-it,
Ago ne siirei ko chama Jesu.

CHORUS
     Abaibai amu chama Jesu,
     Chama Jesu, chama Jesu;
     Abaibai amu chama Jesu,
     Chama Jesu mising'.

Chama Jesu ak achame Ine;
Kigonyo ng'ony si kowalenagei.
Chamnyet ne o ne ki'gochi kome
Si kobiit anyor sobondo ne lee!.

Ana-e nee ale chama Jesu?
Angen amu mi muguleldanyu.
Kang'ang'wa Tamirmiriet ne Tilil
Kole o chamnyet ne chama Jesu

Kona ng'olyotab chamnyet kamuung'et.
Amang'u Jesu ne kona kalyet.
Mwee' o-indet eng' muguleldanyu
Ye amwachi ale. Chama Jesu"
235;Amache anai Jesu kot;;"Amache anai Jesu kot - 
Inendet ne kimecha keny.
Amache atesak inne
Eng' naetab Yetindennyu.

CHORUS
     Amache ng'alekyik;
     Achame koneta
     Siirei ng'alek alak tugul;
     Mwawech agobo sobondo.

Amache kineta ng'alek
Che mitei Bukuit ne Tilil.
'Neta tugukab Jehovah
Tamirmiriennyi ne Tilil.

Amache agiilge inne
Atese tai eng' orennyi.
Ng'ang'wa Yetindet magennyi
Agoi konyo kolaitoran."
237;Amachin Yetindenyun;;"Amachin, Yetindennyu,
Ak anyone nguno ta-ing'ung';
I-una eng' korotik
Si atebi kipkoi koboten.

CHORUS     
Eng' betut ak kemoi
Iborua  kimnateng'ung'
Inama eng' chamnyeng'ung'
Ak imuta, Jesu, arikyin.

I-ndoiywa eng' ng'onyuni
Amu mangen Oret anege.
Ye ayan ak agakten
Ko mabetwa agoi oreng'ung'

I-ngotesak chamnyennyu
Kot komaluuch muguleldanyu;
Si ye 'gesgei bandanyu
Imuta ga, barak kipsengwet."
240;Amang'u Kiptaiyandet;;"Amang'u Kiptaiyandet
Eng' betusiekyuk tugul.
Nganda ming'in kayanet
Amang'u Jesu Inegei.

CHORUS
     Amang'u Jesu  Kristo;
     Amang'u kota ami.
     Agoi a-it kipsengwet
     Amang'u Jesu kityo.

'Kweng'wa muguleldanyu
Tamirmiriet ne Tilil;
Inendet  ne 'gimita
Ngagochi Ine koboiywa.

Atienoti eng' oret
M'atiny  komi nyalilda.
Yama Kando-indennyu;
Amang'u Jesu Inegei.

Amang'u Inendet kot;
Amang'u eng' kotugul.
Eng' betut anan kemoi
Amang'u Jesu Inegei."
327;Anyiny kot Kainetab Jesu;;"Anyiny kot kainetab Jesu
Eng' chito ne 'yanat;
Igoigo-ech eng' nyalilda,
Onei Kaiyweisiennyo.

Isoobi sobonwekab bik
Che miandos eng' chalwok.
Ba-ei che sogityotin kot;
'Muung'jin che ng'etyotin.

Lumeiywondennyo Kainennyi,
Ruandet ak ko Long'et.
Kinyorune katerteret
Ak Kimnatet ne o.

Tisiindet Jesu, Mestowot,
Ne Konetindennyo,
Ta-unindet, Kagesunet,
Oret ak Sobondo.

Konech kibarte chamyeng'ung'
Eng sobennyo tugul,
Si kogaiga-ech eng' me-et
Kainetab Yetindet.

Ye tun ki-itu oldang'ung'
Ole imi, Jesu,
Kemi ak bik che kigondo
Ak kilosun mising'."
447;BABA NAOMBA;;"Baba naomba kubarikiwa nawe
Sitoki hapa usiponibariki
Baba naomba kubarikiwa nawe
Sitoki hapa usiponibariki


Baba naomba ufunuo wa kweli
Sitoki hapa usiponibariki
Baba naomba ufunuo wa kweli
Sitoki hapa usiponibariki"
480;Batlhabanedi Ba Jeso;;"Batlhabanedi ba jeso
Ba bapile le ena
Matlho a bona ke metsu
Ba lonela Morena

Chorus
Alleluja dumelang alelleluja
Mafatshe a tutumela
Mafika a phetsoha
Le dinaledi tsa wela
Letsatsi la fifala

Utlwa go tlhajwa mokgosi
Go tsosa ba ba suleng
Ba memewa ke moatlhodi
Ba tswa botlhe mabitleng

Itumeleng bana bame
Lona botlhe ba nthata
Siang mobu pahame
Tlang honna atamelang";
666;Bo Jesu tukukyuk tugul;;"Kinganai chamnyetab Jesu
Amete chalwok  tugul;
Kiging'ang'wa rirenennyi
Kingelenja, kimecha.
Kiagochige Yetindet
Kingelenja, kimecha.
Kiagochige Yetindet
Kingelenja, kimecha.

Bo Jesu tugukyuk tugul,
Agot atebosiekyuk,
Kabwatutlk ak boisionik -
Kiagochi chu tugul.
Bo Jesu tugukyuk tugul,
Kiagochi chu tugul.
Bo Jesu tugukyuk tugul,
Kiagochi chu tugul.

Kwong'utiet  ne ma mwa-oksei
Chamnyetab Yetindennyu.
Kimakwa aek lakwennyi,
AK a lakwennyi nguno.
Bo Jesu tugukyuk tugul,
AK a lakwennyi nguno.
Bo Jesu tugukyuk tugul,
AK a lakwennyi nguno."
