133;Akekho Ofana Nawe;;"Akekho ofana Nawe
Akekho ofana Nawe
Akekho ofana Nawe
Nkosi yamakhosi

EZulwini kulawula Wena
Emhlabeni kulawula Wena
Zonk' izinto zilawulwa Nguwe
Nkosi yamakhosi

Siyakudumisa
Siyakudumisa
Siyakudumisa
Nkosi yamakhosi

Ha ho ea tshwanang le Wena,
Ha ho ea tshwanang le Wena.
Ha ho ea tshwanang le Wena,
Molimo oa rona.

Rea O leboa,
Rea O leboa,
Rea O leboa,
Molimo oa rona.

Bophelo ke wena
Bophelo ke wena
Bophelo ke wena
Molimo  oa rona."
483;Bayede;;"Bayede Ngonyama 
YeZulu"
485;Bayethe;G;"O, bayethe, Nkos' engcwele
Owangithwalel' umqhele!
Lowomqhele wakuhlaba
'Kuze ngibe nokwethaba

CHORUS
O, bayethe, Nkos' yami
O, bayethe, Nkos' yami
O, bayethe, Nkos' yami
O, bayethe, Nkos' yami

Wawungenasici, Nkosi,
Wawumuhle hlabahlosi,
Kepha wakudela konke
Ngaz' izono zethu zonke.

Nant' uthando olukhulu
Olumhlophe, olwezulu;
Wazincoma ngokuphana
Ngobukhosi beNdodana,

Lokhu kungimangalisa,
Yebo, kuyangithobisa
Kuphelisa yonk' inkani.
Ngiyathandwa, ngingubani?"
486;BAYETHE NKOS' ENGCWELE;;"O, bayethe,Nkos' engcwele!
Owangithwalel' umqhele;
Lowo mqhele wakuhlaba
'Kuze ngibe nokwethaba.
O,bayethe Nkosi yami!

Wawungena sici, Nkosi
Wawumuhle hlabahlosi-
Khepha wakudela konke
Ngaz' izono zethu zonke.
O, bayethe Nkosi yami!

Nant' uthando olukhulu
Olumhlophe, olwezulu;
Wazincoma ngokuphana
Ngobukhosi bendodana-
O, bayethe Nkosi yami.

Lokhu kuya ngimangalisa, 
Yebo kuyangithobisa,
Kuphelisa yonk'inkani.
Ngiyathandwa- ngingubani?
O,bayethe,Nkosi yami!"
1300;EMHLABENI OLIDUDU (HIGHER GROUND);;"Ngi qond' indlel' enyukayo Ngi khwela zonk' izinsuku
Ngi nguye okhulekayo, Nkosi, ngi mise phezulu

Nkosi, ngi simamise-ke emhlabeni olidundu,
Endaweni ephakeme Nkosi, ngi mise phezulu.

A ngi thandi ukuhlala Lapho kunenkan' enkulu.
Kumb' abanye, ba ngahlala, Mina ngi thanda phezulu.

Ngiph' inhlalw' ehlanzekile uSathan' u yangigwaza;
Kodw' inkolo yam' izwile; Nkosi Ngi mise phezulu.

Ngi zokhwel' esiqongweni Ngi bone ukukhazimla;
Ngi finyelel' ezulwini Nkosi, ngi mise phezulu."
1338;Esandleni Somusa;;"NgoMsindis' onami la empini,
Ngiyagcinwa noma kungathini
Ungisith' esivunguvungwini
Esandleni somusa

CHORUS
Esandleni somusa,
Esandleni somusa,
Ngiyagcinwa, noma kungathini
Esandleni somusa.

Ungigona ngemikhono yakhe,
Ngiyathokozisw' amazwi akhe,
Ngiyalondwa ngobuqhawe bakhe
Esandleni somusa

Yena akasoze angiyeke,
Ngingephucwe futhi kuye ngeke;
Ngoba ungiphethe ngesineke
Esandleni somusa"
2317;Hlala  Nami;;"Ku yeza ukuhlwa, hlala nami
U zu hlale nami sekuyahlwa
lapho abanye sebehluleka
wena osizayo, hlala nami

ku shesh' ukudlula ukuphila
ubuhle bomhlaba buphi bona?
izinto zonke zi yaphenduka
ongaphendukiyo hlala nami"
3297;Igama LikaJesu;;"Ngazo zonk' izinsuku,
Yebo, zonk' izinsuku,
Ngizolibonga, Nkosi yami,
Elakho igama.

Qha, ngingeze ngipheze,
Ngolibonga ngifeze;
Ngizolibonga, Nkosi yami,
Elakho igama.

Awu, limnandi, lingcwele,
Enhliz'weni ligcwele
Ngizolibonga, Nkosi yami,
Elakho igama.

UyiNkosi yezulu,
Uphakeme kakhulu;
Ngizolibonga, Nkosi yami,
Elakho igama.

Wazithobisa wena,
Weza wabayiMvana;
Ngizolibonga, Nkosi yami,
Elakho igama.

Wazithwala izono,
Woza, we-bani, shono;
Ngizolibonga, Nkosi yami,
Elakho igama."
3305;Ikhon'indawo;;"lkhon'indawo
Emthimben'omkhulu,
Ebukhosini
BukaNkulunkulu.
(Iripo nzvimbo kumutambo mukuru
Muhumambo HwaShe)

Ngena, ngena!
Indawo isekhona.
(Pinda pinda nzvimbo ichiripo)

Sekuntambama, seliyakushona,
Nank' amathunzi asemade wona.
(Ava manheru rakunovira
Iyo mimvuri yoreba)

Ngena, ngena!
Indawo isekhona.
(Pinda pinda nzvimbo ichiripo)

Indlu yomthimba isivunuliwe,
Isiyagcwala, ngena umenyiwe.
(Imba yemutambo yazarurwa
yavakuzara, pinda wakakokwa)

Ngena, ngena!
Indawo isekhona.
(Pinda pinda
Nzvimbo ichiripo)

Umnyango nanku usuvulekile,
Sheshis'ungene, sebekubhekile.
(Suwo hero razarurwa,
Chimbidza upinde vakakutarisa)

Ngena, ngena!
Indawo isekhona.
(Pinda pinda
Nzvimbo ichiripo)

Osadelayo, maye, uzokhala,
""Usivulele, Nkosi""  - lyakwala.
(Unononokera uchachema
""Tizarurirei Ishe""- acharamba)

Maye, maye!
Indawo ayisekho!
(Maiwe Maiwe! nzvimbo hapachina)"
3308;Ikon'indawo;;"lkhon'indawo
emthimben'omkhulu,
Ebukhosini
bukaNkulunkulu.
Ngena, ngena!
Indawo isekhona.

Sekuntambama,
seliyakushona,
Nank.' amathunzi
asemade
wona.
Ngena, ngena!
Indawo isekhona.

Indlu yomthimba
isivunuliwe,
Isiyagcwala, ngena
umenyiwe.
Ngena, ngena!
Indawo isekhona.

Umnyango nanku
usuvulekile,
Sheshis'ungene,
sebekubhekile.
Ngena, ngena!
Indawo isekhona.

Osadelayo, maye,
uzokhala,
""Usivulele, Nkosi""
- lyakwala.
Maye, maye!
Indawo ayisekho!"
