0;A Better World;;"verse 1
Take a picture put it in a darkroom
There
Take it out when the process is completed
See the beauty before you;

Verse 1
That
With this life here on earth
The shot was taken from another world
Earth is the darkroom
Where our lives develop
Soon our true beauty will unfold.

CHORUS
In a better world, a better place, a better life
In a better way, with better things
In eternity, that
With the one who died for you and me

verse 2
Here we see trees struggling to live
But there
Here we see sickness and dying
There

Verse 2
We
Our eyes are fixed on another world
We
There is a place where they are stored

verse 3
In this world we
But there
Soon we
Take courage pilgrim it won

Verse 3
Down here we have no continuing city
But we seek the one to come
We desire that heavenly country
God hath prepared our future home"
1;A Brand New Touch;;"CHORUS
Lord, You know I need a brand new touch,
My strength from yesterday is gone;
But if You'll give me, Lord, another touch,
I'll have the strength to carry on.

verse 1
I tho't the sun had come to stay,
But all too soon it went away,
And in its place the storm clouds came,
And with the clouds there came the rain;
It rained so hard and oh, so long,
But midst the storm I felt a calm;
It was Your touch that brought
me through it all,
Without Your help I'd surely fall.

verse 2
Yesterday has come and gone,
And now a new day's coming on,
I do not know what it may bring,
My heart may cry instead of sing;
But it matters not what comes my
way, Lord,
If You'll just touch me new each day;
Your loving touch drives all my fears away,
Close by Your side I want to stay.

BRIDGE

Lord, You know how weak I really  am,
Even better than myself;
But with Your help I know I really  can,
Make it thro' the darkest night,
And everything's gonna be all right."
2;A Child Of The King;;"verse 1
My Father is rich in
houses and lands,
He holdeth the wealth of
the world in His hands!
Of rubies and diamonds,
of silver and gold
His coffers are full,
He has riches untold.

CHORUS
I'm a child of the King!
A child of the King!
With Jesus my Saviour,
I'm a child of the King!

verse 2
My Father's own Son,
the Saviour of men,
Once wandered o'er earth
as the poorest of  them;
But now He is reigning
forever on high,
And will give me a home
in heav'n by and by.

verse 3
I once was an outcast,
stranger on earth,
A sinner by choice,
and an alien by birth!
But I've been adopted,
my name's written down,
An heir to a mansion,
a robe, and a crown.

verse 4
A tent or a cottage,
why should I care?
They're building a palace
for me over there!
Though exiled from home,
yet still I may sing:
All glory to God,
I'm a child of the King!"
3;A Day In September;;"verse 1
It was a day in September
One lonely night
Something fluttered into my heart
I looked around to see
What could it be
No one else
but the sweet Holy spirit

CHORUS
A snow-white dove
Flew into my heart
Saying don't worry my child
All is well (2x)

verse 2
My skies were misty
My clouds were dark
Until that day star dawned
in my heart
With a message of grace
Comfort and peace
Bringing an end to all my troubles

verse 3
All around us is war
And rumours of war
And violence fill the whole world
But before one bomb will fall
He'll take us away
To live eternally"
4;A Gift Of Grace;;"verse 1
A Gift of Grace was all it took
To redeem me again back to His own;
I've been redeemed, He saved my soul,
My Saviour paid the price,
Now I'm no more my own.

CHORUS
So seek on Saints,
Seek till you're filled with power;
Seek on saints
Till His Spirit in you is endowed,
It's been revealed,
This is the final hour;
And soon His Bride, His Chosen One
Will go on home.

verse 2
Unmerited the favour that He granted me
To bring me home today, His very Own;
'Twas love, 'twas Grace
That stooped so low to conquer me;
My Sovereign Lord gave Sovereign Grace
To redeem me.

verse 3
And now I'm home, His robe's wrapped around me;
This land is mine, this Promise is for me.
Amazing grace, amazing love
Christ poured on me,
His Word went with a promise,
One day we shall meet."
5;A Glorious Church;;"verse 1
Do you hear them coming, brother,
Thronging up the steeps of light,
Clad in glorious shining garments,
Bloodwashed, garments pure
and white?

CHORUS
'Tis a glorious church
Without spot or wrinkle,
Washed in the blood of the Lamb;
'Tis a glorious church
Without spot or wrinkle,
Washed in the blood of the Lamb;

verse 2
Do you hear the
stirring anthems
Filling all the earth and sky,
'Tis a grand victorious army,
Lift its banner up on high!

verse 3
Never fear the clouds
of sorrow,
Never fear the storms of sin,
We shall triumph on
the morrow,
Even now our joys begin.

verse 4
Wave the banner,
Shout His praises,
For our victory is nigh!
We shall join our
conquering Savior,
We shall reign with Him
on high!

verse 5
'Tis a glorious church
And I am a member,
Washed in the blood
of the Lamb;
'Tis a glorious church
And I am a member,
Washed in the blood
of the Lamb;"
6;A Greater Than Solomon Is Here;;"verse 1
A greater than Solomon is here,
A greater than Solomon is here
A greater than Solomon is here,
A greater than Solomon is here x 2

verse 2
The men of Ninevah shall rise in Judgement
And condemn this evil wicked generation
For they repented at the preaching of Jonah
Behold! A greater than Jonah is here!
A greater than Jonah is here x 4

verse 3
The queen of the South
shall rise in Judgement
And condemn this evil wicked generation,
She came from far
to hear the wisdom of Solomon,
Behold!  A greater than Solomon is here
A greater than Solomon is here x 4

verse 4
Oh this evil adulterous generation,
It seeketh for a sign
But no sign shall be given,
Except the sign of the resurrection
The same yesterday today forever,
The resurrected Lord Jesus
Revealing all the hidden mysteries,
Discerning the thoughts of men

verse 5
A greater than Solomon is here x 4
A greater than Solomon is here

verse 6
The mighty God revealed in human flesh
Elohim behind Sarah
The amber light above the prophet
About 200 pounds the great Melchizzedek
He
The joy and the strength of the Bride
The queen of the South is satisfied"
7;A Heart Like Thine;;"Chorus 1
Come to my soul, blessed Jesus.
Hear me, O Savior divine.
Open the fountain and cleanse me.
Give me a heart a heart like Thine.

Verse 1
Give me a love that knows no ill.
Give me the grace to do Thy will.
Pardon and cleanse this soul of mine.
Give me a heart like Thine.

Verse 2
Only a joy, a few brief years,
Only a dream, a vale of tears;
Vain is this world, I now resign.
Give me a heart like Thine.

Verse 3
Open mine eyes that I may see.
Show me the cross of Calvary.
There may I go and not repine.
Give me a heart like Thine.

Verse 4
Pillow my head upon Thy breast.
Shelter my soul and give me rest.
Fill me with love as I recline.
Give me a heart like Thine."
8;A Home In Glory Land;;"verse 1
I've got a Home in Glory Land
That outshines the sun
I've got a Home in Glory Land
That outshines the sun
I've got a Home in Glory Land
That outshines the sun
Away beyond the sky

Chorus
Do Lord, O do Lord
Do remember me
Do Lord, O do Lord
Do remember me
Do Lord, O do Lord
Do remember me
Away beyond the sky

verse 2
I take Jesus for my Saviour
You take Him too
I take Jesus for my Saviour
You take Him too
I take Jesus for my Saviour
You take Him too
Away beyond the sky

verse 3
This little light of mine
I'm gonna let it shine
This little light of mine
I'm gonna let it shine
This little light of mine
I'm gonna let it shine
Let it shine, let it shine
let it shine

Ndine musha wangu
Unopenya kupfuura zuva
Ndine musha wangu
Unopenya kupfuura zuva
Ndine musha wangu
Unopenya kupfuura zuva
Uko kudenga uko"
9;A Land Of Beautiful Flowers;;"I know there is a land of beautiful flowers
Where we'll meet again when life is over
Where we will while away the endless hours
On heaven's bright eternal shore.

Chorus 1
The prettiest place where flowers
Will be blooming
The beautiful streets
Our eyes will ever behold
And the beautiful tree
Of life for us is waiting.
And the prettiest mansions
Made of gold;

Chorus 1
And the prettiest robes and crows
We'll all be wearing
In the city four square
Beyond the world of strife
And the prettiest songs
With the Angels we'll be singing
On the beautiful morning
By the river of life

I want ot meet you by the beautiful river
On that eternal morning in the sky
Where we will live in peace through
The endless ages
Where we will never say good-bye.
"
